TZ, Pp1_45, Pp2_45, Pp3_45, Pp4_45, Pp5_45, Pp6_45, Pp10_45, PpTt45, HtTt45, P1Hh45, P2Hh45, P3Hh45, P4Hh45, Con45, FIRE45, TCWh45, Ret45, Bus45, AcIn45, HeEd45, Emp45, PSEn45
Zone, 2045_Pop_0to4, 2045_Pop 5to12, 2045_Pop_13to17, 2045_Pop_18to24, 2045_Pop_25to44, 2045_Pop_45to64, 2045_Pop_65plus, 2045_total_population, 2045_total_hhs, 2045_1p_hhs, 2045_2p_hhs, 2045_3p_hhs, 2045_4p_hhs, 2045_Const_Mfg, 2045_FIRE, 2045_TCU_WhSale, 2045_Retail, 2045_Business_OthServ, 2045_Accom_Fd_Info, 2045_Health_Ed_PubAd, 2045_total_emp, PostSec 2045 FT Enrl
22760, 49.04283, 54.11402, 35.76189, 101.631, 0, 0, 593.3051, 1478.978, 725.2002, 299.5178, 278.1927, 121.2933, 26.19639, 8.612795, 52.89312, 7.788251, 274.805, 98.96215, 235.72, 220.2263, 899.0076, 0
22770, 100.6023, 47.53881, 13.00121, 113.5761, 0, 0, 1181.497, 3433.025, 1716.474, 858.4754, 626.1553, 109.4424, 122.4009, 255.6948, 110.8019, 7.951799, 8.898764, 393.1185, 73.15446, 191.369, 1040.989, 0
22780, 33.24366, 38.73408, 36.18336, 294.4188, 0, 0, 206.1466, 2851.634, 1542.426, 983.6351, 471.8683, 55.59798, 31.32478, 8.759324, 131.0544, 311.6888, 15.25805, 317.5933, 185.4123, 464.2437, 1434.01, 86
22790, 44.1701, 11.76551, 10.99073, 85.78191, 0, 0, 113.0596, 1441.828, 731.202, 515.565, 151.0304, 27.29775, 37.30886, 8.631301, 60.71203, 19.35472, 44.53101, 218.0951, 144.3015, 94.37166, 589.9973, 0
22800, 91.93045, 29.30543, 12.61885, 238.0485, 0, 0, 130.7272, 2097.724, 1070.296, 556.8697, 384.3651, 80.27163, 48.78913, 256.9399, 287.3328, 292.6124, 273.1978, 1439.56, 1410.931, 126.2805, 4086.854, 0
22810, 71.61806, 77.05219, 28.82414, 69.54403, 0, 0, 366.633, 1630.963, 764.2109, 285.6423, 321.1106, 96.90376, 60.55433, 132.1705, 131.2536, 44.37901, 53.48434, 821.5547, 189.0704, 298.0849, 1669.998, 110
22820, 109.3713, 30.82164, 28.79196, 312.3647, 0, 0, 64.01736, 1973.693, 1013.28, 573.681, 312.3808, 74.41372, 52.80433, 42.86885, 36.43176, 26.3924, 24.50498, 82.3773, 55.54427, 87.88017, 355.9998, 0
22830, 39.1613, 43.21071, 28.55631, 81.1536, 0, 0, 473.7614, 1180.982, 575.1588, 242.0931, 224.3745, 73.36756, 35.32368, 1569.743, 559.8576, 104.1134, 365.0168, 377.0944, 2162.355, 217.5627, 5355.743, 0
22840, 99.54464, 109.8379, 72.58767, 206.2855, 0, 0, 1204.26, 3001.954, 1463.404, 615.969, 570.8867, 186.6726, 89.87572, 12.56457, 9.684693, 9.64301, 8.693007, 9.610561, 808.8148, 11.95514, 870.9658, 0
22850, 99.55922, 79.09915, 78.0844, 83.99004, 0, 0, 725.3021, 2410.039, 1128.311, 368.4019, 521.0248, 135.9472, 102.9375, 52.1867, 835.4766, 40.05206, 291.8117, 263.2696, 155.5276, 12.61671, 1650.941, 0
