Zone, 250C11, 500C11, WrPr11, OtPk11, BkSc11
Zone, 2011_250m_car_share, 2011_500m_car_share, 2011_work_parking, 2011_nonwork_parking, 2011_bike_score
22030, 2, 3, 0.35, 0.25, 4
22040, 2, 3, 0.45, 0.25, 4
22050, 2, 3, 0.45, 0.25, 5
22060, 2, 3, 0.45, 0.25, 5
22070, 2, 3, 0.35, 0.3, 4
22080, 2, 3, 0.45, 0.25, 4
22090, 2, 3, 0.45, 0.25, 4
22100, 2, 3, 1.35, 0.7, 4
22110, 2, 3, 0.85, 0.4, 5
22120, 2, 3, 1.55, 0.75, 5
22130, 2, 3, 1.8, 1.05, 5
22140, 2, 3, 0.35, 0.35, 4
22150, 2, 3, 0.45, 0.25, 4
22160, 2, 3, 1.35, 0.7, 4
22170, 2, 3, 1.35, 0.7, 4
22180, 2, 3, 1.9, 1, 5
22190, 2, 3, 1.9, 1, 5
22200, 2, 3, 1.55, 0.75, 5
22210, 2, 3, 1.8, 1.05, 5
22220, 2, 3, 0.45, 0.25, 4
22230, 2, 3, 0.35, 0.35, 4
22240, 2, 3, 1.3, 0.3, 4
22250, 2, 3, 0.35, 0.25, 4
22260, 2, 3, 0.35, 0.25, 4
22270, 2, 3, 1.35, 0.7, 4
22280, 2, 3, 1.35, 0.7, 4
22290, 2, 3, 1.35, 0.7, 4
22300, 2, 3, 1.5, 0.6, 5
22310, 2, 3, 1.5, 0.6, 5
22320, 2, 3, 1.5, 0.6, 5
22330, 2, 3, 0.95, 1.1, 5
22340, 2, 3, 0.95, 1.1, 5
22350, 2, 3, 1.2, 0.5, 5
22360, 2, 3, 0.45, 0.25, 4
22370, 2, 3, 1.3, 0.3, 4
22380, 2, 3, 0.35, 0.25, 4
22390, 2, 3, 1.65, 0.5, 5
22400, 2, 3, 1.65, 0.5, 5
22410, 2, 3, 1.8, 1, 5
22420, 2, 3, 1.8, 1, 5
22430, 2, 3, 1.8, 1, 5
22440, 2, 3, 1.7, 0.65, 5
22450, 2, 3, 1.2, 0.5, 5
22460, 2, 3, 1.2, 0.5, 5
22470, 2, 3, 1.2, 0.5, 5
22480, 1, 3, 0.5, 0.25, 5
22490, 2, 3, 0.6, 0.25, 4
22500, 2, 3, 0.6, 0.25, 4
22510, 2, 3, 1.3, 0.3, 4
22520, 2, 3, 0.85, 0.65, 5
22530, 2, 3, 1.65, 0.5, 5
22540, 2, 3, 1.45, 0.4, 5
22550, 2, 3, 1.45, 0.4, 5
22560, 2, 3, 1.45, 0.4, 5
22570, 2, 3, 1.8, 1, 5
22580, 2, 3, 1.7, 0.65, 5
22590, 2, 3, 1.7, 0.65, 5
22600, 2, 3, 0.35, 0.25, 5
22610, 2, 3, 0.35, 0.25, 5
22620, 1, 3, 0.9, 0.6, 5
22630, 2, 3, 0.6, 0.25, 4
22640, 2, 3, 0.6, 0.25, 4
22650, 2, 3, 0.6, 0.25, 4
22660, 2, 3, 0.85, 0.65, 5
22670, 2, 3, 0.85, 0.65, 5
22680, 2, 3, 0.7, 0.35, 5
22690, 2, 3, 0.7, 0.35, 5
22700, 2, 3, 1.45, 0.4, 5
22710, 2, 3, 1.3, 0.55, 5
