Client:,TransLink,,,,,,,,,,,,,
Project:,Arbutus to UBC Modelling Phase 2,,,,,,,,,,,,,
Project #:,2121-00651-00,,,,,,,,,,,,,
Model:,RTM3.4,,,,,,,,,,,,,
Years:,"2017, 2035, 2050",,,,,,,,,,,,,
Location:,\\corp\vcr\2121-EMME\2121-00651-00 Arbutus to UBC Phase 2\RTM,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Parent Scenario,Name,Year,AM,MD,PM,Zones,Land Use,Road Network,Transit Network,Notes,By:,Date,Databank,Reference (git SHA1 ID)
3687,2035 Alt 2B,2035,36871,36872,36873,RTM 1700,2035,2035,2035,,KK,2021.02.15,UBCx_Ph2_2035Alt_2B_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3657,2035 Alt 3A,2035,36571,36572,36573,RTM 1700,2035,2035,2035,,KK,2021.02.20,UBCx_Ph2_2035_Alt2B_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3697,2035 Alt 3B,2035,36971,36972,36973,RTM 1700,2035,2035,2035,,KK,2021.02.20,UBCx_Ph2_2035_Alt3B_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3817,2035 Alt 3C,2035,38171,38172,38173,RTM 1700,2035,2035,2035,,KK,2021.02.21,UBCx_Ph2_2035_Alt3C_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3667,2035 Alt 4A,2035,36671,36672,36673,RTM 1700,2035,2035,2035,,KK,2021.02.21,UBCx_Ph2_2035_Alt4A_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3827,2035 Alt 4B,2035,38271,38272,38273,RTM 1700,2035,2035,2035,,KK,2021.02.21,UBCx_Ph2_2035_Alt4B_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3837,2035 Alt 4C,2035,38371,38372,38373,RTM 1700,2035,2035,2035,,KK,2021.02.22,UBCx_Ph2_2035_Alt4C_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
,,,,,,,,,,,,,,
1803,2017 BAU: Sc3603 + 2017 LU,2017,18031,18032,18033,RTM 1700,2017,2035,2035,,KK,2020.12.12,UBCx_Ph2_2017BAU,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
1804,2017 BAU: Sc3604 + 2017 LU,2017,18041,18042,18043,RTM 1700,2017,2035,2035,,KK,2021.01.01,UBCx_Ph2_2017BAU_2020-12-31,f2cf0b9eddc80a12a022a6aca25317cfb602824a
1813,2017 Alt 1A: Sc3613 + 2017 LU,2017,18131,18132,18133,RTM 1700,2017,2035,2035,,KK,2020.12.13,UBCx_Ph2_2017Alt_1A,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
1814,2017 Alt 1A: Sc3614 + 2017 LU,2017,18141,18142,18143,RTM 1700,2017,2035,2035,,KK,2021.01.03,UBCx_Ph2_2017Alt_1A_2020-12-31,4b69fd5001ed073f7d37f467a5dc5cb7d11626a4
1815,2017 Alt 1A: Sc3615 + 2017 LU,2017,18151,18152,18153,RTM 1700,2017,2035,2035,,KK,2021.01.18,UBCx_Ph2_2017Alt_1A_2021-01-15,6482a673abc056f3551642d687c7913fb4927434
1823,2017 Alt 1B: Sc3623 + 2017 LU,2017,18231,18232,18233,RTM 1700,2017,2035,2035,,KK,2020.12.13,UBCx_Ph2_2017Alt_1B,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
1824,2017 Alt 1B: Sc3624 + 2017 LU,2017,18241,18242,18243,RTM 1700,2017,2035,2035,,KK,2021.01.03,UBCx_Ph2_2017Alt_1B_2020-12-31,4b69fd5001ed073f7d37f467a5dc5cb7d11626a4
1825,2017 Alt 1B: Sc3625 + 2017 LU,2017,18251,18252,18253,RTM 1700,2017,2035,2035,,KK,2021.01.18,UBCx_Ph2_2017Alt_1B_2021-01-15,6482a673abc056f3551642d687c7913fb4927434
1833,2017 Alt 1C: Sc3633 + 2017 LU,2017,18331,18332,18333,RTM 1700,2017,2035,2035,,KK,2020.12.14,UBCx_Ph2_2017Alt_1C,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
1834,2017 Alt 1C: Sc3634 + 2017 LU,2017,18341,18342,18343,RTM 1700,2017,2035,2035,,KK,2021.01.03,UBCx_Ph2_2017Alt_1C_2020-12-31,4b69fd5001ed073f7d37f467a5dc5cb7d11626a4
