mat_id,mo10,mo11,mo12,mo13,mo14,mo15,mo16,mo17,mo18,mo20,mo21,mo22,mo23,mo24,mo25,mo26,mo27,mo30,mo31,mo32,mo40,mo41,mo42,mo43,mo44
mat_name,TotPop,Pop0t4,Pop5t12,Pop13t17,Pop18t24,Pop25t34,Pop35t54,Pop55t64,Pop65Up,TotEmp,EmpConMfg,EmpFire,EmpTcuWh,EmpRet,EmpBoS,EmpAcFoInCu,EmpHeEdPuAd,EnrolElem,EnrolSec,EnrolPsFte,TotHh,Hh1p,Hh2p,Hh3p,Hh4pUp
mat_desc,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,Construct_Mfg,FIRE,TCU_Wholesale,Retail,Business_OtherServices,AccomFood_InfoCult,Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HHOLDS_Total,HHOLDS_1Person,HHOLDS_2Person,HHOLDS_3Person,HHOLDS_4plusPerson
TAZ1700,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,EMP_Construct_Mfg,EMP_FIRE,EMP_TCU_Wholesale,EMP_Retail,EMP_Business_OtherServices,EMP_AccomFood_InfoCult,EMP_Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HH_Total,HH_1Person,HH_2Person,HH_3Person,HH_4plusPerson
11010,248.168,10.11486,9.529408,17.51,8.186781,10.05525,70.17936,49.2048,73.38749,73.49616,16.0778,8.96813,8.983563,8.935976,12.59436,8.963459,8.972873,0,0,0,93.53278,15.49057,32.54137,20.50084,25
11020,22.05871,1.246391,1.845014,1.340664,2.657579,3.983912,4.179652,3.166738,3.638756,253.2686,19.17316,35.23056,12.47156,9.929399,79.11868,72.56055,24.78475,0,0,0,5.858632,0,2.360491,0,3.498141
11030,3031.365,140.7442,282.1745,208.5891,263.9095,176.0074,857.0042,406.1863,696.7496,1325.392,114.4747,40.50216,533.2535,29.67668,155.4995,326.2768,125.7087,358,0,0,1101.087,147.3003,376.4342,211.3525,366
11040,6423.501,230.384,454.2556,522.9196,672.4467,945.9941,1768.877,806.0671,1022.557,640.4006,65.38678,11.7416,23.67099,11.0259,63.33884,19.40129,445.8352,683,477,0,2658.028,554.8871,971.965,647.1756,484
11050,1053.535,22.31258,139.3175,91.93375,124.7716,78.57372,350.8702,128.1417,117.6138,143.4753,46.19711,9.883525,14.33088,9.848087,36.16171,11.19688,15.8571,0,0,0,339.1305,34.24352,71.82029,67.13963,165.9271
11060,2228.199,87.84081,231.3887,174.5303,218.1365,71.50231,705.8009,333.0527,405.9467,764.511,152.2889,16.7144,63.53799,52.90977,255.399,154.1625,69.49848,105,0,0,770.0666,51.81981,277.526,162.0992,278.6217
11070,1908.85,46.06428,110.2932,77.62981,127.6321,181.2487,504.4466,336.027,525.508,538.6406,63.83932,88.92636,39.56853,9.94066,87.51937,66.90534,181.941,0,0,0,748.8613,136.3031,282.2673,125.022,205.2689
