mat_id,mo10,mo11,mo12,mo13,mo14,mo15,mo16,mo17,mo18,mo20,mo21,mo22,mo23,mo24,mo25,mo26,mo27,mo30,mo31,mo32,mo40,mo41,mo42,mo43,mo44
mat_name,TotPop,Pop0t4,Pop5t12,Pop13t17,Pop18t24,Pop25t34,Pop35t54,Pop55t64,Pop65Up,TotEmp,EmpConMfg,EmpFire,EmpTcuWh,EmpRet,EmpBoS,EmpAcFoInCu,EmpHeEdPuAd,EnrolElem,EnrolSec,EnrolPsFte,TotHh,Hh1p,Hh2p,Hh3p,Hh4pUp
mat_desc,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,Construct_Mfg,FIRE,TCU_Wholesale,Retail,Business_OtherServices,AccomFood_InfoCult,Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HHOLDS_Total,HHOLDS_1Person,HHOLDS_2Person,HHOLDS_3Person,HHOLDS_4plusPerson
TAZ1700,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,EMP_Construct_Mfg,EMP_FIRE,EMP_TCU_Wholesale,EMP_Retail,EMP_Business_OtherServices,EMP_AccomFood_InfoCult,EMP_Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HH_Total,HH_1Person,HH_2Person,HH_3Person,HH_4plusPerson
11010,186.9515,1.11772,1.102743,14.02325,1.1656,1.246178,56.22305,49.36306,62.70989,40.60902,11.78476,2.379375,5.28962,3.303738,6.082982,4.358143,7.410408,0,0,0,69.57892,12.55101,27.0118,10.65455,19.36156
11020,30.33874,0.97676,1.927343,0.9803775,6.111611,7.623123,5.895905,3.834461,2.989162,81.08475,12.76124,7.651076,6.071669,10.39675,14.8355,11.13755,18.23095,0,0,0,10.6452,3.103861,3.536642,1.820229,2.184465
11030,2294.257,96.29952,199.5192,149.8171,205.8707,123.4722,620.034,363.8659,535.3785,1102.957,5.111282,1.971321,539.3902,33.75449,140.6428,264.7507,117.336,263,0,0,890.3809,186.3059,348.3457,136.2567,219.4725
11040,682.1992,1.925752,28.49921,24.16105,35.14431,32.20614,154.9893,184.2729,221.0005,411.2461,6.536799,2.521114,3.99898,2.46677,86.60291,67.71772,241.4018,502,351,0,304.2649,52.3564,166.3076,59.79921,25.80168
11050,1005.649,19.57091,125.5063,83.48441,122.4557,70.91553,324.8675,144.0551,114.794,121.6646,11.78664,4.545875,7.210646,4.447886,84.08377,4.884131,4.705694,0,0,0,308.6174,43.87194,69.11754,44.69148,150.9364
11060,2294.074,81.98437,222.4359,169.719,229.7715,68.55504,695.915,402.307,423.3859,491.8362,8.127398,86.20085,4.972051,30.67009,207.0692,151.5518,3.244779,77,0,0,801.3377,85.94935,332.8303,135.6243,246.9338
11070,1900.284,41.16748,101.5396,72.30991,128.793,166.3831,476.2813,388.8763,524.9338,393.5015,6.267148,120.8558,3.834017,2.365013,134.1261,25.96972,100.0837,0,0,0,840.4828,239.4172,358.557,110.7017,131.8069
