mat_id,mo10,mo11,mo12,mo13,mo14,mo15,mo16,mo17,mo18,mo20,mo21,mo22,mo23,mo24,mo25,mo26,mo27,mo30,mo31,mo32,mo40,mo41,mo42,mo43,mo44
mat_name,TotPop,Pop0t4,Pop5t12,Pop13t17,Pop18t24,Pop25t34,Pop35t54,Pop55t64,Pop65Up,TotEmp,EmpConMfg,EmpFire,EmpTcuWh,EmpRet,EmpBoS,EmpAcFoInCu,EmpHeEdPuAd,EnrolElem,EnrolSec,EnrolPsFte,TotHh,Hh1p,Hh2p,Hh3p,Hh4pUp
mat_desc,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,Construct_Mfg,FIRE,TCU_Wholesale,Retail,Business_OtherServices,AccomFood_InfoCult,Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HHOLDS_Total,HHOLDS_1Person,HHOLDS_2Person,HHOLDS_3Person,HHOLDS_4plusPerson
TAZ1700,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,EMP_Construct_Mfg,EMP_FIRE,EMP_TCU_Wholesale,EMP_Retail,EMP_Business_OtherServices,EMP_AccomFood_InfoCult,EMP_Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HH_Total,HH_1Person,HH_2Person,HH_3Person,HH_4plusPerson
11010,246.8305,9.731238,9.139977,15.25675,6.723441,9.438228,71.46773,47.54027,77.53283,45.67809,6.561193,6.514576,6.511513,6.413702,6.567071,6.532743,6.577293,0,0,0,90,16,31,15,28
11020,30.33689,1.714373,2.530007,1.670085,3.120379,5.346261,6.085322,4.374306,5.496161,85.71754,11.87951,9.193883,9.18956,9.051521,11.93315,9.219521,25.2504,0,0,0,9,2,3,2,2
11030,2794.259,127.3498,254.5404,170.9335,203.8418,155.3776,820.8112,369.0959,692.3091,1159.713,10.08351,9.963425,590.6608,21.31848,129.2101,212.8603,185.6164,354,0,0,1014,164,374,166,310
11040,5681.887,202.6785,398.4068,416.6373,504.9909,811.9576,1647.197,712.1518,987.8669,881.4844,11.3288,9.80573,9.801119,9.653893,129.6876,88.74561,622.4616,676,432,0,2411,598,930,490,393
11050,1066.714,22.52029,140.1848,84.03631,107.5004,77.37328,374.8548,129.8855,130.3581,133.2578,11.56489,9.318483,9.314101,9.174192,71.28705,9.344468,13.25459,0,0,0,337,43,81,60,153
11060,2355.26,91.54719,240.4151,164.7356,194.065,72.70399,778.616,348.5841,464.5935,830.6832,16.55972,149.3522,12.10604,37.12012,364.5558,233.5008,17.48848,104,0,0,809,69,328,151,261
11070,1961.26,46.07963,109.9928,70.33008,108.987,176.8924,534.1366,337.5708,577.2707,419.2938,9.901179,103.4808,9.82621,9.678608,116.6956,19.77365,149.9377,0,0,0,752,158,289,101,204
