mat_id,mo10,mo11,mo12,mo13,mo14,mo15,mo16,mo17,mo18,mo20,mo21,mo22,mo23,mo24,mo25,mo26,mo27,mo30,mo31,mo32,mo40,mo41,mo42,mo43,mo44
mat_name,TotPop,Pop0t4,Pop5t12,Pop13t17,Pop18t24,Pop25t34,Pop35t54,Pop55t64,Pop65Up,TotEmp,EmpConMfg,EmpFire,EmpTcuWh,EmpRet,EmpBoS,EmpAcFoInCu,EmpHeEdPuAd,EnrolElem,EnrolSec,EnrolPsFte,TotHh,Hh1p,Hh2p,Hh3p,Hh4pUp
mat_desc,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,Construct_Mfg,FIRE,TCU_Wholesale,Retail,Business_OtherServices,AccomFood_InfoCult,Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HHOLDS_Total,HHOLDS_1Person,HHOLDS_2Person,HHOLDS_3Person,HHOLDS_4plusPerson
TAZ1700,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,EMP_Construct_Mfg,EMP_FIRE,EMP_TCU_Wholesale,EMP_Retail,EMP_Business_OtherServices,EMP_AccomFood_InfoCult,EMP_Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HH_Total,HH_1Person,HH_2Person,HH_3Person,HH_4plusPerson
11010,186.99,2,1.78,12.36,1.68,2.21,54.89,45.96,66.11,41.48,10.88,3.01,5.57,3.6,6.05,4.58,7.79,0,0,0,69.02,11.73,26.62,10.64,20.03
11020,30.35,1.22,2.03,1.03,4.94,7.67,5.78,3.97,3.71,81.88,12.78,7.88,6.8,9.51,14.5,10.58,19.83,0,0,0,10.56,3.1,3.42,1.88,2.16
11030,2294.77,105.27,197.47,134.33,187.41,137.04,614.61,344.93,573.71,1112.56,6.12,2.95,547.22,31.35,139.83,255.32,129.77,270.3399625,0,0,883.22,174.79,340.57,136.3,231.56
11040,682.35,4.17,33.17,27.72,40.5,49.27,166.44,155.55,205.53,477.5,7.31,3.19,4.6,2.95,94.55,71.71,293.19,515.9239453,329.7974461,0,301.81,59.32,147.1,63.86,31.53
11050,1005.87,21.64,125.85,75.99,113.32,79.54,325.89,138.9,124.74,123.67,11.83,5.32,7.66,4.91,82.39,5.46,6.1,0,0,0,306.13,42.67,69.99,46.15,147.32
11060,2294.58,90.39,222.24,153.78,211.53,76.7,695.92,385.82,458.2,543.74,9.3,95.97,5.9,32.03,231.5,164.35,4.69,79.02920626,0,0,794.89,81.24,327.93,136.69,249.03
11070,1900.7,44.6,99.68,64.38,116.49,182.94,468.01,366.41,558.19,397.9,6.98,117.88,4.84,3.11,131.37,24.67,109.05,0,0,0,833.72,222.98,348.33,109.93,152.48
