mat_id,mo10,mo11,mo12,mo13,mo14,mo15,mo16,mo17,mo18,mo20,mo21,mo22,mo23,mo24,mo25,mo26,mo27,mo30,mo31,mo32,mo40,mo41,mo42,mo43,mo44
mat_name,TotPop,Pop0t4,Pop5t12,Pop13t17,Pop18t24,Pop25t34,Pop35t54,Pop55t64,Pop65Up,TotEmp,EmpConMfg,EmpFire,EmpTcuWh,EmpRet,EmpBoS,EmpAcFoInCu,EmpHeEdPuAd,EnrolElem,EnrolSec,EnrolPsFte,TotHh,Hh1p,Hh2p,Hh3p,Hh4pUp
mat_desc,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,Construct_Mfg,FIRE,TCU_Wholesale,Retail,Business_OtherServices,AccomFood_InfoCult,Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HHOLDS_Total,HHOLDS_1Person,HHOLDS_2Person,HHOLDS_3Person,HHOLDS_4plusPerson
TAZ1700,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,EMP_Construct_Mfg,EMP_FIRE,EMP_TCU_Wholesale,EMP_Retail,EMP_Business_OtherServices,EMP_AccomFood_InfoCult,EMP_Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HH_Total,HH_1Person,HH_2Person,HH_3Person,HH_4plusPerson
11010,286.0168,14.9441,9.350781,12.03719,6.865746,17.99275,72.84938,51.64542,100.3314,44.59466,8.526623,5.708506,6.313707,4.431647,5.804119,5.10399,8.70607,0,0,0,100.3908,15.51117,36.60705,17.69231,30.58031
11020,30.33773,2.102736,2.067293,1.052396,2.544961,8.140194,4.954239,3.795394,5.680521,84.68711,12.72173,8.400283,9.290859,7.191052,13.43904,8.872153,24.772,0,0,0,8.375654,1.558728,2.579053,1.64933,2.588544
11030,2762.599,167.3344,222.8152,115.3919,178.1044,253.4432,715.8871,343.0795,766.5432,1146.459,10.12517,9.049016,569.2281,25.0032,136.4435,225.8634,170.7467,263,0,0,991.5375,174.4109,357.6044,171.3912,288.1311
11040,2427.247,110.4153,144.5938,116.6114,182.9362,549.1113,595.6367,274.4497,453.4921,779.8305,10.61989,6.554633,7.249538,5.088515,127.8498,87.91108,534.557,502,351,0,1078.036,275.0511,519.0922,131.0125,152.8805
11050,1013.939,29.3815,121.8434,56.32849,93.26196,125.313,324.6215,119.8751,143.3136,130.8006,11.74974,8.089067,8.946649,6.279732,76.16631,7.232455,12.33667,0,0,0,313.5438,43.20219,74.63672,59.13261,136.5723
11060,2484.203,132.9529,232.6033,122.914,187.4109,131.074,750.5688,358.1204,568.5591,759.5476,14.38048,136.3115,10.08974,37.65118,332.9279,214.274,13.91291,77,0,0,840.0439,78.77253,334.5034,167.0141,259.7539
11070,2072.966,62.5414,99.45442,49.04118,98.36214,298.039,481.1995,324.1097,660.2184,413.4589,9.380493,108.3573,9.272282,6.508297,122.2694,20.8183,136.8529,0,0,0,788.8121,179.6191,294.9856,111.5924,202.6149
