mat_id,mo50,mo60,mo61,mo69,mo70,mo71,mo80
mat_name,areahc,prk2hr,prk8hr,railStn,cs250,cs500,bikesc
mat_desc,taz_a_area_hec,parkingcost2hr,parkingcost8hr,railstationinzone,car_share_250m,car_share_500m,bikescore
TAZ1700,Hectares,parking_two_hr_rate,parking_eight_hr_rate,rail_stn_dummy,car_share_250m,car_share_500m,bike_score_taz
22170,2.594211,14.96081,12.38934,0,2,3,4
22180,2.681619,16.99195,13.3941,0,2,3,5
22190,3.314167,18.67014,14.56895,1,2,3,5
22200,3.086154,14.59385,12.53468,0,2,3,5
22210,2.885777,11.1,12.36,0,2,3,5
22220,10.85371,6.176205,7.387989,0,2,3,4
22230,7.852204,6.089801,7.316492,0,2,3,4
22240,9.866065,6.63,7.362014,0,2,3,4
22250,9.936873,6.25,7.399565,0,2,3,4
22260,7.302626,7.02,7.509465,0,2,3,4
22270,3.894988,10.33284,10.15895,0,2,3,4
22280,3.692402,12.45082,11.04691,0,2,3,4
22290,3.039513,16.18,12.69,0,2,3,4
22300,5.535086,16.41171,13.47621,0,2,3,5
22310,4.81233,14.6501,12.56884,0,2,3,5
22320,3.227502,16.87088,13.34477,0,2,3,5
22330,4.060306,16.67727,13.2559,0,2,3,5
22340,4.395575,12.65129,11.50502,1,2,3,5
22350,17.18113,6.608347,7.66439,1,2,3,5
22360,10.29876,6.142853,7.38131,0,2,3,4
22370,7.205083,7.39,7.467517,0,2,3,4
22380,6.842391,8.23,7.770175,0,2,3,4
22390,5.027779,10.26,9.372192,0,2,3,5
22400,5.283585,13.86,12.22,0,2,3,5
22410,3.593739,10.17949,9.767323,0,2,3,5
22420,3.220599,11.84358,10.74139,1,2,3,5
22430,3.242257,8.519111,9.05138,0,2,3,5
22440,4.802774,8.93,11.84,0,2,3,5
22450,4.514606,9.862181,9.620552,0,2,3,5
22460,4.106087,7.330904,11.16,0,2,3,5
22470,5.80159,10.13662,11.7,0,2,3,5
22480,10.056,6.780445,7.851321,0,1,3,5
22490,14.81283,6.175932,7.405552,0,2,3,4
22500,4.899553,6.473836,7.653541,0,2,3,4
22510,6.799287,9.104941,9.411401,0,2,3,4
22520,5.072611,9.68,13.95,0,2,3,5
22530,5.08231,8.041076,8.703176,0,2,3,5
22540,3.303847,9.203209,9.51,0,2,3,5
22550,3.4397,17.14587,13.43133,1,2,3,5
22560,3.446657,9.180495,9.439013,0,2,3,5
22570,3.599473,10.23,9.455793,0,2,3,5
22580,3.584206,7.64,7.952745,0,2,3,5
22590,3.488,11.25028,10.41938,0,2,3,5
22600,4.227182,7.115043,8.102905,1,2,3,5
22610,7.266163,6.562671,7.692394,0,2,3,5
22620,7.791028,6.61537,7.734694,0,1,3,5
22630,9.243681,6.197639,7.434363,0,2,3,4
22640,4.481883,6.215315,7.426445,0,2,3,4
22650,4.50922,6.485559,7.662,0,2,3,4
22660,5.032398,7.09,9.08,0,2,3,5
22670,4.964322,9.16,8.467776,0,2,3,5
22680,3.246353,7.62,13.95,0,2,3,5
22690,3.292682,6.873689,7.935861,0,2,3,5
22700,3.315458,7.81,7.964119,0,2,3,5
22710,6.806903,7.237791,8.175076,0,2,3,5
22720,6.330927,9.77055,9.536833,0,2,3,5
22730,3.489539,10.46,8.361279,0,2,3,5
22740,2.85199,9.134938,9.414145,0,2,3,5
22750,3.015505,6.884573,13.95,0,2,3,5
