mat_id,mo10,mo11,mo12,mo13,mo14,mo15,mo16,mo17,mo18,mo20,mo21,mo22,mo23,mo24,mo25,mo26,mo27,mo30,mo31,mo32,mo40,mo41,mo42,mo43,mo44
mat_name,TotPop,Pop0t4,Pop5t12,Pop13t17,Pop18t24,Pop25t34,Pop35t54,Pop55t64,Pop65Up,TotEmp,EmpConMfg,EmpFire,EmpTcuWh,EmpRet,EmpBoS,EmpAcFoInCu,EmpHeEdPuAd,EnrolElem,EnrolSec,EnrolPsFte,TotHh,Hh1p,Hh2p,Hh3p,Hh4pUp
mat_desc,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,Construct_Mfg,FIRE,TCU_Wholesale,Retail,Business_OtherServices,AccomFood_InfoCult,Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HHOLDS_Total,HHOLDS_1Person,HHOLDS_2Person,HHOLDS_3Person,HHOLDS_4plusPerson
TAZ1700,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,EMP_Construct_Mfg,EMP_FIRE,EMP_TCU_Wholesale,EMP_Retail,EMP_Business_OtherServices,EMP_AccomFood_InfoCult,EMP_Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HH_Total,HH_1Person,HH_2Person,HH_3Person,HH_4plusPerson
62210,1888.995,105.5477,204.5146,132.5964,170.1559,154.6931,593.8549,215.4815,312.1507,466.4637,47.63491,10.17315,11.53326,11.02842,20.53951,35.28001,330.2744,578,1342,0,573.4755,157.5692,151.6162,62.43664,201.8535
62220,2723.74,98.56802,173.504,108.6148,312.4034,468.3586,791.0406,449.4512,321.7991,272.5099,39.12871,21.62689,19.25514,29.62957,50.02199,46.49169,66.35587,0,0,0,736.004,60.76434,155.9899,201.1494,318.1004
62230,2909.646,183.216,240.6845,207.0019,251.2935,450.1275,814.6442,330.4379,432.2404,281.9473,41.3596,17.29384,11.16895,10.68005,49.21394,79.64846,72.58247,0,0,0,723.7443,77.45329,90.20396,157.9805,398.1065
62240,0,0,0,0,0,0,0,0,0,4000.56,903.4391,431.7594,271.626,145.7469,919.128,357.2043,971.6557,0,0,0,0,0,0,0,0
62250,34.7376,1.076468,1.195027,0,2.960597,4.992984,8.241109,3.715928,12.55549,2871.812,656.4617,182.4042,830.311,175.943,397.5701,107.5415,521.5806,626,0,0,6.250284,1.456589,0,1.249165,3.544531
62260,4819.936,272.3825,493.7316,226.7263,353.7353,664.2756,1283.072,559.2284,966.7844,1653.762,32.22252,137.129,28.57022,798.0963,97.8419,375.6816,184.2203,0,0,0,1481.175,353.5201,341.2724,235.617,550.7657
62270,450.7476,0,0,0,0,0,66.36296,136.9449,247.4398,2992.081,1176.859,121.5221,416.9172,662.1589,167.4304,217.2658,229.9271,313,0,0,85.85736,0,0,0,85.85736
62280,2961.442,225.5245,294.5045,279.6358,152.6892,480.273,962.7501,347.8426,218.2227,194.5488,52.23935,10.29765,14.78309,10.54163,56.1541,18.92283,31.61015,0,0,0,967.3491,195.1,253.7949,236.5214,281.9328
62290,4208.851,265.6572,472.175,166.2403,321.847,646.5992,1170.712,603.8226,561.7979,376.8866,22.27023,21.29751,17.72817,10.91711,94.80581,25.13819,184.7296,656,0,0,1097.752,102.9126,256.7505,192.6388,545.4501
62300,3361.843,222.9751,339.692,222.9091,347.7604,486.1388,984.6046,237.3817,520.3815,360.8792,18.2481,18.75004,42.27615,41.38483,112.3607,49.52404,78.33532,0,0,0,882.7526,99.93975,173.1768,181.7008,427.9352
