gy_o,gy_d,Mode,bias_add,purp
3,2,bus,0,nhbw
3,6,bus,0,nhbw
3,7,bus,0,nhbw
3,8,bus,0,nhbw
3,9,bus,0,nhbw
3,10,bus,0,nhbw
3,11,bus,0,nhbw
3,12,bus,0,nhbw
3,13,bus,0,nhbw
3,14,bus,0,nhbw
3,15,bus,0,nhbw
4,1,bus,0,nhbw
4,6,bus,0,nhbw
4,7,bus,0,nhbw
4,8,bus,0,nhbw
4,9,bus,0,nhbw
4,10,bus,0,nhbw
4,11,bus,0,nhbw
4,12,bus,0,nhbw
4,13,bus,0,nhbw
4,14,bus,0,nhbw
4,15,bus,0,nhbw
5,1,bus,0,nhbw
5,2,bus,0,nhbw
5,7,bus,0,nhbw
5,8,bus,0,nhbw
5,9,bus,0,nhbw
5,10,bus,0,nhbw
5,11,bus,0,nhbw
5,12,bus,0,nhbw
5,13,bus,0,nhbw
5,14,bus,0,nhbw
5,15,bus,0,nhbw
6,1,bus,0,nhbw
6,2,bus,0,nhbw
6,3,bus,0,nhbw
6,4,bus,0,nhbw
6,7,bus,0,nhbw
6,8,bus,0,nhbw
6,9,bus,0,nhbw
6,10,bus,0,nhbw
6,11,bus,0,nhbw
6,12,bus,0,nhbw
6,13,bus,0,nhbw
6,14,bus,0,nhbw
6,15,bus,0,nhbw
7,1,bus,0,nhbw
7,2,bus,0,nhbw
7,3,bus,0,nhbw
7,4,bus,0,nhbw
7,5,bus,0,nhbw
7,6,bus,0,nhbw
7,8,bus,0,nhbw
7,9,bus,0,nhbw
7,10,bus,0,nhbw
7,11,bus,0,nhbw
7,12,bus,0,nhbw
7,13,bus,0,nhbw
7,14,bus,0,nhbw
7,15,bus,0,nhbw
8,1,bus,0,nhbw
8,2,bus,0,nhbw
8,3,bus,0,nhbw
8,4,bus,0,nhbw
8,5,bus,0,nhbw
8,6,bus,0,nhbw
8,7,bus,0,nhbw
8,9,bus,0,nhbw
8,10,bus,0,nhbw
8,11,bus,0,nhbw
8,12,bus,0,nhbw
8,13,bus,0,nhbw
8,14,bus,0,nhbw
8,15,bus,0,nhbw
9,1,bus,0,nhbw
9,2,bus,0,nhbw
9,3,bus,0,nhbw
9,4,bus,0,nhbw
9,5,bus,0,nhbw
9,6,bus,0,nhbw
9,7,bus,0,nhbw
9,8,bus,0,nhbw
9,10,bus,0,nhbw
9,11,bus,0,nhbw
9,13,bus,0,nhbw
9,14,bus,0,nhbw
9,15,bus,0,nhbw
10,1,bus,0,nhbw
10,2,bus,0,nhbw
10,3,bus,0,nhbw
10,4,bus,0,nhbw
10,5,bus,0,nhbw
10,6,bus,0,nhbw
10,7,bus,0,nhbw
10,8,bus,0,nhbw
10,9,bus,0,nhbw
10,11,bus,0,nhbw
10,12,bus,0,nhbw
10,13,bus,0,nhbw
10,14,bus,0,nhbw
10,15,bus,0,nhbw
11,1,bus,0,nhbw
11,2,bus,0,nhbw
11,3,bus,0,nhbw
11,4,bus,0,nhbw
11,5,bus,0,nhbw
11,6,bus,0,nhbw
11,7,bus,0,nhbw
11,8,bus,0,nhbw
11,9,bus,0,nhbw
11,10,bus,0,nhbw
11,12,bus,0,nhbw
11,13,bus,0,nhbw
11,14,bus,0,nhbw
11,15,bus,0,nhbw
12,1,bus,0,nhbw
12,2,bus,0,nhbw
12,3,bus,0,nhbw
12,4,bus,0,nhbw
12,5,bus,0,nhbw
12,6,bus,0,nhbw
12,7,bus,0,nhbw
12,8,bus,0,nhbw
12,10,bus,0,nhbw
12,11,bus,0,nhbw
12,13,bus,0,nhbw
12,14,bus,0,nhbw
12,15,bus,0,nhbw
13,1,bus,0,nhbw
13,2,bus,0,nhbw
13,3,bus,0,nhbw
13,4,bus,0,nhbw
13,5,bus,0,nhbw
13,6,bus,0,nhbw
13,7,bus,0,nhbw
13,8,bus,0,nhbw
13,9,bus,0,nhbw
13,10,bus,0,nhbw
13,11,bus,0,nhbw
13,12,bus,0,nhbw
13,13,bus,0,nhbw
13,14,bus,0,nhbw
13,15,bus,0,nhbw
14,1,bus,0,nhbw
14,2,bus,0,nhbw
14,3,bus,0,nhbw
14,4,bus,0,nhbw
14,5,bus,0,nhbw
14,6,bus,0,nhbw
14,7,bus,0,nhbw
14,8,bus,0,nhbw
14,9,bus,0,nhbw
14,10,bus,0,nhbw
14,11,bus,0,nhbw
14,12,bus,0,nhbw
14,13,bus,0,nhbw
14,14,bus,0,nhbw
14,15,bus,0,nhbw
15,1,bus,0,nhbw
15,2,bus,0,nhbw
15,3,bus,0,nhbw
15,4,bus,0,nhbw
15,5,bus,0,nhbw
15,6,bus,0,nhbw
15,7,bus,0,nhbw
15,8,bus,0,nhbw
15,9,bus,0,nhbw
15,10,bus,0,nhbw
15,11,bus,0,nhbw
15,12,bus,0,nhbw
15,13,bus,0,nhbw
15,14,bus,0,nhbw
15,15,bus,0,nhbw
1,2,rail,0,nhbo
1,3,rail,0,nhbo
1,4,rail,0,nhbo
1,5,rail,0,nhbo
1,6,rail,0,nhbo
1,7,rail,0,nhbo
1,8,rail,0,nhbo
1,9,rail,0,nhbo
1,10,rail,0,nhbo
1,11,rail,0,nhbo
1,12,rail,0,nhbo
1,13,rail,0,nhbo
1,14,rail,0,nhbo
1,15,rail,0,nhbo
2,4,rail,0,nhbo
2,5,rail,0,nhbo
2,6,rail,0,nhbo
2,7,rail,0,nhbo
2,8,rail,0,nhbo
2,9,rail,0,nhbo
2,10,rail,0,nhbo
2,11,rail,0,nhbo
2,12,rail,0,nhbo
2,13,rail,0,nhbo
2,14,rail,0,nhbo
2,15,rail,0,nhbo
3,6,rail,0,nhbo
3,8,rail,0,nhbo
3,10,rail,0,nhbo
3,11,rail,0,nhbo
3,12,rail,0,nhbo
3,13,rail,0,nhbo
3,14,rail,0,nhbo
3,15,rail,0,nhbo
4,5,rail,0,nhbo
4,8,rail,0,nhbo
4,10,rail,0,nhbo
4,11,rail,0,nhbo
4,12,rail,0,nhbo
4,13,rail,0,nhbo
4,14,rail,0,nhbo
4,15,rail,0,nhbo
5,7,rail,0,nhbo
5,8,rail,0,nhbo
5,10,rail,0,nhbo
5,11,rail,0,nhbo
5,12,rail,0,nhbo
5,13,rail,0,nhbo
5,14,rail,0,nhbo
5,15,rail,0,nhbo
6,7,rail,0,nhbo
6,8,rail,0,nhbo
6,9,rail,0,nhbo
6,10,rail,0,nhbo
6,11,rail,0,nhbo
6,12,rail,0,nhbo
6,13,rail,0,nhbo
6,14,rail,0,nhbo
6,15,rail,0,nhbo
7,8,rail,0,nhbo
7,9,rail,0,nhbo
7,10,rail,0,nhbo
7,11,rail,0,nhbo
7,12,rail,0,nhbo
7,13,rail,0,nhbo
7,14,rail,0,nhbo
7,15,rail,0,nhbo
8,9,rail,0,nhbo
8,10,rail,0,nhbo
8,11,rail,0,nhbo
8,12,rail,0,nhbo
8,13,rail,0,nhbo
8,14,rail,0,nhbo
8,15,rail,0,nhbo
9,10,rail,0,nhbo
9,11,rail,0,nhbo
9,12,rail,0,nhbo
9,13,rail,0,nhbo
9,14,rail,0,nhbo
9,15,rail,0,nhbo
10,11,rail,0,nhbo
10,12,rail,0,nhbo
10,13,rail,0,nhbo
10,14,rail,0,nhbo
10,15,rail,0,nhbo
11,12,rail,0,nhbo
11,13,rail,0,nhbo
11,14,rail,0,nhbo
11,15,rail,0,nhbo
12,13,rail,0,nhbo
12,14,rail,0,nhbo
12,15,rail,0,nhbo
13,14,rail,0,nhbo
13,15,rail,0,nhbo
14,15,rail,0,nhbo
2,1,rail,0,nhbo
3,1,rail,0,nhbo
4,1,rail,0,nhbo
5,1,rail,0,nhbo
6,1,rail,0,nhbo
7,1,rail,0,nhbo
8,1,rail,0,nhbo
9,1,rail,0,nhbo
10,1,rail,0,nhbo
11,1,rail,0,nhbo
12,1,rail,0,nhbo
13,1,rail,0,nhbo
14,1,rail,0,nhbo
15,1,rail,0,nhbo
4,2,rail,0,nhbo
5,2,rail,0,nhbo
6,2,rail,0,nhbo
7,2,rail,0,nhbo
8,2,rail,0,nhbo
9,2,rail,0,nhbo
10,2,rail,0,nhbo
11,2,rail,0,nhbo
12,2,rail,0,nhbo
13,2,rail,0,nhbo
14,2,rail,0,nhbo
15,2,rail,0,nhbo
6,3,rail,0,nhbo
8,3,rail,0,nhbo
10,3,rail,0,nhbo
11,3,rail,0,nhbo
12,3,rail,0,nhbo
13,3,rail,0,nhbo
14,3,rail,0,nhbo
15,3,rail,0,nhbo
5,4,rail,0,nhbo
8,4,rail,0,nhbo
10,4,rail,0,nhbo
11,4,rail,0,nhbo
12,4,rail,0,nhbo
13,4,rail,0,nhbo
14,4,rail,0,nhbo
15,4,rail,0,nhbo
7,5,rail,0,nhbo
8,5,rail,0,nhbo
10,5,rail,0,nhbo
11,5,rail,0,nhbo
12,5,rail,0,nhbo
13,5,rail,0,nhbo
14,5,rail,0,nhbo
15,5,rail,0,nhbo
7,6,rail,0,nhbo
8,6,rail,0,nhbo
9,6,rail,0,nhbo
10,6,rail,0,nhbo
11,6,rail,0,nhbo
12,6,rail,0,nhbo
13,6,rail,0,nhbo
14,6,rail,0,nhbo
15,6,rail,0,nhbo
8,7,rail,0,nhbo
9,7,rail,0,nhbo
10,7,rail,0,nhbo
11,7,rail,0,nhbo
12,7,rail,0,nhbo
13,7,rail,0,nhbo
14,7,rail,0,nhbo
15,7,rail,0,nhbo
9,8,rail,0,nhbo
10,8,rail,0,nhbo
11,8,rail,0,nhbo
12,8,rail,0,nhbo
13,8,rail,0,nhbo
14,8,rail,0,nhbo
15,8,rail,0,nhbo
10,9,rail,0,nhbo
11,9,rail,0,nhbo
12,9,rail,0,nhbo
13,9,rail,0,nhbo
14,9,rail,0,nhbo
15,9,rail,0,nhbo
11,10,rail,0,nhbo
12,10,rail,0,nhbo
13,10,rail,0,nhbo
14,10,rail,0,nhbo
15,10,rail,0,nhbo
12,11,rail,0,nhbo
13,11,rail,0,nhbo
14,11,rail,0,nhbo
15,11,rail,0,nhbo
13,12,rail,0,nhbo
14,12,rail,0,nhbo
15,12,rail,0,nhbo
14,13,rail,0,nhbo
15,13,rail,0,nhbo
15,14,rail,0,nhbo
1,1,rail,0,nhbo
2,2,rail,0,nhbo
5,5,rail,0,nhbo
7,7,rail,0,nhbo
8,8,rail,0,nhbo
9,9,rail,0,nhbo
10,10,rail,0,nhbo
11,11,rail,0,nhbo
12,12,rail,0,nhbo
13,13,rail,0,nhbo
14,14,rail,0,nhbo
15,15,rail,0,nhbo
1,1,bus,0,nhbo
1,2,bus,0,nhbo
1,3,bus,0,nhbo
1,4,bus,0,nhbo
1,5,bus,0,nhbo
1,6,bus,0,nhbo
1,7,bus,0,nhbo
1,8,bus,0,nhbo
1,9,bus,0,nhbo
1,10,bus,0,nhbo
1,11,bus,0,nhbo
1,12,bus,0,nhbo
1,13,bus,0,nhbo
1,14,bus,0,nhbo
1,15,bus,0,nhbo
2,1,bus,0,nhbo
2,3,bus,0,nhbo
2,5,bus,0,nhbo
2,6,bus,0,nhbo
2,7,bus,0,nhbo
2,8,bus,0,nhbo
2,9,bus,0,nhbo
2,10,bus,0,nhbo
2,11,bus,0,nhbo
2,12,bus,0,nhbo
2,13,bus,0,nhbo
2,14,bus,0,nhbo
2,15,bus,0,nhbo
3,1,bus,0,nhbo
3,2,bus,0,nhbo
3,6,bus,0,nhbo
3,7,bus,0,nhbo
3,8,bus,0,nhbo
3,9,bus,0,nhbo
3,10,bus,0,nhbo
3,11,bus,0,nhbo
3,12,bus,0,nhbo
3,13,bus,0,nhbo
3,14,bus,0,nhbo
3,15,bus,0,nhbo
4,1,bus,0,nhbo
4,6,bus,0,nhbo
4,7,bus,0,nhbo
4,8,bus,0,nhbo
4,9,bus,0,nhbo
4,10,bus,0,nhbo
4,11,bus,0,nhbo
4,12,bus,0,nhbo
4,13,bus,0,nhbo
4,14,bus,0,nhbo
4,15,bus,0,nhbo
5,1,bus,0,nhbo
5,2,bus,0,nhbo
5,7,bus,0,nhbo
5,8,bus,0,nhbo
5,9,bus,0,nhbo
5,10,bus,0,nhbo
5,11,bus,0,nhbo
5,12,bus,0,nhbo
5,13,bus,0,nhbo
5,14,bus,0,nhbo
5,15,bus,0,nhbo
6,1,bus,0,nhbo
6,2,bus,0,nhbo
6,3,bus,0,nhbo
6,4,bus,0,nhbo
6,7,bus,0,nhbo
6,8,bus,0,nhbo
6,9,bus,0,nhbo
6,10,bus,0,nhbo
6,11,bus,0,nhbo
6,12,bus,0,nhbo
6,13,bus,0,nhbo
6,14,bus,0,nhbo
6,15,bus,0,nhbo
7,1,bus,0,nhbo
7,2,bus,0,nhbo
7,3,bus,0,nhbo
7,4,bus,0,nhbo
7,5,bus,0,nhbo
7,6,bus,0,nhbo
7,8,bus,0,nhbo
7,9,bus,0,nhbo
7,10,bus,0,nhbo
7,11,bus,0,nhbo
7,12,bus,0,nhbo
7,13,bus,0,nhbo
7,14,bus,0,nhbo
7,15,bus,0,nhbo
8,1,bus,0,nhbo
8,2,bus,0,nhbo
8,3,bus,0,nhbo
8,4,bus,0,nhbo
8,5,bus,0,nhbo
8,6,bus,0,nhbo
8,7,bus,0,nhbo
8,9,bus,0,nhbo
8,10,bus,0,nhbo
8,11,bus,0,nhbo
8,12,bus,0,nhbo
8,13,bus,0,nhbo
8,14,bus,0,nhbo
8,15,bus,0,nhbo
9,1,bus,0,nhbo
9,2,bus,0,nhbo
9,3,bus,0,nhbo
9,4,bus,0,nhbo
9,5,bus,0,nhbo
9,6,bus,0,nhbo
9,7,bus,0,nhbo
9,8,bus,0,nhbo
9,10,bus,0,nhbo
9,11,bus,0,nhbo
9,13,bus,0,nhbo
9,14,bus,0,nhbo
9,15,bus,0,nhbo
10,1,bus,0,nhbo
10,2,bus,0,nhbo
10,3,bus,0,nhbo
10,4,bus,0,nhbo
10,5,bus,0,nhbo
10,6,bus,0,nhbo
10,7,bus,0,nhbo
10,8,bus,0,nhbo
10,9,bus,0,nhbo
10,11,bus,0,nhbo
10,12,bus,0,nhbo
10,13,bus,0,nhbo
10,14,bus,0,nhbo
10,15,bus,0,nhbo
11,1,bus,0,nhbo
11,2,bus,0,nhbo
11,3,bus,0,nhbo
11,4,bus,0,nhbo
11,5,bus,0,nhbo
11,6,bus,0,nhbo
11,7,bus,0,nhbo
11,8,bus,0,nhbo
11,9,bus,0,nhbo
11,10,bus,0,nhbo
11,12,bus,0,nhbo
11,13,bus,0,nhbo
11,14,bus,0,nhbo
11,15,bus,0,nhbo
12,1,bus,0,nhbo
12,2,bus,0,nhbo
12,3,bus,0,nhbo
12,4,bus,0,nhbo
12,5,bus,0,nhbo
12,6,bus,0,nhbo
12,7,bus,0,nhbo
12,8,bus,0,nhbo
12,10,bus,0,nhbo
12,11,bus,0,nhbo
12,13,bus,0,nhbo
12,14,bus,0,nhbo
12,15,bus,0,nhbo
13,1,bus,0,nhbo
13,2,bus,0,nhbo
13,3,bus,0,nhbo
13,4,bus,0,nhbo
13,5,bus,0,nhbo
13,6,bus,0,nhbo
13,7,bus,0,nhbo
13,8,bus,0,nhbo
13,9,bus,0,nhbo
13,10,bus,0,nhbo
13,11,bus,0,nhbo
13,12,bus,0,nhbo
13,13,bus,0,nhbo
13,14,bus,0,nhbo
13,15,bus,0,nhbo
14,1,bus,0,nhbo
14,2,bus,0,nhbo
14,3,bus,0,nhbo
14,4,bus,0,nhbo
14,5,bus,0,nhbo
14,6,bus,0,nhbo
14,7,bus,0,nhbo
14,8,bus,0,nhbo
14,9,bus,0,nhbo
14,10,bus,0,nhbo
14,11,bus,0,nhbo
14,12,bus,0,nhbo
14,13,bus,0,nhbo
14,14,bus,0,nhbo
14,15,bus,0,nhbo
15,1,bus,0,nhbo
15,2,bus,0,nhbo
15,3,bus,0,nhbo
15,4,bus,0,nhbo
15,5,bus,0,nhbo
15,6,bus,0,nhbo
15,7,bus,0,nhbo
15,8,bus,0,nhbo
15,9,bus,0,nhbo
15,10,bus,0,nhbo
15,11,bus,0,nhbo
15,12,bus,0,nhbo
15,13,bus,0,nhbo
15,14,bus,0,nhbo
15,15,bus,0,nhbo
3,4,rail,0,hbu
5,3,bus,0,hbu
4,3,rail,0,hbsc
3,4,rail,0,hbsh
3,4,rail,0,hbw
3,4,rail,0,hbpb
4,3,rail,0,hbpb
4,3,rail,0,hbsh
3,4,rail,0,hbso
3,4,rail,0,nhbo
3,2,rail,0,nhbo
3,2,rail,0,hbu
4,3,rail,0,hbso
4,3,rail,0,nhbo
3,2,rail,0,hbsh
3,2,rail,0,hbso
2,3,rail,0,nhbo
3,2,rail,0,hbw
2,3,rail,0,hbso
2,3,rail,0,hbsh
3,5,rail,0,nhbo
3,2,rail,0,hbpb
3,4,rail,0,nhbw
5,3,rail,0,nhbo
4,3,rail,0,nhbw
3,2,rail,0,hbes
3,2,rail,0,nhbw
3,5,rail,0,hbw
2,3,rail,0,nhbw
4,7,rail,0,nhbo
3,7,rail,0,nhbo
7,4,rail,0,nhbo
3,5,rail,0,hbu
3,9,rail,0,nhbo
9,5,rail,0,nhbo
5,9,rail,0,nhbo
9,4,rail,0,nhbo
4,9,rail,0,nhbo
3,5,rail,0,hbso
3,4,rail,0,hbes
7,3,rail,0,nhbo
2,3,rail,0,hbpb
9,3,rail,0,nhbo
4,7,rail,0,hbso
7,4,rail,0,hbso
5,3,rail,0,hbso
2,3,rail,0,hbes
3,9,rail,0,hbw
3,7,rail,0,hbso
3,9,rail,0,hbso
4,9,rail,0,hbso
4,3,rail,0,hbw
4,7,rail,0,hbw
4,9,rail,0,hbw
9,4,rail,0,hbso
9,5,rail,0,hbso
4,3,rail,0,hbes
3,7,rail,0,hbw
3,5,rail,0,nhbw
5,9,rail,0,hbso
7,3,rail,0,hbso
7,4,rail,0,nhbw
5,3,rail,0,nhbw
2,3,rail,0,hbw
4,7,rail,0,nhbw
9,3,rail,0,hbso
9,4,rail,0,nhbw
4,9,rail,0,nhbw
9,5,rail,0,nhbw
5,9,rail,0,nhbw
3,7,rail,0,nhbw
3,9,rail,0,nhbw
7,4,rail,0,hbes
7,3,rail,0,nhbw
9,3,rail,0,nhbw
4,9,rail,0,hbu
5,9,rail,0,hbu
3,5,rail,0,hbes
5,9,rail,0,hbw
5,3,rail,0,hbsh
9,4,rail,0,hbes
9,5,rail,0,hbes
4,7,rail,0,hbes
5,3,rail,0,hbes
2,3,rail,0,hbu
7,3,rail,0,hbes
9,3,rail,0,hbes
7,4,rail,0,hbw
4,7,rail,0,hbu
4,9,rail,0,hbes
5,9,rail,0,hbes
9,5,rail,0,hbw
4,3,rail,0,hbu
3,5,rail,0,hbsh
9,4,rail,0,hbw
4,7,rail,0,hbsh
3,9,rail,0,hbu
7,4,rail,0,hbsh
3,9,rail,0,hbes
3,5,rail,0,hbpb
5,3,rail,0,hbw
3,7,rail,0,hbes
4,7,rail,0,hbpb
9,5,rail,0,hbsh
5,3,rail,0,hbpb
3,7,rail,0,hbsh
9,4,rail,0,hbsh
3,9,rail,0,hbsh
9,3,rail,0,hbsh
7,3,rail,0,hbsh
7,4,rail,0,hbpb
4,9,rail,0,hbsh
7,3,rail,0,hbw
5,9,rail,0,hbsh
3,7,rail,0,hbu
7,4,rail,0,hbu
9,5,rail,0,hbpb
9,4,rail,0,hbpb
9,3,rail,0,hbw
5,9,rail,0,hbpb
4,9,rail,0,hbpb
7,3,rail,0,hbpb
3,7,rail,0,hbpb
9,3,rail,0,hbpb
3,9,rail,0,hbpb
5,3,rail,0,hbu
9,5,rail,0,hbu
9,4,rail,0,hbu
7,3,rail,0,hbu
9,3,rail,0,hbu
