purpose,gb_i,IX,mode,peakperiod,direction,shares
hbpb,5,I,Auto,MD,PtoA,0.034775
hbpb,5,I,Auto,PM,PtoA,0.019443
hbpb,5,I,Auto,MD,AtoP,0.053783
hbpb,5,I,Auto,PM,AtoP,0.062538
hbpb,5,X,Auto,AM,PtoA,0.038894
hbpb,5,X,Auto,MD,PtoA,0.045101
hbpb,5,X,Auto,PM,PtoA,0.004947
hbpb,5,X,Auto,AM,AtoP,0.011525
hbpb,5,X,Auto,MD,AtoP,0.038835
hbpb,5,X,Auto,PM,AtoP,0.053314
hbshop,1,I,Auto,AM,PtoA,0.005769
hbshop,1,I,Auto,MD,PtoA,0.026791
hbshop,1,I,Auto,PM,PtoA,0.017982
hbshop,1,I,Auto,AM,AtoP,0.000879
hbshop,1,I,Auto,MD,AtoP,0.048625
hbshop,1,I,Auto,PM,AtoP,0.066987
hbshop,1,X,Auto,MD,PtoA,0.01114
hbshop,1,X,Auto,PM,PtoA,0.008399
hbshop,1,X,Auto,MD,AtoP,0.100295
hbshop,1,X,Auto,PM,AtoP,0.023976
hbshop,2,I,Auto,AM,PtoA,0.002928
hbshop,2,I,Auto,MD,PtoA,0.023156
hbshop,2,I,Auto,PM,PtoA,0.017138
hbshop,2,I,Auto,AM,AtoP,0.001226
hbshop,2,I,Auto,MD,AtoP,0.049358
hbshop,2,I,Auto,PM,AtoP,0.06239
hbshop,2,X,Auto,AM,PtoA,0.001471
hbshop,2,X,Auto,MD,PtoA,0.049468
hbshop,2,X,Auto,PM,PtoA,0.009484
hbshop,2,X,Auto,MD,AtoP,0.044344
hbshop,2,X,Auto,PM,AtoP,0.042942
hbshop,3,I,Auto,AM,PtoA,0.006771
hbshop,3,I,Auto,MD,PtoA,0.034824
hbshop,3,I,Auto,PM,PtoA,0.020007
hbshop,3,I,Auto,MD,AtoP,0.054903
hbshop,3,I,Auto,PM,AtoP,0.068004
hbshop,3,X,Auto,MD,PtoA,0.054112
hbshop,3,X,Auto,MD,AtoP,0.072034
hbshop,3,X,Auto,PM,AtoP,0.021027
hbshop,4,I,Auto,AM,PtoA,0.004544
hbshop,4,I,Auto,MD,PtoA,0.02615
hbshop,4,I,Auto,PM,PtoA,0.026881
hbshop,4,I,Auto,AM,AtoP,0.001511
hbshop,4,I,Auto,MD,AtoP,0.054352
hbshop,4,I,Auto,PM,AtoP,0.06552
hbshop,4,X,Auto,AM,PtoA,0.006205
hbshop,4,X,Auto,MD,PtoA,0.024265
hbshop,4,X,Auto,PM,PtoA,0.002058
hbshop,4,X,Auto,MD,AtoP,0.06958
hbshop,4,X,Auto,PM,AtoP,0.035314
hbshop,5,I,Auto,AM,PtoA,0.001953
hbshop,5,I,Auto,MD,PtoA,0.012147
hbshop,5,I,Auto,PM,PtoA,0.017852
hbshop,5,I,Auto,MD,AtoP,0.045471
hbshop,5,I,Auto,PM,AtoP,0.055569
hbshop,5,X,Auto,AM,PtoA,0.01024
hbshop,5,X,Auto,MD,PtoA,0.018408
hbshop,5,X,Auto,PM,PtoA,0.008087
hbshop,5,X,Auto,MD,AtoP,0.05412
hbshop,5,X,Auto,PM,AtoP,0.039615
hbsoc,1,I,Auto,AM,PtoA,0.017418
hbsoc,1,I,Auto,MD,PtoA,0.029592
hbsoc,1,I,Auto,PM,PtoA,0.031711
hbsoc,1,I,Auto,AM,AtoP,0.007931
hbsoc,1,I,Auto,MD,AtoP,0.022713
hbsoc,1,I,Auto,PM,AtoP,0.03758
hbsoc,1,X,Auto,AM,PtoA,0.013757
hbsoc,1,X,Auto,MD,PtoA,0.017231
hbsoc,1,X,Auto,PM,PtoA,0.056024
hbsoc,1,X,Auto,AM,AtoP,0.002848
hbsoc,1,X,Auto,MD,AtoP,0.013445
hbsoc,1,X,Auto,PM,AtoP,0.00446
hbsoc,2,I,Auto,AM,PtoA,0.016087
hbsoc,2,I,Auto,MD,PtoA,0.022788
hbsoc,2,I,Auto,PM,PtoA,0.036959
hbsoc,2,I,Auto,AM,AtoP,0.00495
hbsoc,2,I,Auto,MD,AtoP,0.01878
hbsoc,2,I,Auto,PM,AtoP,0.03897
hbsoc,2,X,Auto,AM,PtoA,0.017144
hbsoc,2,X,Auto,MD,PtoA,0.018108
hbsoc,2,X,Auto,PM,PtoA,0.020103
hbsoc,2,X,Auto,AM,AtoP,0.001071
hbsoc,2,X,Auto,MD,AtoP,0.023079
hbsoc,2,X,Auto,PM,AtoP,0.030947
hbsoc,3,I,Auto,AM,PtoA,0.019684
hbsoc,3,I,Auto,MD,PtoA,0.021076
hbsoc,3,I,Auto,PM,PtoA,0.029513
hbsoc,3,I,Auto,AM,AtoP,0.001147
hbsoc,3,I,Auto,MD,AtoP,0.018875
hbsoc,3,I,Auto,PM,AtoP,0.02927
hbsoc,3,X,Auto,AM,PtoA,0.019576
hbsoc,3,X,Auto,MD,PtoA,0.011706
hbsoc,3,X,Auto,PM,PtoA,0.047847
hbsoc,3,X,Auto,MD,AtoP,0.016921
hbsoc,3,X,Auto,PM,AtoP,0.039002
hbsoc,4,I,Auto,AM,PtoA,0.013188
