mat_id,mo100,mo101,mo102,mo103,mo104,mo105,mo106,mo107,mo108,mo109,mo110
mat_name,d_cbd,d_tc,d_uni,d_ubc,d_sfu,d_air,d_yvr,d_ns,d_dtes,d_fry,d_hosp
mat_desc,cbd dummy,towncentre dummy,university dummy,ubc dummy,sfu dummy,airport dummy,yvr dummy,northshore dummy,downtowneastidedummy,ferrydummy,hospitaldummy
TAZ1700,cbd,towncentre,university,ubc,sfu,airport,yvr,northshore,dtes,ferry,hospital
11010,0,0,0,0,0,0,0,1,0,0,0
11020,0,0,0,0,0,0,0,1,0,0,0
11030,0,0,0,0,0,0,0,1,0,1,0
11040,0,0,0,0,0,0,0,1,0,0,0
11050,0,0,0,0,0,0,0,1,0,0,0
11060,0,0,0,0,0,0,0,1,0,0,0
11070,0,0,0,0,0,0,0,1,0,0,0
11080,0,0,0,0,0,0,0,1,0,0,0
11090,0,0,0,0,0,0,0,1,0,0,0
11100,0,0,0,0,0,0,0,1,0,0,1
11110,0,0,0,0,0,0,0,1,0,0,0
11120,0,0,0,0,0,0,0,1,0,0,0
11130,0,0,0,0,0,0,0,1,0,0,0
11140,0,0,0,0,0,0,0,1,0,0,0
11150,0,0,0,0,0,0,0,1,0,0,0
11160,0,0,0,0,0,0,0,1,0,0,0
11170,0,0,0,0,0,0,0,1,0,0,0
11180,0,0,0,0,0,0,0,1,0,0,0
11190,0,0,0,0,0,0,0,1,0,0,0
11200,0,0,0,0,0,0,0,1,0,0,0
11210,0,0,0,0,0,0,0,1,0,0,0
11220,0,0,0,0,0,0,0,1,0,0,0
11230,0,0,0,0,0,0,0,1,0,0,0
11240,0,0,0,0,0,0,0,1,0,0,0
11250,0,1,0,0,0,0,0,1,0,0,0
11260,0,1,0,0,0,0,0,1,0,0,0
11270,0,0,0,0,0,0,0,1,0,0,0
11280,0,0,0,0,0,0,0,1,0,0,0
12010,0,0,0,0,0,0,0,1,0,0,0
12020,0,0,0,0,0,0,0,1,0,0,0
12030,0,0,0,0,0,0,0,1,0,0,0
12040,0,0,0,0,0,0,0,1,0,0,0
12050,0,0,0,0,0,0,0,1,0,0,0
12060,0,0,0,0,0,0,0,1,0,0,0
12070,0,0,0,0,0,0,0,1,0,0,0
