c Emme Modeller - Matrix Transaction
c Date: 2016-01-24 12:16:36
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mo54   s-0--   0.0 Segment W0                              
a matrix=mo72   s42--   0.0 Segment H4+W2                           
   gy01    all  2362.756
   gy02    all  6674.797
   gy03    all  1686.981
   gy04    all  21718.62
   gy05    all  13818.47
   gy06    all  11928.02
   gy07    all  8416.215
   gy08    all  2524.261
   gy09    all  24199.37
   gy10    all  6522.004
   gy11    all  4592.811
   gy12    all  6558.491
   gy13    all  2697.251
   gy14    all  11178.86
a matrix=mo73   s43--   0.0 Segment H4+W3+                          
   gy01    all  810.3364
   gy02    all   3921.49
   gy03    all  339.7874
   gy04    all  12073.18
   gy05    all  5411.373
   gy06    all  7212.815
   gy07    all  6693.389
   gy08    all  1712.452
   gy09    all  17827.75
   gy10    all   1535.53
   gy11    all  3014.023
   gy12    all  4344.241
   gy13    all  1704.416
   gy14    all  7469.127
a matrix=mo74   s101-   0.0 Segment H1W0L                           
   gy01    all  1527.006
   gy02    all   3427.71
   gy03    all  5614.313
   gy04    all  15485.74
   gy05    all  7819.082
   gy06    all  3960.195
   gy07    all   3588.01
   gy08    all  1011.306
   gy09    all  6358.911
   gy10    all   2433.21
   gy11    all   2275.48
   gy12    all  2992.429
   gy13    all  1791.058
   gy14    all  7903.907
a matrix=mo75   s111-   0.0 Segment H1W1L                           
   gy01    all  843.4106
   gy02    all  2389.717
   gy03    all  8149.215
   gy04    all  16475.34
   gy05    all  6842.392
   gy06    all   3140.47
   gy07    all  2229.881
   gy08    all  295.9203
   gy09    all  5419.707
   gy10    all  836.3803
   gy11    all  1166.088
   gy12    all  1442.019
   gy13    all  476.5972
   gy14    all  2748.552
a matrix=mo76   s201-   0.0 Segment H2W0L                           
   gy01    all    1391.3
   gy02    all  1724.298
   gy03    all  1908.653
   gy04    all   8069.58
   gy05    all  7233.368
   gy06    all  3832.892
   gy07    all  3458.253
   gy08    all  841.1486
   gy09    all  5754.608
   gy10    all  2005.362
   gy11    all  1776.394
   gy12    all  2424.925
   gy13    all  1220.958
   gy14    all   6152.84
a matrix=mo77   s211-   0.0 Segment H2W1L                           
   gy01    all  685.8085
   gy02    all  2082.792
   gy03    all  3617.246
   gy04    all   10676.9
   gy05    all  5892.099
   gy06    all  3118.232
   gy07    all  3160.503
   gy08    all  644.2612
   gy09    all  5956.294
   gy10    all  902.0947
   gy11    all  1451.672
   gy12    all  1927.488
   gy13    all  730.2193
   gy14    all  3351.217
a matrix=mo78   s221-   0.0 Segment H2W2L                           
   gy01    all  310.6132
   gy02    all  1181.285
   gy03    all  1551.895
   gy04    all  6361.927
   gy05    all  3433.284
   gy06    all  1751.987
   gy07    all    1574.8
   gy08    all  233.4036
   gy09    all  2335.491
   gy10    all  111.7341
   gy11    all  828.6082
   gy12    all  672.6572
   gy13    all  510.9322
   gy14    all  2303.016
a matrix=mo79   s301-   0.0 Segment H3W0L                           
   gy01    all  124.4405
   gy02    all  283.8394
   gy03    all  186.0086
   gy04    all  1615.208
   gy05    all  1348.203
   gy06    all  624.2297
   gy07    all  949.4715
   gy08    all  114.6174
   gy09    all  534.9415
   gy10    all  436.6407
   gy11    all  225.9926
   gy12    all    137.93
   gy13    all  184.9919
   gy14    all  397.6637
a matrix=mo80   s311-   0.0 Segment H3W1L                           
   gy01    all  257.2479
   gy02    all  608.7424
   gy03    all  875.0302
   gy04    all   3818.07
   gy05    all  2325.786
   gy06    all  1508.595
   gy07    all   1770.78
   gy08    all  267.7508
   gy09    all   1668.28
   gy10    all  256.1862
   gy11    all  643.5443
   gy12    all  561.3951
   gy13    all  206.0147
   gy14    all  927.1272
a matrix=mo81   s321-   0.0 Segment H3W2L                           
   gy01    all  146.2966
   gy02    all  553.5823
   gy03    all   245.924
   gy04    all  2751.743
   gy05    all  1593.292
   gy06    all  1096.385
   gy07    all  1603.855
   gy08    all  200.1668
   gy09    all  1586.053
   gy10    all  85.46162
   gy11    all  450.7852
   gy12    all  133.7343
   gy13    all   178.465
   gy14    all  816.0722
a matrix=mo82   s331-   0.0 Segment H3W3L                           
   gy01    all  67.93966
   gy02    all  137.4074
   gy03    all  65.48067
   gy04    all  788.6066
   gy05    all  524.8828
   gy06    all  298.4741
   gy07    all  299.6722
   gy08    all  13.89846
   gy09    all  649.8969
   gy10    all  4.662131
   gy11    all  117.1484
   gy12    all  55.09065
   gy13    all  96.88764
   gy14    all   415.779
a matrix=mo83   s401-   0.0 Segment H4+W0L                          
   gy01    all   104.302
   gy02    all  101.2898
   gy03    all  229.6578
   gy04    all  1571.293
   gy05    all  701.4658
   gy06    all  300.6773
   gy07    all  727.2329
   gy08    all  87.86852
   gy09    all  684.0922
   gy10    all  358.0182
   gy11    all  215.3235
   gy12    all  155.5693
   gy13    all   126.134
   gy14    all   271.156
a matrix=mo84   s411-   0.0 Segment H4+W1L                          
   gy01    all  675.1575
   gy02    all    937.77
   gy03    all  738.8153
   gy04    all  5023.361
   gy05    all  3165.472
   gy06    all  2208.226
   gy07    all   2579.11
   gy08    all  523.5317
   gy09    all  4579.991
   gy10    all  781.2063
   gy11    all  1034.614
   gy12    all  885.8751
   gy13    all   295.341
   gy14    all  1827.193
a matrix=mo85   s421-   0.0 Segment H4+W2L                          
   gy01    all  199.6529
   gy02    all  564.0204
   gy03    all  178.7011
   gy04    all  2964.373
   gy05    all  2390.595
   gy06    all  1483.846
   gy07    all  1355.852
   gy08    all  154.2323
   gy09    all  3351.613
   gy10    all  251.0972
   gy11    all  571.3457
   gy12    all  486.6401
   gy13    all   335.538
   gy14    all  1947.358
a matrix=mo86   s431-   0.0 Segment H4+W3+L                         
   gy01    all  56.07529
   gy02    all  271.3672
   gy03    all  62.47684
   gy04    all  2199.394
   gy05    all  899.9114
   gy06    all   1007.63
   gy07    all  1024.758
   gy08    all   90.9312
   gy09    all  2396.049
   gy10    all  52.82223
   gy11    all   421.059
   gy12    all  132.9338
   gy13    all  238.1069
   gy14    all  975.4679
a matrix=mo87   s102-   0.0 Segment H1W0M                           
   gy01    all  1126.972
   gy02    all  3059.293
   gy03    all  1748.659
   gy04    all  7728.536
   gy05    all  5613.095
   gy06    all   2294.73
   gy07    all  2318.456
   gy08    all  797.2515
   gy09    all    4813.8
   gy10    all  2269.453
   gy11    all  1318.524
   gy12    all  1837.189
   gy13    all  1037.826
   gy14    all  4081.341
a matrix=mo88   s112-   0.0 Segment H1W1M                           
   gy01    all  803.3604
   gy02    all  2860.317
   gy03    all  7279.129
   gy04    all   16993.1
   gy05    all  7971.137
   gy06    all   4379.33
   gy07    all  3467.784
   gy08    all  732.0227
   gy09    all  6385.267
   gy10    all  1453.727
   gy11    all  1626.089
   gy12    all  2634.921
   gy13    all  664.6064
   gy14    all  3461.108
a matrix=mo89   s202-   0.0 Segment H2W0M                           
   gy01    all  1211.814
   gy02    all   1832.45
   gy03    all  788.0169
   gy04    all  4358.931
   gy05    all  2546.432
   gy06    all  2350.746
   gy07    all  1910.683
   gy08    all  570.8138
   gy09    all  3647.567
   gy10    all  1572.954
   gy11    all  1089.478
   gy12    all  1624.613
   gy13    all  748.8239
   gy14    all  3405.406
a matrix=mo90   s212-   0.0 Segment H2W1M                           
   gy01    all  292.8597
   gy02    all  1239.376
   gy03    all  1471.863
   gy04    all  3899.065
   gy05    all  2386.424
   gy06    all  2328.905
   gy07    all  1622.088
   gy08    all  417.7432
   gy09    all  4157.071
   gy10    all  826.2861
   gy11    all  1084.206
   gy12    all  1440.544
   gy13    all  545.3769
   gy14    all  2012.048
a matrix=mo91   s222-   0.0 Segment H2W2M                           
   gy01    all  473.7175
   gy02    all   2378.22
   gy03    all  2657.404
   gy04    all  9502.805
   gy05    all   5831.69
   gy06    all  3608.987
   gy07    all   2637.58
   gy08    all  755.2445
   gy09    all  6776.289
   gy10    all  1340.459
   gy11    all  1706.882
   gy12    all  2796.623
   gy13    all  1052.489
   gy14    all  4763.423
a matrix=mo92   s302-   0.0 Segment H3W0M                           
   gy01    all  18.19269
   gy02    all  75.39031
   gy03    all  140.2994
   gy04    all   223.432
   gy05    all  222.1461
   gy06    all  35.70966
   gy07    all  20.86751
   gy08    all   2.83006
   gy09    all  143.1534
   gy10    all  136.0028
   gy11    all  12.92812
   gy12    all    63.117
   gy13    all  10.58264
   gy14    all  156.1161
a matrix=mo93   s312-   0.0 Segment H3W1M                           
   gy01    all  319.0881
   gy02    all  909.5821
   gy03    all  977.6943
   gy04    all  4576.285
   gy05    all  3068.943
   gy06    all   1835.37
   gy07    all  1716.266
   gy08    all  351.1098
   gy09    all  3143.511
   gy10    all  774.7579
   gy11    all  782.9421
