t matrices
 gz1 gz6380:.00083
 gz1 gz6390:.00056
 gz1 gz6400:.00194
 gz1 gz6410:.00222
 gz1 gz6420:.00056
 gz1 gz6430:.00486
 gz1 gz6440:.00222
 gz1 gz6450:.00292
 gz1 gz6460:.01889
 gz1 gz6470:.00472
 gz1 gz6480:.00375
 gz1 gz6700:.00250
 gz1 gz6710:.00167
 gz1 gz6720:.00153
 gz1 gz6730:.00139
 gz1 gz6740:.00042
 gz1 gz6750:.00014
 gz1 gz6760:.00097
 gz1 gz6770:.00125
 gz1 gz6780:.04430
 gz1 gz6790:.05138
 gz1 gz6800:.00917
 gz1 gz6810:.00222
 gz1 gz7000:.00097
 gz1 gz7010:.00181
 gz1 gz7020:.00097
 gz1 gz7030:.00236
 gz1 gz7040:.00056
 gz1 gz7050:.00111
 gz1 gz7060:.00208
 gz1 gz7070:.00056
 gz1 gz7080:.00042
 gz1 gz7100:.00153
 gz1 gz7110:.00361
 gz1 gz7120:.00542
 gz1 gz7130:.00111
 gz1 gz7140:.00125
 gz1 gz7150:.00111
 gz1 gz7170:.00111
 gz1 gz7180:.00430
 gz1 gz7190:.00125
 gz1 gz7200:.00528
 gz1 gz7210:.00306
 gz1 gz7220:.00097
 gz1 gz7230:.00125
 gz1 gz7240:.00069
 gz1 gz7250:.00236
 gz1 gz7260:.00056
 gz1 gz7270:.00292
 gz1 gz7280:.00069
 gz1 gz7290:.00042
 gz1 gz7300:.00486
 gz1 gz7320:.00028
 gz1 gz7330:.00042
 gz1 gz7340:.00125
 gz1 gz7350:.00236
 gz1 gz7360:.00014
 gz1 gz7370:.00028
 gz1 gz7380:.00014
 gz1 gz7390:.00139
 gz1 gz7400:.00069
 gz1 gz7410:.00792
 gz1 gz7420:.00139
 gz1 gz7430:.00014
 gz1 gz7440:.00097
 gz1 gz7450:.00056
 gz1 gz7460:.00361
 gz1 gz7470:.01111
 gz1 gz7480:.00306
 gz1 gz7490:.00014
 gz1 gz7500:.00194
 gz1 gz7510:.00014
 gz1 gz7520:.00014
 gz1 gz7530:.00056
 gz1 gz7540:.00056
 gz1 gz7550:.00042
 gz1 gz7560:.00028
 gz1 gz7570:.00181
 gz1 gz7580:.00056
 gz1 gz7590:.00069
 gz1 gz7600:.00139
 gz1 gz7610:.00069
 gz1 gz7620:.00042
 gz1 gz7630:.00097
 gz1 gz7640:.00028
 gz1 gz7650:.00139
 gz1 gz7660:.00042
 gz1 gz7670:.00153
 gz1 gz7680:.00167
 gz1 gz7690:.00042
 gz1 gz7700:.00014
 gz1 gz7710:.00014
 gz1 gz7720:.00667
 gz1 gz7730:.00028
 gz1 gz7740:.01167
 gz1 gz7750:.00014
 gz1 gz7760:.00125
 gz1 gz7770:.00111
 gz1 gz7780:.00111
 gz1 gz7790:.00042
 gz1 gz7800:.06305
 gz1 gz7810:.00361
 gz1 gz7820:.00056
 gz1 gz7830:.00111
 gz1 gz7840:.00139
 gz1 gz7850:.00028
 gz1 gz7860:.00056
 gz1 gz7870:.00083
 gz1 gz7880:.00028
 gz1 gz7890:.00250
 gz1 gz7900:.00250
 gz1 gz7910:.00736
 gz1 gz7920:.00319
 gz1 gz7930:.00875
 gz1 gz8000:.00014
 gz1 gz8010:.00014
 gz1 gz8020:.00028
 gz1 gz8030:.00056
 gz1 gz8040:.00028
 gz1 gz8050:.00014
 gz1 gz8060:.00139
 gz1 gz8070:.00139
 gz1 gz8080:.00125
 gz1 gz8090:.00014
 gz1 gz8100:.00014
 gz1 gz8130:.00014
 gz1 gz8140:.00014
 gz1 gz8150:.00014
 gz1 gz8160:.00014
 gz1 gz8170:.00028
 gz1 gz8180:.00042
 gz1 gz8300:.00097
 gz1 gz8310:.00194
 gz1 gz8320:.00167
 gz1 gz8330:.00111
 gz1 gz8340:.00028
 gz1 gz8350:.00042
 gz1 gz8360:.00111
 gz1 gz8370:.00042
 gz1 gz8400:.00736
 gz1 gz8410:.00028
 gz1 gz8420:.00083
 gz1 gz8430:.00167
 gz1 gz8440:.00028
 gz1 gz8450:.00125
 gz1 gz8460:.00153
 gz1 gz8470:.00014
 gz1 gz8480:.00042
 gz1 gz8490:.00014
 gz1 gz8500:.00014
 gz1 gz8510:.00028
 gz1 gz8520:.00042
 gz1 gz8530:.00069
 gz1 gz8540:.00222
 gz1 gz8550:.00250
 gz1 gz8560:.00042
 gz1 gz8570:.00042
 gz1 gz8580:.00028
 gz1 gz8590:.00153
 gz1 gz8600:.00194
 gz1 gz8610:.00069
 gz1 gz8620:.00194
 gz1 gz8630:.00083
 gz1 gz8640:.00028
 gz1 gz8650:.00083
 gz1 gz8660:.00194
 gz1 gz8670:.00097
 gz1 gz8680:.00069
 gz1 gz8690:.00028
 gz1 gz8700:.00194
 gz1 gz8710:.00028
 gz1 gz8720:.00042
 gz1 gz8730:.00028
 gz1 gz8740:.00028
 gz1 gz8750:.00056
 gz1 gz8760:.00042
 gz1 gz8770:.00028
 gz1 gz8780:.00069
 gz1 gz8790:.00042
 gz1 gz8800:.00069
 gz1 gz8810:.00042
 gz1 gz8820:.00069
 gz1 gz8830:.00222
 gz1 gz8840:.00222
 gz1 gz9050:.00042
 gz1 gz9090:.00444
 gz1 gz9160:.00111
 gz1 gz9170:.00069
 gz1 gz9180:.00028
 gz1 gz9190:.01916
 gz1 gz9200:.00014
 gz1 gz9300:.00236
 gz1 gz9310:.00361
 gz1 gz9320:.00111
 gz1 gz9330:.00056
 gz1 gz9340:.00139
 gz1 gz9350:.00278
 gz1 gz9360:.01083
 gz1 gz9370:.00069
 gz1 gz9380:.00097
 gz1 gz9390:.00167
 gz1 gz9400:.01708
 gz1 gz9410:.00139
 gz1 gz9420:.00639
 gz1 gz9430:.00569
 gz1 gz9440:.00069
 gz1 gz9450:.00139
 gz1 gz9460:.00125
 gz1 gz9470:.00083
 gz1 gz9500:.00472
 gz1 gz9510:.00236
 gz1 gz9520:.00653
 gz1 gz9530:.00083
 gz1 gz9540:.00153
 gz1 gz9550:.00125
 gz1 gz9560:.00111
 gz1 gz9570:.00153
 gz1 gz9610:.00750
 gz1 gz9620:.03861
 gz1 gz9650:.01347
 gz1 gz9670:.00097
 gz1 gz9680:.00028
 gz1 gz9690:.00597
 gz1 gz9710:.00014
 gz1 gz9810:.00569
 gz2 gz1000:.00536
 gz2 gz1010:.00131
 gz2 gz1020:.00007
 gz2 gz1030:.00029
 gz2 gz1040:.00069
 gz2 gz1050:.00128
 gz2 gz1060:.00121
 gz2 gz1070:.00095
 gz2 gz1080:.00046
 gz2 gz1090:.00222
 gz2 gz1100:.00458
 gz2 gz1110:.00088
 gz2 gz1150:.00026
 gz2 gz1260:.00105
 gz2 gz1270:.00275
 gz2 gz1280:.00209
 gz2 gz1290:.00258
 gz2 gz1620:.00036
 gz2 gz1630:.00003
 gz2 gz1640:.00029
 gz2 gz1650:.00144
 gz2 gz1660:.00029
 gz2 gz1670:.00010
 gz2 gz1680:.00046
 gz2 gz1690:.00079
 gz2 gz1700:.00010
 gz2 gz1710:.00023
 gz2 gz1900:.00049
 gz2 gz1910:.00013
 gz2 gz1930:.00190
 gz2 gz2020:.00003
 gz2 gz2030:.00003
 gz2 gz2040:.00007
 gz2 gz2050:.00003
 gz2 gz2070:.00003
 gz2 gz2080:.00007
 gz2 gz2090:.00003
 gz2 gz2100:.00007
 gz2 gz2110:.00010
 gz2 gz2120:.00016
 gz2 gz2130:.00023
 gz2 gz2140:.00007
 gz2 gz2150:.00036
 gz2 gz2160:.00013
 gz2 gz2170:.00013
 gz2 gz2180:.00013
 gz2 gz2190:.00016
 gz2 gz2200:.00007
 gz2 gz2210:.00007
 gz2 gz2220:.00007
 gz2 gz2250:.00003
 gz2 gz2260:.00003
 gz2 gz2270:.00003
 gz2 gz2290:.00013
 gz2 gz2310:.00003
 gz2 gz2320:.00003
 gz2 gz2330:.00003
 gz2 gz3000:.00311
 gz2 gz3010:.00425
 gz2 gz3020:.00206
 gz2 gz3030:.00422
 gz2 gz3040:.00399
 gz2 gz3150:.00085
 gz2 gz3160:.00838
 gz2 gz3210:.00412
 gz2 gz3220:.00186
 gz2 gz3230:.00157
 gz2 gz3240:.00144
 gz2 gz3250:.00249
 gz2 gz3260:.00121
 gz2 gz3270:.00327
 gz2 gz3280:.00095
 gz2 gz3290:.00180
 gz2 gz3330:.00268
 gz2 gz3340:.00638
 gz2 gz3350:.00278
 gz2 gz3360:.00298
 gz2 gz3400:.00128
 gz2 gz3410:.00193
 gz2 gz3420:.00020
 gz2 gz3430:.00059
 gz2 gz3440:.00056
 gz2 gz3450:.00409
 gz2 gz3460:.00429
 gz2 gz3480:.00052
 gz2 gz3490:.00026
 gz2 gz3520:.00010
 gz2 gz3530:.00016
 gz2 gz3570:.00026
 gz2 gz3850:.00088
 gz2 gz3860:.00448
 gz2 gz3890:.00118
 gz2 gz3910:.00033
 gz2 gz3920:.00007
 gz2 gz3940:.00007
 gz2 gz3950:.00007
 gz2 gz3970:.00016
 gz2 gz3980:.00049
 gz2 gz3990:.00007
 gz2 gz4020:.00275
 gz2 gz4030:.00154
 gz2 gz4070:.00059
 gz2 gz4080:.00141
 gz2 gz4100:.00095
 gz2 gz4120:.00079
 gz2 gz4130:.00013
 gz2 gz4150:.00046
 gz2 gz4160:.01037
 gz2 gz4170:.00010
 gz2 gz4180:.00039
 gz2 gz4190:.00321
 gz2 gz4200:.00052
 gz2 gz4210:.00003
 gz2 gz4220:.00052
 gz2 gz4230:.00033
 gz2 gz4240:.00036
 gz2 gz4250:.00023
 gz2 gz4260:.00075
 gz2 gz4270:.00039
 gz2 gz4280:.00219
 gz2 gz4290:.00236
 gz2 gz4300:.00043
 gz2 gz4310:.00020
 gz2 gz4320:.00007
 gz2 gz4330:.00026
 gz2 gz4340:.00020
 gz2 gz4350:.00137
 gz2 gz4360:.00007
 gz2 gz4370:.00003
 gz2 gz4380:.00039
 gz2 gz4390:.00206
 gz2 gz4400:.00039
 gz2 gz4410:.00265
 gz2 gz4420:.00200
 gz2 gz4430:.00419
 gz2 gz4440:.00314
 gz2 gz4450:.00007
 gz2 gz4460:.00003
 gz2 gz4470:.00013
 gz2 gz4480:.00013
 gz2 gz4490:.00007
 gz2 gz4500:.00003
 gz2 gz4510:.00010
 gz2 gz4530:.00007
 gz2 gz4550:.00101
 gz2 gz4560:.00268
 gz2 gz4700:.00043
 gz2 gz4710:.01204
 gz2 gz4720:.00164
 gz2 gz4730:.00245
 gz2 gz4740:.00357
 gz2 gz4750:.00147
 gz2 gz4760:.01116
 gz2 gz4770:.00753
 gz2 gz4780:.00039
 gz2 gz4790:.00134
 gz2 gz4800:.00236
 gz2 gz4810:.00108
 gz2 gz4820:.00317
 gz2 gz4830:.00874
 gz2 gz4840:.00429
 gz2 gz5100:.00029
 gz2 gz5110:.00082
 gz2 gz5120:.00147
 gz2 gz5130:.00016
 gz2 gz5140:.00252
 gz2 gz5150:.00177
 gz2 gz5160:.00101
 gz2 gz5170:.00216
 gz2 gz5180:.00173
 gz2 gz5190:.00523
 gz2 gz5200:.00357
 gz2 gz5210:.01063
 gz2 gz5220:.00043
 gz2 gz5230:.00200
 gz2 gz5240:.00036
 gz2 gz5250:.00249
 gz2 gz5260:.00049
 gz2 gz5270:.00046
 gz2 gz5280:.00013
 gz2 gz5290:.00452
 gz2 gz5300:.00046
