c Emme Module:    3.14(v15101)  Date: 14-08-30 12:25   User: E496/HFA......none
c Project:        2011_DB_Assigning_FMS                                       
t matrices
 gg9 gg8:0.643543525050948
 gg9 gg9:1.12620116883916
 gg9 gg10:0.643543525050948
 gg9 gg11:0.053628627087579
 gg9 gg12:0.804429406313685
 gg9 gg13:1.23345842301432
 gg9 gg14:0.965315287576422
 gg9 gg15:0.88014705882353
 gg9 gg16:0.375400389613053
 gg9 gg17:0.053628627087579
 gg9 gg18:0.053628627087579
 gg9 gg19:0.214514508350316
 gg9 gg20:0.429029016700632
 gg9 gg21:0.53628627087579
 gg9 gg22:0.589914897963369
 gg9 gg23:0.214514508350316
 gg9 gg24:0
 gg9 gg25:0.375400389613053
 gg9 gg26:0.160885881262737
 gg9 gg27:0.589914897963369
 gg10 gg1:0.851538461538462
 gg10 gg2:0.4303125
 gg10 gg4:0
 gg10 gg5:0.053628627087579
 gg10 gg6:0.321771762525474
 gg10 gg7:0.214514508350316
 gg10 gg8:0
 gg10 gg9:0.053628627087579
 gg10 gg10:0.965315287576422
 gg10 gg11:0
 gg10 gg12:1.018943914664
 gg10 gg13:0.911686660488843
 gg10 gg14:1.93063057515284
 gg10 gg15:3.83492647058824
 gg10 gg16:0.214514508350316
 gg10 gg17:0.321771762525474
 gg10 gg18:0.160885881262737
 gg10 gg19:0.268143135437895
 gg10 gg20:0.107257254175158
 gg10 gg21:0.053628627087579
 gg10 gg22:0.107257254175158
 gg10 gg23:0.053628627087579
 gg10 gg24:0
 gg10 gg25:0
 gg10 gg26:0.053628627087579
 gg10 gg27:0.268143135437895
 gg11 gg1:0.496730769230769
 gg11 gg2:0.151875
 gg11 gg4:0
 gg11 gg5:0.107257254175158
 gg11 gg6:0.160885881262737
 gg11 gg7:0
 gg11 gg8:0.053628627087579
 gg11 gg9:0.053628627087579
 gg11 gg10:0.053628627087579
 gg11 gg11:1.23345842301432
 gg11 gg12:0.107257254175158
 gg11 gg13:0.858058033401264
 gg11 gg14:0.429029016700632
 gg11 gg15:0.440073529411765
 gg11 gg16:0
 gg11 gg17:0
 gg11 gg18:0
 gg11 gg19:0
 gg11 gg20:0.053628627087579
 gg11 gg21:0
 gg11 gg22:0.053628627087579
 gg11 gg23:0
 gg11 gg24:0
 gg11 gg25:0.053628627087579
 gg11 gg26:0
 gg11 gg27:0.160885881262737
 gg12 gg1:0.9225
 gg12 gg2:0.4809375
 gg12 gg4:0.107257254175158
 gg12 gg5:0.160885881262737
 gg12 gg6:4.29029016700632
 gg12 gg7:0.429029016700632
 gg12 gg8:0.589914897963369
 gg12 gg9:0.321771762525474
 gg12 gg10:1.17982979592674
 gg12 gg11:0.965315287576422
 gg12 gg12:9.33138111323875
 gg12 gg13:15.8204449908358
 gg12 gg14:8.20517994439959
 gg12 gg15:17.7915441176471
 gg12 gg16:3.00320311690442
 gg12 gg17:0.589914897963369
 gg12 gg18:0.697172152138527
 gg12 gg19:0.804429406313685
 gg12 gg20:0.911686660488843
 gg12 gg21:0.858058033401264
 gg12 gg22:0.268143135437895
 gg12 gg23:0.697172152138527
 gg12 gg24:0.697172152138527
 gg12 gg25:0.160885881262737
 gg12 gg26:1.2870870501019
 gg12 gg27:0.911686660488843
 gg13 gg1:20.0111538461538
 gg13 gg2:20.8321875
 gg13 gg4:0.858058033401264
 gg13 gg5:2.25240233767832
 gg13 gg6:12.1200697217929
 gg13 gg7:3.27134625234232
 gg13 gg8:4.6120619295318
 gg13 gg9:0.643543525050948
 gg13 gg10:1.17982979592674
 gg13 gg11:0.482657643788211
 gg13 gg12:7.18623602973559
 gg13 gg13:13.5144140260699
 gg13 gg14:20.7542786828931
 gg13 gg15:60.7301470588235
 gg13 gg16:7.23986465682317
 gg13 gg17:0.429029016700632
 gg13 gg18:0.858058033401264
 gg13 gg19:6.70357838594738
