t matrices
a matrix=mf1001  24CBLg   0.0 Cross Border Light Trucks 24 Hrs
      3  81610  .7289696
      3  81640  .1666514
      3  81650  .3484634
      3  82190  .3172944
      3  82250  1.313506
      3  83010   1.08456
      3  83020  .0530404
      4      2  .5796000
      4      4  .0408000
      4      8  .0168000
      4     10  .0240000
      4     11  .0480000
      4  12020  .0012000
      4  21010  .0002986
      4  21030  .0015521
      4  21050  .0007207
      4  21080  .0003964
      4  21100  .0012118
      4  21150  .0006203
      4  21160  .0019432
      4  22010  .0108000
      4  22390  .0171627
      4  22400  .0096334
      4  22530  .0116039
      4  23370  .0662766
      4  23440  .0096522
      4  23450  .0063465
      4  23460  .0140013
      4  23500  .0273234
      4  24140  .0004470
      4  24150  .0013417
      4  24160  .0019359
      4  24260  .0009085
      4  24270  .0003888
      4  24280  .0005324
      4  24300  .0015322
      4  24320  .0171247
      4  24340  .0006875
      4  24350  .0011263
      4  24400  .0011566
      4  25120  .0227467
      4  25130  .0239129
      4  25220  .0198680
      4  25230  .0042724
      4  25280  .0037220
      4  25290  .0120649
      4  25300  .0011822
      4  25310  .0123968
      4  25320  .0095359
      4  25370  .0034587
      4  25380  .0234805
      4  25390  .0169591
      4  25660  .0049802
      4  25740  .0070198
      4  25800  .0078222
      4  25810  .0113778
      4  26310  .0095080
      4  26340  .0039532
      4  26390  .0024920
      4  26410  .0017222
      4  27140  .0471088
      4  27160  .0110596
      4  27170  .0044137
      4  27220  .0074551
      4  27230  .0174361
      4  27290  .0001266
      4  27660  .0962584
      4  28080  .0210238
      4  28090  .0017762
      4  28220  .0248567
      4  28270  .0372850
      4  28380  .0087441
      4  28390  .0104559
      4  28600  .0094165
      4  28610  .0049835
      4  28710  .0005964
      4  28720  .0016271
      4  28730  .0008994
      4  28740  .0123630
      4  28750  .0073141
      4  29040  .0000916
      4  29060  .0002028
      4  29070  .0001329
      4  29120  .0007727
      4  29280  .0055680
      4  29340  .0184320
      4  31110  .0007448
      4  31120  .0059820
      4  31130  .0009497
      4  31160  .0009386
      4  31170  .0009237
      4  31180  .0011449
      4  31190  .0012654
      4  31210  .0044760
      4  31220  .0019972
      4  31230  .0004982
      4  31240  .0010633
      4  31250  .0004163
      4  32230  .0156000
      4  32250  .0084000
      4  32600  .0064861
      4  32610  .0014970
      4  32620  .0136169
      4  33010  .0096000
      4  33160  .0021223
      4  33200  .0062777
      4  34250  .0240000
      4  41030  .0180000
      4  41040  .0068713
      4  41050  .0050664
      4  41070  .0019890
      4  41110  .0004734
      4  42010  .0012000
      4  42200  .0001493
      4  42210  .0003602
      4  42290  .0054905
      4  42440  .0012000
      4  51490  .0096000
      4  51590  .0139393
      4  51640  .0108000
      4  51710  .0076607
      4  52110  .0085609
      4  52120  .0046391
      4  52210  .0016370
      4  52250  .0016930
      4  52260  .0028953
      4  52270  .0057746
      4  53010  .0004559
      4  53020  .0004383
      4  53030  .0035876
      4  53040  .0020848
      4  53060  .0003365
      4  53100  .0014970
      4  54010  .0144099
      4  54040  .0179901
      4  54050  .0144000
      4  54080  .0012647
      4  54090  .0020603
      4  54100  .0026407
      4  54120  .0020182
      4  54150  .0052162
      4  54160  .0048000
      4  54200  .0240000
      4  54210  .0057467
      4  54240  .0002533
      4  54290  .0384000
      4  54400  .0168000
      4  61090  .0004851
      4  61130  .0003140
      4  61140  .0001203
      4  61210  .0003057
      4  61260  .0051500
      4  61270  .0028374
      4  61300  .0005240
      4  61370  .0071211
      4  61380  .0047748
      4  61390  .0017167
      4  61420  .0005781
      4  61480  .0005556
      4  61500  .0000727
      4  61530  .0035035
      4  61610  .0007408
      4  61800  .0020811
      4  61840  .0084791
      4  61870  .0026398
      4  61910  .0084134
      4  61920  .0035866
      4  62220  .0026341
