_mos:,md5,md6,md7,md8,md9,md10,md11,md21,md22,md23
_names:,cnsman,fire,tcuws,rtail,busoth,acfdnf,hledpa,p5-12,p13-17,Psfte
ZONE,Contruction/Mfg - 2011 Base Emp,FIRE - 2011 Base Emp,TCU/Wholesale - 2011 Base Emp,Retail - 2011 Base Emp,Business/OtherServices - 2011 Base Emp,AccomFood/InfoCult - 2011 Base Emp,Health/Educat/PubAdmin - 2011 Base Emp,POP5-12,POP13-17,PostSec 2011 FT Enrl
8480,171,0,0,4,62,24,14,115,102,0
8490,74,0,32,23,35,6,23,61,28,0
8500,132,0,0,4,0,3,1,42,35,0
8510,2113,16,1428,80,561,206,190,22,22,0
8520,296,46,209,111,147,141,157,247,214,0
8530,0,67,0,167,0,288,329,772,477,0
8540,52,509,21,1805,512,767,434,447,246,0
8550,1370,571,483,1348,1209,300,491,226,126,0
8560,383,74,22,7,28,5,73,302,304,0
8570,53,11,0,38,151,8,78,19,13,0
8580,104,0,122,2,12,69,19,0,0,49
8590,318,37,192,66,131,54,657,115,62,2274
8600,332,10,65,117,153,69,1464,173,133,0
8610,120,0,0,13,103,63,13,189,158,0
8620,274,10,124,13,80,18,259,287,236,0
8630,484,0,86,21,85,49,116,192,146,0
8640,112,0,167,3,20,48,0,64,54,0
8650,43,66,45,48,83,64,70,252,174,0
8660,12,60,0,100,105,87,334,633,377,0
8670,0,0,50,56,246,76,115,307,174,0
8680,111,13,0,41,46,158,261,385,283,0
8690,68,69,0,60,210,70,919,88,96,0
8700,323,25,59,66,114,16,180,401,351,0
8710,137,16,0,3,21,2,37,56,39,0
8720,98,0,0,8,0,7,64,51,39,0
8730,150,27,19,4,34,4,36,108,78,0
8740,200,0,0,6,57,40,0,55,46,0
8750,162,0,15,3,26,6,0,80,49,0
8760,219,0,42,6,0,5,43,72,53,0
8770,138,28,0,25,0,6,0,58,50,0
8780,260,46,42,125,19,3,14,69,50,0
8790,396,0,91,42,0,3,0,82,46,0
8800,241,0,43,3,24,3,32,87,46,0
8810,347,10,104,82,62,92,17,9,5,0
8820,470,0,37,9,39,50,0,34,14,0
8830,332,33,0,246,158,187,121,626,423,0
8840,148,154,36,28,166,180,389,805,590,0
9000,48,0,33,3,22,3,45,200,128,0
9010,22,0,0,5,0,5,19,126,105,0
9020,36,0,0,4,36,20,47,97,69,0
9030,117,0,0,46,0,42,0,112,92,0
9040,25,50,0,19,28,111,88,271,170,0
9050,6,5,0,3,4,15,12,0,0,0
9060,65,55,17,45,138,51,984,812,538,245
9070,24,0,35,29,90,69,484,1081,677,0
9080,49,115,57,97,188,119,772,258,233,0
9090,1637,351,421,1582,947,1097,222,62,38,0
9100,68,0,48,5,0,5,181,486,286,0
9110,8,0,9,3,43,13,584,184,121,0
9120,23,0,105,24,63,34,412,264,229,0
9130,1,0,3,1,2,0,11,0,0,0
9140,19,0,1,1,1,0,3,51,52,0
9150,334,0,12,13,23,2,58,210,148,0
9160,0,0,0,5,0,4,39,186,131,0
9170,76,90,55,145,143,724,519,142,108,0
9180,2,1,1,3,3,14,10,17,17,0
9190,907,370,168,229,273,180,1273,571,409,0
9200,62,0,25,28,33,56,242,208,145,0
9300,1531,99,273,532,239,99,138,396,324,0
9310,1470,17,235,127,178,21,172,515,399,0
9320,362,135,113,39,48,63,586,187,150,0
9330,273,231,68,53,65,118,216,1470,718,0
9340,97,28,89,41,131,76,193,756,464,0
9350,162,463,121,595,650,287,842,696,454,118
9360,5954,482,1697,331,1050,206,601,311,208,14
9370,147,0,50,17,208,41,175,948,597,0
9380,275,0,40,3,195,3,93,267,162,0
9390,135,1228,141,1484,1271,618,2689,553,322,376
9400,289,361,108,1512,750,892,520,420,282,169
9410,75,547,83,515,690,592,519,928,583,26
9420,320,291,51,530,577,336,3759,643,432,0
9430,453,0,60,20,175,38,1264,321,218,0
9440,626,0,22,14,41,19,56,157,143,0
9450,522,19,69,14,34,3,0,0,0,0
9460,140,76,16,128,70,123,350,842,657,0
9470,122,44,14,4,53,13,328,1351,1019,0
9500,234,228,14,467,1015,388,410,278,258,0
9510,441,77,374,856,414,383,434,389,212,0
9520,910,150,1464,885,665,247,1090,190,130,6771
9530,45,68,0,93,211,467,402,310,239,0
9540,115,26,41,43,359,540,348,901,761,33
9550,219,21,0,72,33,338,98,251,158,0
9560,459,0,18,5,39,72,101,537,332,0
9570,769,31,88,4,81,12,61,268,215,0
9600,1681,16,180,167,339,280,132,698,531,0
9610,160,0,0,166,122,104,302,273,225,0
9620,909,287,363,739,2426,782,2783,659,435,1334
9630,289,509,25,1713,619,985,1220,528,413,0
9640,369,169,94,222,163,215,977,1340,913,255
9650,275,46,96,71,276,56,390,748,572,0
9660,993,655,603,1033,1220,618,1912,1094,758,52
9670,272,239,52,779,202,109,346,461,406,0
9680,72,0,64,107,145,272,237,1372,732,0
9690,879,0,24,3,52,18,132,422,238,0
9700,631,15,179,46,78,3,116,305,204,5
9710,88,14,27,17,15,3,114,88,64,0
9720,10,1,1,2,7,12,9,156,87,0
9730,0,0,0,3,15,58,50,101,67,0
9740,4,0,0,1,3,6,4,47,10,0
9800,225,16,19,49,176,288,215,525,347,0
9810,377,170,224,553,495,694,949,622,459,0
