VARIABLE,GROUP,Contruction/Mfg,FIRE,TCU/Wholesale,Retail,AccomFood/InfoCult,Health/Educat/PubAdmin,POP 5 to 17,Total_Population,Households_Low,Household_Medium,Households_high,PS2011,Business/OtherServices
NHBW,5,0.268690284,0.631811152,0,0.589932017,0.379813836,0.306928059,0,0.035041714,0,0,0,0,0.631811152
NHBW,6,0.253204195,0.595396424,0,0.555931013,0.35792309,0.289238119,0,0.033022068,0,0,0,0,0.595396424
NHBW,7,0.255664221,0.601181048,0,0.561332207,0.361400522,0.292048236,0,0.033342897,0,0,0,0,0.601181048
NHBW,8,0,0.407834153,0.340500492,0.532938459,0,0.420216275,0,0.042301649,0,0,0,0,0.407834153
NHBW,9,0.230060561,0.54097538,0,0.505117228,0.325207831,0.262800875,0,0.030003751,0,0,0,0,0.54097538
NHBW,10,0,0.403915024,0.337228414,0.527817126,0,0.416178158,0,0.041895146,0,0,0,0,0.403915024
NHBW,11,0,0.420129843,0.350766156,0.549005888,0,0.43288527,0,0.043576991,0,0,0,0,0.420129843
NHBW,12,0.29651872,0.697248264,0,0.651031679,0.419151414,0.338716808,0,0.038671008,0,0,0,0,0.697248264
NHBW,13,0,0.296137245,0.24724481,0.386978201,0,0.305128173,0,0.030716147,0,0,0,0,0.296137245
NHBW,14,0.281705189,0.662415022,0,0.618507333,0.39821138,0.321795139,0,0.036739075,0,0,0,0,0.662415022
HBU,1,0,0,0,0,0,0.129495451,0,0,0,0,0,1.603727708,0
HBU,2,0,0,0,0,0,0.106379811,0,0,0,0,0,1.317453615,0
HBU,3,0,0,0,0,0,0.128693969,0,0,0,0,0,0.300340337,0
HBU,4,0,0,0,0,0,0.089652827,0,0,0,0,0,1.110299412,0
HBU,5,0,0,0,0,0,0.105867487,0,0,0,0,0,1.311108781,0
HBU,6,0,0,0,0,0,0,0,0,0,0,0,0.746959016,0
HBU,7,0,0,0,0,0,0,0,0,0,0,0,0.897762663,0
HBU,8,0,0,0,0,0,0.078001902,0,0,0,0,0,0.966009312,0
HBU,9,0,0,0,0,0,0.097540974,0,0,0,0,0,1.207989634,0
HBU,10,0,0,0,0,0,0,0,0,0,0,0,8.111783754,0
HBU,11,0,0,0,0,0,0,0,0,0,0,0,0.398956942,0
HBU,12,0,0,0,0,0,0.121589078,0,0,0,0,0,1.505811768,0
HBU,13,0,0,0,0,0,0,0,0,0,0,0,2.414159977,0
HBU,14,0,0,0,0,0,0.124554435,0,0,0,0,0,1.542536029,0
HBSCHO,1,0,0,0,0,0,0.15290346,1.87047021,0,0,0,0,0,0
HBSCHO,2,0,0,0,0,0,0.113654569,1.390337964,0,0,0,0,0,0
HBSCHO,3,0,0,0,0,0,0,0.769577652,0,0,0,0,0,0
HBSCHO,4,0,0,0,0,0,0.131408005,1.60751601,0,0,0,0,0,0
HBSCHO,5,0,0,0,0,0,0.118283332,1.446961699,0,0,0,0,0,0
HBSCHO,6,0,0,0,0,0,0.123850617,1.515066366,0,0,0,0,0,0
HBSCHO,7,0,0,0,0,0,0.121832649,1.490380543,0,0,0,0,0,0
HBSCHO,8,0,0,0,0,0,0.126175631,1.543508296,0,0,0,0,0,0
HBSCHO,9,0,0,0,0,0,0.123074594,1.505573274,0,0,0,0,0,0
HBSCHO,10,0,0,0,0,0,0.133993702,1.639146877,0,0,0,0,0,0
HBSCHO,11,0,0,0,0,0,0.107878712,1.319681831,0,0,0,0,0,0
HBSCHO,12,0,0,0,0,0,0.124011926,1.517039662,0,0,0,0,0,0
HBSCHO,13,0,0,0,0,0,0.119440115,1.46111264,0,0,0,0,0,0
