t groups
a     gn: 'PNR lots' /2016-05-20 15:04:17
a   gn00:  23670
a   gn00:  23680
a   gn00:  23690
a   gn00:  23700
a   gn00:  23710
a   gn00:  23720
a   gn00:  23730
a   gn00:  23740
a   gn00:  23750
a   gn00:  23760
a   gn00:  23770
a   gn00:  23780
a   gn00:  23790
a   gn00:  23800
a   gn00:  23810
a   gn00:  24010
a   gn00:  24020
a   gn00:  24030
a   gn00:  24040
a   gn00:  24050
a   gn00:  24060
a   gn00:  24070
a   gn00:  24080
a   gn00:  24090
a   gn00:  24100
a   gn00:  24110
a   gn00:  24120
a   gn00:  24130
a   gn00:  24140
a   gn00:  24150
a   gn00:  24160
a   gn00:  24170
a   gn00:  24180
a   gn00:  24190
a   gn00:  24200
a   gn00:  24210
a   gn00:  24220
a   gn00:  24230
a   gn00:  24240
a   gn00:  24250
a   gn00:  24260
a   gn00:  24270
a   gn00:  24280
a   gn00:  24290
a   gn00:  24300
a   gn00:  24310
a   gn00:  24320
a   gn00:  24330
a   gn00:  24340
a   gn00:  24350
a   gn00:  24360
a   gn00:  24370
a   gn00:  24380
a   gn00:  24390
a   gn00:  24400
a   gn00:  24410
a   gn00:  24420
a   gn00:  24430
a   gn00:  24440
a   gn00:  24450
a   gn00:  24460
a   gn00:  24470
a   gn00:  25010
a   gn00:  25020
a   gn00:  25030
a   gn00:  25040
a   gn00:  25050
a   gn00:  25060
a   gn00:  25070
a   gn00:  25080
a   gn00:  25090
a   gn00:  25100
a   gn00:  25110
a   gn00:  25120
a   gn00:  25130
a   gn00:  25140
a   gn00:  25150
a   gn00:  25160
a   gn00:  25170
a   gn00:  25180
a   gn00:  25190
a   gn00:  25200
a   gn00:  25210
a   gn00:  25220
a   gn00:  25230
a   gn00:  25240
a   gn00:  25250
a   gn00:  25260
a   gn00:  25270
a   gn00:  25280
a   gn00:  25290
a   gn00:  25300
a   gn00:  25310
a   gn00:  25320
a   gn00:  25330
a   gn00:  25340
a   gn00:  25350
a   gn00:  25360
a   gn00:  25370
a   gn00:  25380
a   gn00:  25390
a   gn00:  25400
a   gn00:  25410
a   gn00:  25420
a   gn00:  25430
a   gn00:  25440
a   gn00:  25450
a   gn00:  25460
a   gn00:  25470
a   gn00:  25480
a   gn00:  25490
a   gn00:  25500
a   gn00:  25510
a   gn00:  25520
a   gn00:  25530
a   gn00:  25540
a   gn00:  25550
a   gn00:  25560
a   gn00:  25570
a   gn00:  25580
a   gn00:  25590
a   gn00:  25600
a   gn00:  25610
a   gn00:  25620
a   gn00:  25630
a   gn00:  25640
a   gn00:  25650
a   gn00:  25660
a   gn00:  25670
a   gn00:  25680
a   gn00:  25690
a   gn00:  25700
a   gn00:  25710
a   gn00:  25720
a   gn00:  25730
a   gn00:  25740
a   gn00:  25750
a   gn00:  25760
a   gn00:  25770
a   gn00:  25780
a   gn00:  25790
a   gn00:  25800
a   gn00:  25810
a   gn00:  25820
a   gn00:  25830
a   gn00:  25840
a   gn00:  25850
a   gn00:  25860
a   gn00:  25870
a   gn00:  25880
a   gn00:  25890
a   gn00:  25900
a   gn00:  25910
a   gn00:  25920
a   gn00:  26010
a   gn00:  26020
a   gn00:  26030
a   gn00:  26040
a   gn00:  26050
a   gn00:  26060
a   gn00:  26070
a   gn00:  26080
a   gn00:  26090
a   gn00:  26100
a   gn00:  26110
a   gn00:  26120
a   gn00:  26130
a   gn00:  26140
a   gn00:  26150
a   gn00:  26160
a   gn00:  26170
a   gn00:  26180
a   gn00:  26190
a   gn00:  26200
a   gn00:  26210
a   gn00:  26220
a   gn00:  26230
a   gn00:  26240
a   gn00:  26250
a   gn00:  26260
a   gn00:  26270
a   gn00:  26280
a   gn00:  26290
a   gn00:  26300
a   gn00:  26310
a   gn00:  26320
a   gn00:  26330
a   gn00:  26340
a   gn00:  26350
a   gn00:  26360
a   gn00:  26370
a   gn00:  26380
a   gn00:  26390
a   gn00:  26400
a   gn00:  26410
a   gn00:  26420
a   gn00:  26430
a   gn00:  26440
a   gn00:  26450
a   gn00:  26460
