PurposeNumber,Purpose,"(HH size, income, cars)",HHSize,Income,Cars,GY1,GY2,GY3,GY4,GY5,GY6,GY7,GY8,GY9,GY10,GY11,GY12,GY13,GY14
1,HBWH,40303,4,3,3,0.560489002,0.720071105,0.938034608,0.790207176,0.807177858,0.810234521,0.633530851,0.867586954,0.705368155,0.830735117,0.749760652,0.636940454,0.45699563,0.601613938
2,NHBWL,10100,1,1,0,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWL,20100,2,1,0,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWL,30100,3,1,0,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWL,40100,4,1,0,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWM,10200,1,2,0,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWM,20200,2,2,0,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWM,30200,3,2,0,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWM,40200,4,2,0,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWH,10300,1,3,0,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWH,20300,2,3,0,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWH,30300,3,3,0,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWH,40300,4,3,0,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWL,10101,1,1,1,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
