c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:12:28
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy02   gy11  29.48566
   gy02   gy12  23.48339
   gy02   gy13  2.007938
   gy02   gy14  4.799875
   gy03   gy01   109.104
   gy03   gy02  187.5052
   gy03   gy03  569.7528
   gy03   gy04  942.7471
   gy03   gy05  310.7644
   gy03   gy06  172.6813
   gy03   gy07  160.6075
   gy03   gy08  30.83301
   gy03   gy09  145.6375
   gy03   gy10  28.34455
   gy03   gy11    40.341
   gy03   gy12  44.21027
   gy03   gy13  7.818173
   gy03   gy14  13.19594
   gy04   gy01  133.4505
   gy04   gy02  467.4026
   gy04   gy03  1464.483
   gy04   gy04  7137.171
   gy04   gy05  1585.963
   gy04   gy06  456.7515
   gy04   gy07  1100.265
   gy04   gy08  151.4635
   gy04   gy09  635.0925
   gy04   gy10  86.48861
   gy04   gy11  114.9503
   gy04   gy12   144.866
   gy04   gy13  13.47353
   gy04   gy14  31.55528
   gy05   gy01  66.56279
   gy05   gy02  310.9042
   gy05   gy03  552.0775
   gy05   gy04  1659.945
   gy05   gy05  3512.754
   gy05   gy06  773.9806
   gy05   gy07  391.4194
   gy05   gy08  152.3769
   gy05   gy09  685.4066
   gy05   gy10  79.26034
   gy05   gy11  194.3285
   gy05   gy12  229.2568
   gy05   gy13  22.16602
   gy05   gy14  83.40873
   gy06   gy01  20.35373
   gy06   gy02  115.1995
   gy06   gy03  328.4186
   gy06   gy04  538.6845
   gy06   gy05  839.8694
   gy06   gy06  2765.463
   gy06   gy07  119.3335
   gy06   gy08  55.43607
   gy06   gy09  343.2157
   gy06   gy10  36.84912
   gy06   gy11   383.519
   gy06   gy12  172.9695
   gy06   gy13  57.04608
   gy06   gy14  70.58899
   gy07   gy01  25.01879
   gy07   gy02  68.66781
   gy07   gy03  324.5436
   gy07   gy04  1266.656
   gy07   gy05  430.2384
   gy07   gy06  119.7148
   gy07   gy07  2622.367
   gy07   gy08  183.7677
   gy07   gy09  465.2945
   gy07   gy10  111.7742
   gy07   gy11  34.06209
   gy07   gy12  116.7633
   gy07   gy13  4.122719
   gy07   gy14  15.89267
   gy08   gy01  3.902804
   gy08   gy02  14.64276
   gy08   gy03  67.54132
   gy08   gy04  178.7497
   gy08   gy05  172.7872
   gy08   gy06   57.5661
   gy08   gy07  200.7328
   gy08   gy08  558.9848
   gy08   gy09  403.7408
   gy08   gy10  70.76756
   gy08   gy11   24.8956
   gy08   gy12  114.3403
   gy08   gy13  5.162011
   gy08   gy14  14.43574
   gy09   gy01  16.14594
   gy09   gy02  76.21873
   gy09   gy03  257.0553
   gy09   gy04  679.7918
   gy09   gy05  687.4621
   gy09   gy06  313.3201
   gy09   gy07  442.9813
   gy09   gy08  363.8397
   gy09   gy09  5191.811
   gy09   gy10  367.4836
   gy09   gy11  160.0813
   gy09   gy12  955.4234
   gy09   gy13  39.72577
   gy09   gy14  210.3516
   gy10   gy01  .9366508
   gy10   gy02  7.851186
   gy10   gy03  60.76569
   gy10   gy04  105.8685
   gy10   gy05  87.61978
   gy10   gy06  37.58721
   gy10   gy07  118.9276
   gy10   gy08  68.96207
   gy10   gy09  402.3587
   gy10   gy10  813.1042
   gy10   gy11  18.88253
   gy10   gy12  237.3877
   gy10   gy13  4.120786
   gy10   gy14  48.50808
   gy11   gy01  7.390039
   gy11   gy02  30.97136
   gy11   gy03  87.83409
   gy11   gy04  144.2699
   gy11   gy05  229.8247
   gy11   gy06  370.1768
   gy11   gy07  36.17812
   gy11   gy08  25.35175
   gy11   gy09  178.1115
   gy11   gy10  18.93545
   gy11   gy11   1285.48
   gy11   gy12  148.3972
   gy11   gy13  99.55461
   gy11   gy14  98.21375
   gy12   gy01  3.902801
   gy12   gy02  24.25758
   gy12   gy03  108.6345
   gy12   gy04  175.4707
   gy12   gy05  253.2398
   gy12   gy06   172.761
   gy12   gy07  121.7243
   gy12   gy08  110.1891
   gy12   gy09  1002.854
   gy12   gy10  231.0756
   gy12   gy11  141.4625
   gy12   gy12  1916.081
   gy12   gy13  87.84418
   gy12   gy14  456.1459
   gy13   gy01  .8793500
   gy13   gy02  2.048558
   gy13   gy03  15.38438
   gy13   gy04  15.41339
   gy13   gy05  23.74476
   gy13   gy06  54.44794
   gy13   gy07  4.219115
   gy13   gy08   5.13787
   gy13   gy09  42.18052
   gy13   gy10  4.237009
   gy13   gy11  93.03516
   gy13   gy12  88.73529
   gy13   gy13  532.1396
   gy13   gy14  357.3651
   gy14   gy01   1.66193
   gy14   gy02   5.18511
   gy14   gy03  31.31797
   gy14   gy04  38.92941
   gy14   gy05  95.63756
   gy14   gy06  71.85246
   gy14   gy07  17.21927
   gy14   gy08  14.40301
   gy14   gy09  234.1552
   gy14   gy10  49.41875
   gy14   gy11   94.5117
   gy14   gy12  465.2201
   gy14   gy13  352.2615
   gy14   gy14  3209.167
a matrix=mf884   Calc3   0.0 Calculation 3                           
   gy01   gy01  56.03443
   gy01   gy02  40.21002
   gy01   gy03  48.97591
   gy01   gy04  47.30581
   gy01   gy05  15.67945
   gy01   gy06  4.587607
   gy01   gy07  5.706745
   gy01   gy08  .7985307
   gy01   gy09  4.031236
   gy01   gy10  .2063273
   gy01   gy11  1.608519
   gy01   gy12  .8634585
   gy01   gy13  .2138073
   gy01   gy14  .3982417
   gy02   gy01  37.72426
   gy02   gy02  287.5873
   gy02   gy03  73.60427
   gy02   gy04  146.6714
   gy02   gy05  68.31745
   gy02   gy06  24.29611
   gy02   gy07  14.16981
   gy02   gy08  2.673911
   gy02   gy09  17.60344
   gy02   gy10   1.52293
   gy02   gy11  6.143742
   gy02   gy12  5.050349
   gy02   gy13  .4639394
   gy02   gy14  1.141853
   gy03   gy01  20.21847
   gy03   gy02   34.3784
   gy03   gy03  86.51507
   gy03   gy04  233.8005
   gy03   gy05  58.50027
   gy03   gy06  33.39355
   gy03   gy07  30.64842
   gy03   gy08  5.770982
   gy03   gy09  29.02501
   gy03   gy10  5.516002
   gy03   gy11  8.028925
   gy03   gy12  8.985127
   gy03   gy13  1.675676
   gy03   gy14  2.969505
   gy04   gy01  35.72819
   gy04   gy02  122.5894
   gy04   gy03  362.2558
   gy04   gy04  1372.556
   gy04   gy05  423.1482
   gy04   gy06  125.1878
   gy04   gy07  298.2356
   gy04   gy08   40.2104
   gy04   gy09  177.3437
   gy04   gy10  24.18206
   gy04   gy11  33.21197
   gy04   gy12  41.37176
   gy04   gy13  4.310813
   gy04   gy14  9.834223
   gy05   gy01  13.13747
   gy05   gy02  61.42036
   gy05   gy03  103.7098
   gy05   gy04  443.1061
   gy05   gy05  584.5886
   gy05   gy06  153.7238
   gy05   gy07  81.23264
   gy05   gy08  30.80177
   gy05   gy09  139.1439
   gy05   gy10  16.01266
   gy05   gy11  40.61585
   gy05   gy12   47.4455
   gy05   gy13  5.074467
   gy05   gy14  19.30142
   gy06   gy01  4.277102
   gy06   gy02  23.86686
   gy06   gy03  63.22258
   gy06   gy04  147.5643
   gy06   gy05  166.8366
   gy06   gy06   460.523
   gy06   gy07  24.62194
   gy06   gy08   11.0808
   gy06   gy09  69.77493
   gy06   gy10  7.532248
   gy06   gy11  78.37235
   gy06   gy12  36.60822
   gy06   gy13  12.67826
   gy06   gy14  15.91882
   gy07   gy01  5.243368
   gy07   gy02  13.83644
   gy07   gy03  61.85953
   gy07   gy04  343.6433
   gy07   gy05  89.32032
   gy07   gy06  24.73067
   gy07   gy07  445.0483
   gy07   gy08  36.89793
   gy07   gy09  97.15662
   gy07   gy10  22.37765
   gy07   gy11  7.027777
   gy07   gy12  25.18505
   gy07   gy13  .9217524
   gy07   gy14  3.737833
   gy08   gy01  .7963861
   gy08   gy02    2.8248
   gy08   gy03  12.56653
   gy08   gy04  47.48009
   gy08   gy05  34.90437
   gy08   gy06  11.49851
   gy08   gy07  40.39042
   gy08   gy08   92.2589
   gy08   gy09  83.41706
   gy08   gy10  14.21665
   gy08   gy11   5.57871
   gy08   gy12  23.88718
   gy08   gy13  1.199609
   gy08   gy14  3.269539
   gy09   gy01  3.456028
   gy09   gy02  16.21188
   gy09   gy03  51.35687
   gy09   gy04  191.4034
   gy09   gy05  140.7517
   gy09   gy06  64.25941
   gy09   gy07  93.16511
   gy09   gy08  75.70603
   gy09   gy09  884.0758
   gy09   gy10  74.20874
   gy09   gy11  34.32915
   gy09   gy12  197.4748
   gy09   gy13  9.096111
   gy09   gy14  46.47371
   gy10   gy01  .1984339
   gy10   gy02  1.563261
   gy10   gy03  11.75731
   gy10   gy04  29.59892
   gy10   gy05  17.67776
   gy10   gy06   7.67744
   gy10   gy07   23.8136
   gy10   gy08  13.88445
   gy10   gy09  80.44066
   gy10   gy10  134.4164
   gy10   gy11  3.949569
   gy10   gy12  48.28423
   gy10   gy13  .9201337
   gy10   gy14  10.73718
   gy11   gy01  1.610386
   gy11   gy02  6.449633
   gy11   gy03  17.40552
   gy11   gy04  41.65494
   gy11   gy05  48.04539
   gy11   gy06  75.56954
   gy11   gy07  7.452943
   gy11   gy08   5.68153
   gy11   gy09   37.8403
   gy11   gy10  3.959669
   gy11   gy11  215.6576
   gy11   gy12   30.7745
   gy11   gy13  21.56263
   gy11   gy14  21.32146
   gy12   gy01  .8550421
   gy12   gy02  5.220876
   gy12   gy03   22.0162
   gy12   gy04  50.17126
   gy12   gy05  52.42666
   gy12   gy06  36.54867
   gy12   gy07  26.25778
   gy12   gy08  23.03196
   gy12   gy09  205.8059
   gy12   gy10  47.03935
   gy12   gy11  29.32231
   gy12   gy12  385.3071
   gy12   gy13  19.33635
   gy12   gy14  96.76081
   gy13   gy01  .2084967
   gy13   gy02  .4730677
   gy13   gy03  3.288308
   gy13   gy04  4.929793
   gy13   gy05  5.434492
   gy13   gy06  12.09687
   gy13   gy07  .9407304
   gy13   gy08  1.193299
   gy13   gy09  9.573934
   gy13   gy10  .9455473
   gy13   gy11  20.13962
   gy13   gy12  19.51525
   gy13   gy13  108.6808
   gy13   gy14  75.47501
   gy14   gy01  .4141128
   gy14   gy02  1.233025
   gy14   gy03  7.028328
   gy14   gy04  12.12777
   gy14   gy05  22.12087
   gy14   gy06  16.18704
   gy14   gy07  4.046227
   gy14   gy08  3.261346
   gy14   gy09  51.29011
   gy14   gy10  10.93703
   gy14   gy11  20.51823
   gy14   gy12  98.70281
   gy14   gy13  74.42498
   gy14   gy14  665.6714
