c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:12:22
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy02   gy10  13.20223
   gy02   gy11   29.3357
   gy02   gy12  17.95908
   gy02   gy13  1.595106
   gy02   gy14  4.564794
   gy03   gy01   95.1298
   gy03   gy02  208.2048
   gy03   gy03  348.8669
   gy03   gy04  720.1681
   gy03   gy05  255.3487
   gy03   gy06  175.7584
   gy03   gy07  150.2928
   gy03   gy08  49.25866
   gy03   gy09  175.3681
   gy03   gy10  48.57224
   gy03   gy11  43.95669
   gy03   gy12  37.55737
   gy03   gy13  8.322074
   gy03   gy14  15.35166
   gy04   gy01  98.83334
   gy04   gy02  424.1487
   gy04   gy03  1372.204
   gy04   gy04  4965.567
   gy04   gy05  1081.243
   gy04   gy06  354.9162
   gy04   gy07  716.1472
   gy04   gy08  166.6251
   gy04   gy09  549.7326
   gy04   gy10  100.3399
   gy04   gy11  77.35028
   gy04   gy12  109.4531
   gy04   gy13  5.784089
   gy04   gy14    35.302
   gy05   gy01  65.16966
   gy05   gy02   279.508
   gy05   gy03  553.6981
   gy05   gy04  1133.232
   gy05   gy05  2163.978
   gy05   gy06  647.9577
   gy05   gy07  217.6938
   gy05   gy08  110.1246
   gy05   gy09  566.6113
   gy05   gy10  94.38746
   gy05   gy11  138.6212
   gy05   gy12  172.4893
   gy05   gy13   12.8591
   gy05   gy14  68.51442
   gy06   gy01  15.64825
   gy06   gy02  83.80761
   gy06   gy03  436.0573
   gy06   gy04  431.3908
   gy06   gy05  708.8522
   gy06   gy06  1855.007
   gy06   gy07  102.1903
   gy06   gy08  57.74975
   gy06   gy09  275.8355
   gy06   gy10   37.1231
   gy06   gy11  239.7861
   gy06   gy12  97.97548
   gy06   gy13  29.98385
   gy06   gy14   56.1915
   gy07   gy01  16.69297
   gy07   gy02  68.54673
   gy07   gy03  376.8229
   gy07   gy04  814.8628
   gy07   gy05  235.4418
   gy07   gy06  100.3504
   gy07   gy07  1752.112
   gy07   gy08  200.7995
   gy07   gy09  395.6086
   gy07   gy10  155.3258
   gy07   gy11  38.51186
   gy07   gy12  74.55921
   gy07   gy13  4.789262
   gy07   gy14  17.99038
   gy08   gy01   4.86429
   gy08   gy02  24.90767
   gy08   gy03  142.3364
   gy08   gy04   202.203
   gy08   gy05  126.4535
   gy08   gy06  60.58506
   gy08   gy07  222.5438
   gy08   gy08  610.9084
   gy08   gy09  282.5309
   gy08   gy10  80.94566
   gy08   gy11  10.52501
   gy08   gy12  83.95097
   gy08   gy13   3.68325
   gy08   gy14  18.74778
   gy09   gy01  15.66442
   gy09   gy02  60.31257
   gy09   gy03  380.6314
   gy09   gy04  540.7366
   gy09   gy05  510.5428
   gy09   gy06  224.1192
   gy09   gy07  337.7502
   gy09   gy08    220.33
   gy09   gy09  3226.127
   gy09   gy10  322.2751
   gy09   gy11   92.0122
   gy09   gy12  480.6664
   gy09   gy13  18.18647
   gy09   gy14  178.3365
   gy10   gy01    1.2749
   gy10   gy02  13.92501
   gy10   gy03  134.0637
   gy10   gy04  126.0435
   gy10   gy05  106.7503
   gy10   gy06  38.41889
   gy10   gy07  168.1821
   gy10   gy08  79.25545
   gy10   gy09   402.275
   gy10   gy10  651.1491
   gy10   gy11  19.52405
   gy10   gy12  170.8544
   gy10   gy13  3.254671
   gy10   gy14  31.67762
   gy11   gy01  6.116038
   gy11   gy02  31.64369
   gy11   gy03  120.9281
   gy11   gy04  100.3316
   gy11   gy05  163.9947
   gy11   gy06  242.9194
   gy11   gy07  41.65193
   gy11   gy08  10.63355
   gy11   gy09   118.001
   gy11   gy10  19.71479
   gy11   gy11  755.1766
   gy11   gy12  114.1913
   gy11   gy13  33.87103
   gy11   gy14   74.4475
   gy12   gy01  3.047108
   gy12   gy02  18.69417
   gy12   gy03  110.5109
   gy12   gy04  134.9689
   gy12   gy05  191.6466
   gy12   gy06  98.58331
   gy12   gy07  78.86319
   gy12   gy08  80.51355
   gy12   gy09  580.0299
   gy12   gy10   165.022
   gy12   gy11  108.4528
   gy12   gy12   982.991
   gy12   gy13  36.60551
   gy12   gy14  313.8563
   gy13   gy01  .7016934
   gy13   gy02  1.707579
   gy13   gy03  21.29993
   gy13   gy04  7.172132
   gy13   gy05  14.42384
   gy13   gy06   30.3246
   gy13   gy07  5.117715
   gy13   gy08  3.697514
   gy13   gy09   23.0575
   gy13   gy10  3.348644
   gy13   gy11   32.8006
   gy13   gy12  37.49718
   gy13   gy13  274.4538
   gy13   gy14  210.6591
   gy14   gy01   1.01836
   gy14   gy02  5.037229
   gy14   gy03  48.32192
   gy14   gy04  45.55426
   gy14   gy05  79.76931
   gy14   gy06  58.97827
   gy14   gy07  19.84422
   gy14   gy08  18.79198
   gy14   gy09  229.0217
   gy14   gy10  32.38515
   gy14   gy11  73.11034
   gy14   gy12  323.5258
   gy14   gy13  207.6331
   gy14   gy14  2242.517
a matrix=mf884   Calc3   0.0 Calculation 3                           
   gy01   gy01  31.68696
   gy01   gy02  27.93741
   gy01   gy03  43.62347
   gy01   gy04  29.10675
   gy01   gy05  13.08783
   gy01   gy06  2.851567
   gy01   gy07  3.068572
   gy01   gy08  .8321044
   gy01   gy09  3.517917
   gy01   gy10  .2345167
   gy01   gy11  1.078861
   gy01   gy12  .5579980
   gy01   gy13  .1334058
   gy01   gy14  .1902561
   gy02   gy01  26.15354
   gy02   gy02  195.9967
   gy02   gy03  86.56445
   gy02   gy04  112.7855
   gy02   gy05  51.36441
   gy02   gy06  14.00004
   gy02   gy07   11.9948
   gy02   gy08    4.0174
   gy02   gy09  12.49687
   gy02   gy10  2.342621
   gy02   gy11  5.150912
   gy02   gy12  3.203517
   gy02   gy13  .3008670
   gy02   gy14  .8720605
   gy03   gy01  14.87294
   gy03   gy02  32.33978
   gy03   gy03  45.13151
   gy03   gy04  148.4943
   gy03   gy05  40.05591
   gy03   gy06  28.15977
   gy03   gy07  23.66692
   gy03   gy08  7.994398
   gy03   gy09  28.60589
   gy03   gy10  8.180789
   gy03   gy11  7.354849
   gy03   gy12   6.37255
   gy03   gy13  1.502586
   gy03   gy14  2.805716
   gy04   gy01  21.92574
   gy04   gy02  93.28238
   gy04   gy03   282.091
   gy04   gy04   779.998
   gy04   gy05  235.9329
   gy04   gy06  79.59825
   gy04   gy07   156.318
   gy04   gy08  37.57346
   gy04   gy09  124.7641
   gy04   gy10  23.46266
   gy04   gy11   18.0971
   gy04   gy12  25.96147
   gy04   gy13  1.455896
   gy04   gy14  8.977897
   gy05   gy01   10.9786
   gy05   gy02  45.97823
   gy05   gy03  86.56822
   gy05   gy04  247.3896
   gy05   gy05   290.589
   gy05   gy06  105.7262
   gy05   gy07  36.07382
   gy05   gy08   18.3286
   gy05   gy09  93.14902
   gy05   gy10  16.08822
   gy05   gy11  23.55593
   gy05   gy12  29.63706
   gy05   gy13  2.353008
   gy05   gy14   12.6496
   gy06   gy01  2.697501
   gy06   gy02  14.10442
   gy06   gy03  69.83479
   gy06   gy04   96.7252
   gy06   gy05  115.7383
   gy06   gy06  247.5333
   gy06   gy07  17.35801
   gy06   gy08  9.729374
   gy06   gy09  45.45184
   gy06   gy10  6.323439
   gy06   gy11  39.46835
   gy06   gy12  16.67588
   gy06   gy13  5.294815
   gy06   gy14  10.18051
   gy07   gy01  2.818358
   gy07   gy02  11.53768
   gy07   gy03  59.19302
   gy07   gy04  178.0993
   gy07   gy05  39.02323
   gy07   gy06  17.06039
   gy07   gy07  233.5788
   gy07   gy08  33.04532
   gy07   gy09  66.48987
   gy07   gy10  26.59202
   gy07   gy11  6.799402
   gy07   gy12  13.13705
   gy07   gy13  .9105838
   gy07   gy14  3.416376
