Sector,2016,2035,2050
ConMfg,115089,115089,115089
Fire,393433,393433,393433
TcuWh,123168,123168,123168
Ret,53169,53169,53169
BoS,51899,51899,51899
AcFoInCu,56204,56204,56204
HeEdPuAd,67916,67916,67916
