TZ,Pp1_11,Pp2_11,Pp3_11,Pp4_11,Pp5_11,Pp6_11,Pp7_11,PpTt11,HtTt11,P1Hh11,P2Hh11,P3Hh11,P4Hh11,Con11,FIRE11,TCWh11,Ret11,Bus11,AcIn11,HeEd11,Emp11
Zone,2011_Pop_0to4,2011_Pop 5to12,2011_Pop_13to17,2011_Pop_18to24,2011_Pop_25to44,2011_Pop_45to64,2011_Pop_65plus,2011_total_population,2011_total_hhs,2011_1p_hhs,2011_2p_hhs,2011_3p_hhs,2011_4p_hhs,2011_Const_Mfg,2011_FIRE,2011_TCU_WhSale,2011_Retail,2011_Business_OthServ,2011_Accom_Fd_Info,2011_Health_Ed_PubAd,2011_total_emp
6330,159,220,127,320,1210,931,484,3451,1505,568,495,255,187,0,33,0,8,113,40,0,194
6340,157,260,185,467,1308,1324,1024,4725,2006,746,657,343,260,33,589,76,291,835,377,377,2578
6350,176,263,149,279,1010,943,385,3205,1266,363,391,238,274,22,27,0,7,46,32,117,251
6360,505,707,501,1124,3538,2924,728,10027,3639,903,1092,715,929,76,40,39,22,151,69,426,823
6370,39,71,48,88,225,274,141,886,251,30,68,56,97,16,18,0,15,41,15,53,158
6380,343,549,392,546,1638,1841,693,6002,2154,318,598,468,770,127,0,37,56,106,111,189,626
6390,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,60,293,20,170,10,0,1682
6400,131,261,162,237,700,762,300,2553,762,91,207,170,294,1331,44,1307,223,425,107,9,3446
6410,247,401,220,389,1218,1140,616,4231,1331,213,373,286,459,691,287,528,348,1539,1467,302,5162
6420,273,475,425,627,1490,1710,499,5499,1609,190,436,360,623,156,82,107,136,163,300,238,1182
6430,151,304,185,255,599,663,207,2364,775,141,221,163,250,4601,172,3496,1603,1664,449,169,12154
6440,0,0,0,0,0,0,0,0,0,0,0,0,0,1944,250,2114,1226,3462,1139,231,10366
6450,31,40,59,92,186,288,143,839,269,33,73,60,103,191,0,280,27,64,48,104,714
6460,45,44,39,67,172,231,83,681,269,32,73,60,104,1286,29,1244,125,372,245,38,3339
6470,10,18,25,24,113,204,82,476,165,20,45,37,63,1720,48,1854,904,905,754,218,6403
6480,345,602,309,463,1657,1407,416,5199,1705,209,464,379,653,649,50,577,114,319,20,263,1992
6700,265,508,406,455,1364,1824,936,5758,2270,599,710,342,619,191,147,84,107,434,197,542,1702
6710,398,858,668,735,1870,2678,1242,8449,2987,538,946,513,990,45,64,0,222,142,425,357,1255
6720,259,586,465,488,1264,1743,1009,5814,2071,432,653,341,645,90,76,25,167,214,276,1913,2761
6730,0,0,0,0,0,0,0,0,0,0,0,0,0,180,8,11,2,34,5,44,284
6740,15,49,39,77,136,378,296,990,456,109,143,72,132,825,19,37,7,100,13,85,1086
6750,8,16,12,20,48,91,48,243,89,17,39,9,24,24,42,30,18,48,24,60,246
6760,6,23,17,17,57,157,50,327,146,19,47,27,53,117,6,92,6,59,1,4,285
6770,100,263,197,182,552,1094,711,3099,1239,164,395,228,452,375,19,391,42,130,133,107,1197
6780,4,9,7,7,18,35,22,102,36,5,11,7,13,5976,146,4017,200,1573,278,147,12337
6790,0,0,0,0,0,0,0,0,0,0,0,0,0,5734,143,6153,304,1362,276,179,14151
6800,15,53,36,31,104,99,250,588,141,19,45,26,51,1321,0,543,40,90,49,319,2362
6810,17,20,24,32,83,104,29,309,104,14,33,19,38,279,0,176,4,53,45,150,707
6900,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,86,27,8,8,65,202
6910,127,307,238,285,768,1385,1074,4184,1847,594,573,251,429,24,183,92,337,380,368,314,1698
6920,250,527,423,451,1043,1824,1377,5895,2198,456,694,362,686,121,173,93,190,158,338,533,1606
6930,191,461,356,394,856,1680,869,4807,1689,225,539,310,615,66,0,158,8,47,79,196,554
6940,174,318,211,249,847,1214,746,3759,1627,507,506,225,389,61,16,36,81,385,101,182,862
6950,110,264,194,240,522,1297,919,3546,1448,275,458,245,470,0,0,0,109,76,195,72,452
7000,261,598,436,500,1470,1814,591,5670,1846,262,588,335,661,473,58,410,24,191,76,226,1458
7010,533,968,694,876,2344,2529,1197,9141,3001,584,949,504,964,93,24,54,146,421,214,378,1330
7020,197,439,294,389,997,1271,369,3956,1405,198,448,255,504,311,27,54,68,67,60,140,727
7030,568,967,640,929,2443,2503,1057,9107,2848,568,899,475,906,123,516,31,914,637,529,941,3691
7040,316,701,590,748,1683,2298,719,7055,2132,316,678,384,754,56,19,68,4,40,117,361,665
7050,482,854,473,627,2104,1793,1042,7375,2287,431,724,388,744,55,464,40,579,375,350,330,2193
7060,378,707,579,712,1729,2403,750,7258,2656,371,847,483,955,77,307,88,614,382,435,458,2361
7070,137,345,358,441,715,1384,421,3801,1135,150,362,209,414,52,0,0,6,37,6,428,529
7080,118,179,185,230,423,728,197,2060,603,80,192,111,220,0,16,0,4,23,84,230,357
7100,33,35,24,44,141,117,32,426,126,26,35,20,45,413,64,1221,17,130,27,0,1872
7110,45,66,55,90,282,327,96,961,312,72,87,49,104,722,60,553,187,1412,70,49,3053
7120,173,334,247,278,1099,1008,319,3458,1284,197,359,222,506,765,68,850,153,314,107,69,2326
7130,462,706,485,718,2232,1860,707,7170,2327,428,653,389,857,139,37,32,19,51,24,168,470
7140,367,616,416,586,1746,1668,733,6132,2167,419,609,358,781,24,19,42,29,50,60,188,412
7150,231,393,308,426,1258,1048,431,4095,1408,286,397,229,496,65,14,12,19,13,24,303,450
7160,104,127,76,258,783,568,164,2080,854,284,244,117,209,28,82,1156,31,96,47,331,1771
7170,30,45,41,50,227,252,367,1012,356,103,101,52,100,64,0,0,3,78,13,124,282
