TZ,Pp1_11,Pp2_11,Pp3_11,Pp4_11,Pp5_11,Pp6_11,Pp7_11,PpTt11,HtTt11,P1Hh11,P2Hh11,P3Hh11,P4Hh11,Con11,FIRE11,TCWh11,Ret11,Bus11,AcIn11,HeEd11,Emp11
Zone,2011_Pop_0to4,2011_Pop 5to12,2011_Pop_13to17,2011_Pop_18to24,2011_Pop_25to44,2011_Pop_45to64,2011_Pop_65plus,2011_total_population,2011_total_hhs,2011_1p_hhs,2011_2p_hhs,2011_3p_hhs,2011_4p_hhs,2011_Const_Mfg,2011_FIRE,2011_TCU_WhSale,2011_Retail,2011_Business_OthServ,2011_Accom_Fd_Info,2011_Health_Ed_PubAd,2011_total_emp
7180,194,255,167,349,1009,916,330,3220,1123,373,320,154,276,105,108,151,190,211,213,139,1117
7190,385,588,364,567,1635,1453,601,5593,1749,355,492,286,616,14,96,31,76,67,209,192,685
7200,98,127,103,164,491,747,514,2244,1024,339,292,141,252,174,1264,40,699,532,298,1156,4163
7210,218,273,191,343,1162,1018,357,3562,1298,370,368,191,369,29,27,0,33,102,93,2750,3034
7220,257,430,326,431,1241,1133,500,4318,1570,262,440,267,601,45,14,0,33,120,8,184,404
7230,224,505,331,490,1328,1423,523,4824,1628,274,456,277,621,0,31,0,31,203,46,195,506
7240,248,502,306,362,1389,1059,420,4286,1568,320,441,256,551,42,39,28,97,63,89,177,535
7250,143,195,90,205,835,653,240,2361,688,197,196,101,194,50,90,202,275,371,378,398,1764
7260,185,397,286,360,998,887,452,3565,1122,265,317,176,364,0,26,16,511,270,121,387,1331
7270,346,464,289,502,1724,1519,1195,6039,2382,717,677,342,646,101,250,30,648,386,411,497,2323
7280,44,102,58,73,284,244,230,1035,292,64,82,47,99,56,12,0,32,105,80,2946,3231
7290,192,300,209,346,890,797,279,3013,1029,213,290,167,359,0,0,32,261,161,22,254,730
7300,157,169,99,242,926,1034,869,3496,1614,550,461,219,384,203,874,27,1905,521,725,199,4454
7310,0,0,0,0,0,0,0,0,0,0,0,0,0,303,579,185,154,484,0,1528,3233
7320,161,349,268,385,992,1251,659,4065,1568,373,443,245,507,42,78,26,40,38,31,133,388
7330,474,665,467,647,2158,1529,380,6320,2562,927,733,338,564,31,64,14,53,124,153,166,605
7340,166,249,152,250,834,675,284,2610,987,221,278,157,331,120,882,26,120,284,186,416,2034
7350,267,483,363,427,1492,1119,376,4527,1236,331,350,186,369,59,793,28,392,334,418,703,2727
7360,99,219,150,236,565,616,232,2117,624,105,175,106,238,105,0,0,5,0,14,35,159
7370,150,283,237,279,684,681,175,2489,738,153,208,120,257,50,0,0,6,36,5,234,331
7380,125,242,185,273,662,687,220,2394,724,132,203,121,268,0,0,0,18,0,5,234,257
7390,527,892,495,793,2322,1863,823,7715,2371,506,667,382,816,134,128,0,95,160,66,262,845
7400,336,425,220,368,1201,924,372,3846,1018,202,287,166,363,92,19,423,222,260,281,86,1383
7410,359,499,286,492,1959,1299,630,5524,2078,524,588,318,648,1924,147,777,309,834,305,207,4503
7420,893,1315,653,999,3349,2151,949,10309,2834,748,802,429,855,552,27,212,47,139,120,1236,2333
7430,362,433,255,347,1140,839,423,3799,1159,293,328,178,360,60,32,15,230,18,255,67,677
7440,409,704,413,654,1821,1700,469,6170,1957,428,552,313,664,101,135,13,48,234,47,283,861
7450,503,803,414,638,1877,1521,606,6362,1659,340,466,270,583,42,0,32,12,21,138,152,397
7460,493,709,321,619,2022,1501,692,6357,1790,384,504,288,614,2511,127,1125,193,651,178,774,5559
7470,409,655,340,555,1631,1254,378,5222,1354,260,380,224,490,3105,806,1560,869,1945,377,2073,10735
7480,760,1059,598,928,2962,2118,1066,9491,2507,515,704,408,880,84,34,104,71,249,112,2028,2682
7490,71,116,92,118,462,556,311,1726,614,119,173,101,221,0,0,23,39,28,55,19,164
7500,409,641,471,560,1983,1704,969,6737,2469,574,697,388,810,151,454,138,611,450,473,1159,3436
7510,167,327,331,439,918,1146,371,3699,1038,185,291,175,387,64,0,39,11,27,10,223,374
7520,349,558,393,581,1535,1482,421,5319,1653,270,462,283,638,0,0,0,6,28,6,81,121
7530,154,291,217,261,776,816,241,2756,867,141,243,148,335,128,44,29,4,127,28,65,425
7540,359,529,350,465,1571,1314,408,4996,1481,231,414,256,580,91,0,42,10,0,69,130,342
7550,704,1133,798,1155,2923,2639,889,10241,2895,520,812,486,1077,191,47,0,14,123,12,377,764
7560,681,1116,645,920,2988,2155,701,9206,2485,403,696,425,961,110,50,31,85,181,149,121,727
7570,759,1065,599,931,2906,2082,1243,9585,2555,822,728,357,648,108,150,14,122,297,69,348,1108
7580,929,1165,749,1035,3717,2195,852,10642,2998,675,846,476,1001,44,37,116,24,126,38,400,785
7590,494,781,478,708,2030,1791,533,6815,1811,298,508,309,696,43,41,27,12,54,48,207,432
7600,416,771,473,619,1755,1508,452,5994,1844,463,520,284,577,75,58,20,156,120,140,136,705
7610,429,735,510,739,2038,2297,914,7662,2496,435,701,421,939,182,57,44,113,226,94,258,974
7620,55,137,144,263,382,767,284,2032,640,96,179,111,254,63,0,29,4,67,3,153,319
7630,476,848,546,735,2066,1965,648,7284,2163,364,606,367,826,150,0,0,71,93,77,190,581
7640,46,70,65,72,189,259,161,862,315,50,88,54,123,87,0,40,17,54,4,0,202
7650,303,517,289,419,1236,1191,942,4897,1748,377,492,281,598,39,228,0,203,273,263,490,1496
7660,322,642,417,423,1566,1189,395,4954,1574,262,441,268,603,79,27,17,147,59,54,248,631
7670,803,1019,588,946,2832,1932,935,9055,2250,374,631,384,861,572,93,340,49,290,106,452,1902
7680,237,313,248,434,1275,1080,410,3997,1100,181,308,188,423,73,14,56,25,99,38,2953,3258
7690,307,384,227,303,1106,809,210,3346,1035,154,290,180,411,287,37,146,11,13,15,104,613
7700,694,493,217,380,2658,1182,286,5910,2426,375,680,419,952,44,49,27,91,190,415,134,950
7710,52,88,64,112,323,430,165,1234,459,67,128,80,184,278,143,422,80,275,146,355,1699
7720,740,1899,1600,1684,4065,4481,1117,15586,4444,659,1244,773,1768,164,74,32,129,279,154,690,1522
7730,181,388,298,421,989,1066,358,3701,1144,181,320,197,446,0,0,0,9,137,170,82,398
7740,159,385,381,433,781,1140,260,3539,1017,149,284,177,407,408,154,212,41,147,39,379,1380
7750,22,40,42,49,124,208,81,566,259,38,72,45,104,65,0,20,4,11,1,24,125
7760,659,1160,791,1035,3034,2916,1705,11300,3370,602,946,566,1256,100,322,109,690,720,654,576,3171
7770,523,938,688,921,2698,2697,1125,9590,3138,538,881,532,1187,330,45,114,277,274,169,512,1721
7780,378,719,570,716,1913,2088,703,7087,2203,336,617,381,869,316,52,926,378,268,238,299,2477
7790,229,511,371,470,1230,1404,1062,5277,1551,292,437,258,564,43,99,20,35,196,72,206,671
7800,2,4,2,4,12,13,15,52,16,2,5,3,6,4202,114,2886,486,1304,52,87,9131
7810,55,110,112,127,338,429,170,1341,472,70,131,83,188,323,0,50,38,53,8,29,501
7820,12,29,25,46,81,116,35,344,104,15,30,18,41,89,0,5,0,21,0,38,153
7830,231,458,288,399,1080,1030,332,3818,1099,160,308,191,440,368,0,69,25,232,107,87,888
7840,319,533,508,647,1556,2185,664,6412,2220,337,621,385,877,280,14,76,39,195,190,308,1102
7850,37,101,123,155,237,523,133,1309,419,61,117,73,168,29,27,0,21,29,85,0,191
7860,626,766,338,459,2214,1199,246,5848,1777,260,496,310,711,91,25,59,27,66,37,77,382
7870,129,322,259,334,764,1160,368,3336,1152,175,322,200,455,1686,233,577,103,882,216,424,4121
7880,14,27,24,34,62,92,42,295,110,16,31,19,44,287,0,46,49,46,8,0,436
7890,932,1186,674,745,3303,2217,818,9875,3351,492,938,583,1338,777,66,716,151,212,264,219,2405
7900,1210,1474,916,1428,5689,3196,1026,14939,5441,901,1526,926,2088,642,59,124,152,169,109,350,1605
7910,417,833,697,791,2094,2616,1050,8498,2961,442,828,514,1177,1072,139,348,680,567,262,240,3308
7920,401,734,548,516,1669,1695,489,6052,1986,299,555,345,787,454,76,350,173,277,51,341,1722
7930,351,512,382,595,1517,1639,987,5983,2147,457,605,346,739,655,210,235,266,565,649,532,3112
8000,154,310,287,339,737,1299,411,3537,1291,196,362,223,510,65,41,0,26,169,244,146,691
8010,98,304,275,263,509,1068,529,3046,1180,232,332,194,422,97,12,0,39,105,225,48,526
8020,126,343,323,340,582,1441,651,3806,1426,216,399,247,564,62,63,17,127,115,234,146,764
8030,199,678,633,586,1036,2311,1254,6697,2459,414,690,418,937,55,116,52,229,297,208,682,1639
8040,110,179,169,186,483,885,433,2445,910,136,255,157,362,0,0,0,38,167,38,0,243
8050,108,214,161,188,504,1173,889,3237,1403,226,393,241,543,37,77,70,150,136,128,133,731
8060,334,620,470,548,1446,2164,1542,7124,2955,501,829,500,1125,350,433,313,1761,955,763,312,4887
8070,231,506,534,579,1339,2314,2478,7981,3505,798,988,554,1165,140,731,30,771,771,891,1166,4500
8080,306,483,397,441,1563,2242,2865,8297,3598,841,1015,566,1176,327,133,0,70,187,245,680,1642
8090,177,299,278,277,697,1509,1173,4410,1752,269,490,303,690,74,23,0,56,73,167,265,658
8100,5,9,5,5,28,44,15,111,33,6,9,6,12,0,0,0,4,45,90,73,212
8110,589,736,420,517,2294,2080,728,7364,2523,374,706,439,1004,253,194,81,83,372,292,310,1585
8120,224,541,550,653,1230,2249,771,6218,1790,426,505,280,579,509,65,109,518,237,318,257,2013
8130,30,34,53,71,131,269,120,708,228,33,64,40,91,175,113,81,171,127,156,56,879
8140,49,146,138,154,303,639,307,1736,608,89,170,106,243,99,0,0,8,77,49,36,269
8150,26,52,56,60,167,295,121,777,251,37,70,44,100,176,0,0,6,0,11,38,231
8160,43,65,40,64,159,173,100,644,202,30,57,35,80,1768,33,611,4,996,120,100,3632
8170,29,80,49,68,221,522,241,1210,388,56,109,68,155,90,17,57,31,97,120,41,453
8180,28,61,50,62,161,318,170,850,253,37,71,44,101,160,0,407,46,103,217,545,1478
8200,88,201,120,148,442,819,374,2192,913,257,348,139,169,28,0,45,12,80,30,12,207
8210,128,200,192,367,1159,2397,2617,7060,4143,2160,1392,312,279,267,480,118,395,468,717,369,2814
8220,362,562,439,541,2157,3463,2724,10248,5207,2288,1829,530,560,417,200,134,204,668,334,2387,4344
8300,0,0,0,0,1,2,2,5,2,0,1,0,1,116,303,58,795,349,252,34,1907
8310,32,20,18,127,310,150,20,677,254,127,83,24,20,1233,286,739,1780,936,1298,441,6713
8320,489,623,383,942,2944,2605,2503,10489,5588,2702,1799,565,522,147,281,62,480,679,311,1027,2987
8330,138,227,146,164,768,680,470,2593,983,308,317,150,208,1332,25,506,365,489,293,12,3022
8340,160,289,215,192,656,870,192,2574,835,152,270,160,253,44,0,0,27,75,7,23,176
8350,404,672,445,470,1778,1670,409,5848,2101,399,679,397,626,201,39,20,22,87,61,532,962
8360,163,182,98,191,746,615,683,2678,1517,722,488,157,150,194,547,137,621,472,590,664,3225
8370,102,141,96,118,412,470,173,1512,500,93,162,95,150,62,0,25,5,29,205,91,417
8400,533,1137,794,799,2282,2923,1869,10337,3628,836,1205,571,1016,4348,363,2178,1005,1113,927,542,10476
8410,41,95,77,97,197,334,124,965,338,61,111,58,108,68,17,197,5,0,4,12,303
8420,404,722,513,513,1613,1526,448,5739,1931,335,636,335,625,72,0,36,19,114,6,329,576
8430,433,845,575,550,1771,2045,1249,7468,2810,532,928,475,875,0,123,50,288,274,120,602,1457
8440,174,313,171,142,692,384,98,1974,598,119,198,99,182,64,0,0,9,41,239,60,413
8450,80,227,194,275,477,918,251,2422,934,160,308,162,304,49,20,0,40,78,73,206,466
8460,37,98,93,107,162,396,173,1066,353,72,117,59,105,0,56,0,83,88,178,202,607
8470,31,53,46,76,146,246,77,675,231,44,76,39,72,0,0,0,9,127,90,0,226
8480,50,115,102,113,229,453,166,1228,395,67,130,69,129,171,0,0,4,62,24,14,275
8490,32,61,28,46,143,218,93,621,249,42,82,44,81,74,0,32,23,35,6,23,193
8500,24,42,35,48,90,123,64,426,154,26,51,27,50,132,0,0,4,0,3,1,140
8510,21,22,22,40,81,98,41,325,101,21,33,17,30,2113,16,1428,80,561,206,190,4594
8520,63,247,214,217,563,631,284,2219,703,150,233,114,206,296,46,209,111,147,141,157,1107
8530,872,772,477,767,3168,1898,498,8452,3263,633,1079,547,1004,0,67,0,167,0,288,329,851
8540,257,447,246,402,1239,827,497,3915,1584,446,531,226,381,52,509,21,1805,512,767,434,4100
8550,296,226,126,247,1215,515,288,2913,1013,175,333,176,329,1370,571,483,1348,1209,300,491,5772
8560,176,302,304,356,855,1458,410,3861,1404,280,464,233,427,383,74,22,7,28,5,73,592
8570,15,19,13,14,81,100,258,500,148,25,49,26,48,53,11,0,38,151,8,78,339
8580,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,122,2,12,69,19,328
8590,35,115,62,93,255,325,162,1047,394,72,130,67,125,318,37,192,66,131,54,657,1455
8600,78,173,133,157,410,499,561,2011,599,108,198,102,191,332,10,65,117,153,69,1464,2210
8610,76,189,158,200,363,777,214,1977,659,112,217,115,215,120,0,0,13,103,63,13,312
8620,123,287,236,348,733,1375,521,3623,1321,233,435,228,425,274,10,124,13,80,18,259,778
8630,66,192,146,196,446,685,243,1974,684,119,225,119,221,484,0,86,21,85,49,116,841
8640,50,64,54,67,209,166,46,656,216,38,72,37,69,112,0,167,3,20,48,0,350
8650,131,252,174,224,595,894,235,2505,859,146,283,150,280,43,66,45,48,83,64,70,419
8660,289,633,377,447,1289,1606,369,5010,1655,284,545,288,538,12,60,0,100,105,87,334,698
8670,127,307,174,281,649,1321,907,3766,1452,248,478,253,473,0,0,50,56,246,76,115,543
8680,173,385,283,357,734,1089,363,3384,1111,199,366,191,355,111,13,0,41,46,158,261,630
8690,55,88,96,154,346,550,338,1627,830,297,281,101,151,68,69,0,60,210,70,919,1396
8700,202,401,351,418,814,1475,622,4283,1549,306,512,258,473,323,25,59,66,114,16,180,783
8710,21,56,39,63,130,215,76,600,183,31,60,32,60,137,16,0,3,21,2,37,216
8720,25,51,39,60,121,236,79,611,257,44,84,45,84,98,0,0,8,0,7,64,177
8730,38,108,78,100,210,408,136,1078,417,71,137,73,136,150,27,19,4,34,4,36,274
8740,22,55,46,76,140,316,112,767,306,52,101,53,100,200,0,0,6,57,40,0,303
8750,40,80,49,76,219,346,261,1071,482,82,159,84,157,162,0,15,3,26,6,0,212
8760,27,72,53,59,170,232,110,723,246,42,81,43,80,219,0,42,6,0,5,43,315
8770,21,58,50,55,142,250,109,685,287,49,94,50,94,138,28,0,25,0,6,0,197
8780,36,69,50,71,158,293,90,767,285,50,94,49,92,260,46,42,125,19,3,14,509
8790,43,82,46,57,172,273,115,788,253,43,83,44,83,396,0,91,42,0,3,0,532
8800,31,87,46,56,153,333,440,1146,498,90,164,85,159,241,0,43,3,24,3,32,346
8810,3,9,5,6,17,34,45,119,34,6,11,6,11,347,10,104,82,62,92,17,714
8820,9,34,14,34,81,141,78,391,123,21,41,21,40,470,0,37,9,39,50,0,605
8830,389,626,423,509,1509,1216,383,5055,1780,377,590,289,524,332,33,0,246,158,187,121,1077
8840,491,805,590,672,1955,1757,774,7044,2453,512,813,402,726,148,154,36,28,166,180,389,1101
9000,72,169,109,160,370,684,163,1727,705.53,118.72,246.11,158.24,182.45,48,0,33,3,22,3,45,154
9010,32,114,95,82,259,457,119,1158,434.94,71.23,189.84,64.42,109.46,22,0,0,5,0,5,19,51
9020,23,74,54,78,167,326,115,837,314.59,95.74,104.46,41.36,73.02,36,0,0,4,36,20,47,143
9030,56,130,107,91,274,396,135,1189,372.71,55.26,132.63,47.06,137.76,117,0,0,46,0,42,0,205
9040,201,275,173,253,758,729,322,2711,961.19,205.46,299.97,187.38,268.39,24.6,50.4,0,19,28,111,88,321
9050,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,3,4,15,12,45
9060,478,825,548,680,1994,2086,1089,7700,2719.15,696.83,763.61,488.55,770.17,65,55,17,45,138,51,984,1355
9070,559,1094,688,823,2333,2480,905,8882,2928.83,490.33,858.62,517.4,1062.48,24,0,35,29,90,69,484,731
9080,200,245,222,330,892,1080,617,3586,1639.27,602.5,563.07,232.47,241.23,49,115,57,97,188,119,772,1397
9090,27,42,26,31,101,114,39,380,167.74,58.01,73.45,14.24,22.05,1637,351,421,1582,947,1097,222,6257
9100,371,568,335,397,1293,1405,389,4758,1350.68,180.89,439.82,195.18,534.79,68,0,48,5,0,5,181,307
9110,91,187,123,311,640,551,192,2095,578.51,94.36,179.85,96.17,208.13,8,0,9,3,43,13,584,660
9120,144,262,228,243,667,1040,426,3010,1071.5,172.81,353.07,241.49,304.13,23,0,105,24,63,34,412,661
9130,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,0,11,18
9140,11,19,19,20,62,83,42,256,116.6,28.24,36.58,23.48,28.3,19,0,1,1,1,0,3,25
9150,128,224,159,177,645,813,466,2612,1211.2,336.38,481.08,120.16,273.58,334,0,12,13,23,2,58,442
9160,80,150,106,127,420,518,330,1731,869.4,228.87,387,120.56,132.96,0,0,0,5,0,4,39,48
9170,71,139,106,96,248,375,214,1249,520.58,179.18,161.48,59.98,119.94,75.6,90.4,55,145,143,724,519,1752
9180,11,15,15,28,48,86,43,246,118.34,33.05,29.97,22.9,32.4,2,1,1,3,3,14,10,34
9190,344,521,376,469,1390,2251,1782,7133,3173.02,881.5,1506.32,300.47,484.73,906.6,370.4,168,229,273,180,1273,3400
9200,142,197,139,176,375,501,278,1808,779.89,170.84,238.64,139.54,230.86,62,0,25,28,33,56,242,446
9300,165,394,323,362,840,1249,458,3791,1225.41,238.18,330.87,214.5,441.86,1531,99,273,532,239,99,138,2911
9310,295,523,406,476,1368,1580,556,5204,1574.1,244.86,567.21,242.56,519.48,1470,17,235,127,178,21,172,2220
9320,90,185,149,150,388,415,146,1523,456.94,105.61,116.77,46.5,188.06,362,135,113,39,48,63,586,1346
9330,1244,1511,738,1296,4005,2872,1322,12988,3259.29,301.97,734.68,519.66,1702.97,273.4,230.6,68,53,65,118,216,1024
9340,505,710,435,618,1776,1676,702,6422,2022.21,224.18,540.22,285.53,972.28,97,28,89,41,131,76,193,655
9350,493,704,459,810,2057,1797,1759,8079,2994.8,950.53,1004.9,340.87,698.49,162,463,121,595,650,287,842,3120
9360,137,307,206,239,792,744,375,2800,848.8,149.3,250.12,109.16,340.22,5954.4,481.6,1697,331,1050,206,601,10321
9370,684,947,596,947,2391,2260,937,8762,2349.2,222.4,639.82,367.2,1119.78,147,0,50,17,208,41,175,638
9380,145,258,157,196,549,701,439,2445,920.24,183.05,346.93,131.55,258.71,275,0,40,3,195,3,93,609
9390,408,547,318,641,1722,1492,1562,6690,3138.5,1210.57,1081.13,366.58,480.22,135,1228,141,1484,1271,618,2689,7566
9400,291,419,282,617,1514,1771,2239,7133,3690.34,1470.45,1497.1,359.21,363.57,289,361,108,1512,750,892,520,4432
9410,573,935,587,732,2246,1949,1623,8645,2889.1,739.4,859.73,367.1,922.86,75,547,83,515,690,592,519,3021
9420,395,645,432,672,1888,1927,2866,8825,3719.47,1553.56,1248.93,393.88,523.1,320,291,51,530,577,336,3759,5864
9430,218,335,227,435,1327,707,401,3650,846.24,154.91,243.88,169.96,277.5,453,0,60,20,175,38,1264,2010
9440,87,155,141,171,394,509,274,1731,569.28,111.02,205.63,58.32,194.31,626,0,22,14,41,19,56,778
9450,2,4,4,5,9,12,7,43,17.42,3.18,6.03,3.15,5.06,522,19,69,14,34,3,0,661
9460,385,811,633,628,1888,1735,521,6601,2154.2,337.59,612.35,365.78,838.48,140,76,16,128,70,123,350,903
9470,739,1390,1049,1037,3097,2787,596,10695,3338.9,355.72,842.75,660.72,1479.71,122,44,14,4,53,13,328,578
9500,205,279,259,353,985,1114,425,3620,1540.53,532.4,474.86,194.42,338.86,234,228,14,467,1015,388,410,2756
9510,313,388,211,629,1424,1249,592,4806,2320.03,878.85,809.43,284.77,346.98,441.4,76.6,374,856,414,383,434,2979
9520,137,177,121,290,625,542,512,2404,1009.45,292.69,402.18,121.78,192.81,909.6,150.4,1464,885,665,247,1090,5411
9530,157,308,238,253,738,738,210,2642,865.54,96.37,257.17,164.14,347.86,45,68,0,93,211,467,402,1286
9540,530,907,767,1154,2481,3581,1172,10592,3839.16,665.1,1420.98,737.31,1015.77,115,26,41,43,359,540,348,1472
9550,112,159,100,118,345,282,109,1225,369.77,47.51,86.58,53.1,182.58,219,21,0,72,33,338,98,781
9560,431,631,389,424,1465,1378,321,5039,1541.94,169.58,441.95,233.33,697.08,459,0,18,5,39,72,101,694
9570,122,268,215,229,531,550,198,2113,631.47,103.72,175.89,73.91,277.95,769,31,88,4,81,12,61,1046
9600,449,732,555,657,1657,2175,698,6923,2263.25,313.45,830.4,382.59,736.82,1681,16,180,167,339,280,132,2795
9610,208,282,232,289,877,788,429,3105,1265.8,387.3,416.02,186.53,275.95,160,0,0,166,122,104,302,854
9620,418,683,449,792,2003,2047,2361,8753,3909.18,1754.47,1211.52,423.09,520.11,909.4,286.6,363,739,2426,782,2783,8289
9630,318,522,407,615,1394,2039,1660,6955,2862.69,772.07,1185.55,427.08,477.99,289.4,508.6,25,1713,619,985,1220,5360
9640,735,1381,939,908,2984,2745,1256,10948,3821.31,674.07,1272.28,706.1,1168.86,369,169,94,222,163,215,977,2209
9650,600,783,597,768,2219,2317,1193,8477,3230,929,1069.17,501.17,730.65,275,46,96,71,276,56,390,1210
9660,881,1130,781,1107,3226,3190,2353,12668,5184.82,1699.94,1767.27,774.48,943.13,993,655,603,1033,1220,618,1912,7034
9670,256,508,447,508,1150,1847,1112,5828,2168.12,456.58,924.83,246.31,540.4,272,239,52,779,202,109,346,1999
9680,924,1422,756,811,3243,2767,1544,11467,3959.85,718.02,1492.17,601.8,1147.87,72,0,64,107,145,272,237,897
9690,263,398,224,274,713,895,429,3196,1002.11,123.22,369.85,166.71,342.33,879,0,24,3,52,18,132,1108
9700,189,342,228,206,571,562,202,2300,698.07,110.6,233.62,83.32,270.52,631,15,179,46,78,3,116,1068
9710,37,84,60,61,128,149,55,574,158.22,40.54,41.48,20.71,55.5,88,14,27,17,15,3,114,278
9720,65,190,106,126,290,494,154,1425,468.66,91.27,200.74,53.28,123.37,10,1,1,2,7,12,9,42
9730,74,165,108,145,323,506,115,1436,440.66,55.03,156.21,78.3,151.12,0,0,0,3,15,58,50,126
9740,18,28,6,14,37,52,17,172,64.34,9.67,11.13,17.47,26.07,4,0,0,1,3,6,4,18
9800,234,460,305,356,1150,1897,1045,5447,2508.21,614.92,1098.98,314.97,479.34,225,16,19,49,176,288,215,988
9810,278,485,359,362,1207,2111,1599,6401,3286.37,1012.82,1382.76,423.96,466.83,377.4,169.6,224,553,495,694,949,3462
