t matrices
d mo47
a matrix=mo47 AuAc 0 Auto Accessibility
5620 all:9.09900
5630 all:10.89391
5640 all:8.22564
5650 all:10.03930
5700 all:6.87080
5710 all:4.28470
5720 all:6.94235
5730 all:7.90012
5740 all:4.42761
5800 all:8.18486
5810 all:9.80849
5820 all:9.79797
5830 all:7.96318
5840 all:8.34362
5850 all:9.27909
5860 all:9.49985
5870 all:3.38049
5880 all:5.97592
5890 all:2.81920
5900 all:3.07263
5910 all:4.52253
5920 all:4.13312
5930 all:2.58639
5940 all:2.92506
5950 all:3.27794
5960 all:3.49053
6000 all:11.58145
6010 all:9.72012
6020 all:20.34917
6030 all:14.48525
6040 all:9.12061
6050 all:13.30939
6060 all:14.13867
6070 all:12.60384
6080 all:10.11622
6090 all:11.25642
6100 all:11.61784
6110 all:19.32213
6120 all:16.17649
6130 all:18.09518
6140 all:15.34530
6150 all:12.88185
6160 all:6.77910
6170 all:8.63794
6180 all:27.07632
6190 all:50.85028
6200 all:44.44134
6210 all:44.69358
6220 all:37.31096
6230 all:34.15167
6240 all:23.62613
6250 all:15.53517
6260 all:17.75544
6270 all:22.07048
6280 all:11.90622
6290 all:24.44920
6300 all:39.28560
6310 all:18.75308
6320 all:46.59447
6330 all:37.68205
6340 all:50.19541
6350 all:43.56317
6360 all:20.11445
6370 all:13.44451
6380 all:10.68187
6390 all:12.52329
6400 all:16.51549
6410 all:21.47114
6420 all:19.23585
6430 all:18.61269
6440 all:14.25674
6450 all:11.01687
6460 all:9.36851
6470 all:9.66884
6480 all:8.53219
6700 all:5.65929
6710 all:5.78976
6720 all:6.85812
6730 all:2.72283
6740 all:3.82083
6750 all:3.77580
6760 all:5.04716
6770 all:5.85664
6780 all:5.06001
6790 all:8.12698
6800 all:6.63958
6810 all:7.87631
6900 all:4.09542
6910 all:11.85708
6920 all:7.07227
6930 all:4.20195
6940 all:8.40257
6950 all:3.08603
7000 all:12.73153
7010 all:14.87456
7020 all:13.95022
7030 all:19.13898
7040 all:9.01435
7050 all:15.21858
7060 all:12.50097
7070 all:11.62899
7080 all:12.58370
7100 all:10.86031
7110 all:14.98096
7120 all:18.25291
7130 all:16.03413
7140 all:20.87265
7150 all:19.63493
7160 all:33.01592
7170 all:22.73441
7180 all:40.36550
7190 all:23.03281
7200 all:33.88436
7210 all:27.25308
7220 all:19.08887
7230 all:22.20381
7240 all:18.94495
7250 all:33.58335
7260 all:23.54596
7270 all:31.87111
7280 all:19.55923
7290 all:19.21641
7300 all:27.31823
7310 all:20.36233
7320 all:24.87402
7330 all:20.35111
7340 all:30.27774
7350 all:26.20018
7360 all:16.55596
7370 all:17.70355
7380 all:15.62353
7390 all:17.15699
7400 all:15.09564
7410 all:16.80045
7420 all:23.45453
7430 all:25.72176
7440 all:16.35065
7450 all:22.19089
7460 all:17.46347
7470 all:19.63773
7480 all:19.82470
7490 all:13.38603
7500 all:20.08712
7510 all:14.15666
7520 all:11.89097
7530 all:19.95300
7540 all:13.46404
7550 all:15.24800
7560 all:7.94693
7570 all:17.85466
7580 all:14.27110
7590 all:18.92825
7600 all:15.69642
7610 all:15.30055
7620 all:11.57021
7630 all:15.37283
7640 all:15.56241
7650 all:19.92680
7660 all:16.05448
7670 all:13.37611
7680 all:14.42358
7690 all:14.64655
