t matrices
d mo47
a matrix=mo47 AuAc 0 Auto Accessibility
5120 all:11.24763
5130 all:12.10433
5140 all:17.22616
5150 all:17.79609
5160 all:7.98749
5170 all:12.58209
5180 all:17.74345
5190 all:22.49034
5200 all:20.08708
5210 all:10.10227
5220 all:5.86379
5230 all:9.36063
5240 all:10.14203
5250 all:11.09222
5260 all:12.56210
5270 all:8.05583
5280 all:12.96115
5290 all:9.00710
5300 all:2.35433
5310 all:3.46899
5320 all:9.19812
5330 all:7.41461
5340 all:11.64167
5350 all:6.31048
5360 all:5.60344
5370 all:10.62373
5380 all:24.76807
5390 all:26.80301
5400 all:4.11676
5410 all:7.73216
5420 all:6.18938
5430 all:4.85669
5440 all:7.22359
5450 all:4.25337
5460 all:2.83632
5500 all:16.78934
5510 all:18.00010
5520 all:9.86122
5530 all:10.38809
5540 all:6.68945
5550 all:6.81256
5560 all:5.28304
5570 all:8.16310
5580 all:5.88009
5590 all:5.07208
5600 all:8.97536
5610 all:8.97522
5620 all:5.58359
5630 all:6.60862
5640 all:5.38068
5650 all:6.09817
5700 all:4.23898
5710 all:2.61835
5720 all:4.18470
5730 all:5.21875
5740 all:2.48673
5800 all:4.86283
5810 all:6.53258
5820 all:6.45287
5830 all:5.13136
5840 all:5.62159
5850 all:6.10835
5860 all:6.53640
5870 all:2.02074
5880 all:3.69788
5890 all:1.64669
5900 all:1.53021
5910 all:2.58001
5920 all:2.49348
5930 all:1.45117
5940 all:1.77048
5950 all:1.59603
5960 all:1.80761
6000 all:6.99518
6010 all:5.21707
6020 all:9.82928
6030 all:7.63117
6040 all:5.76255
6050 all:8.57366
6060 all:9.17635
6070 all:7.46316
6080 all:6.07156
6090 all:7.11347
6100 all:6.09801
6110 all:10.39031
6120 all:9.90869
6130 all:11.75992
6140 all:9.50401
6150 all:7.69650
6160 all:4.01851
6170 all:5.54946
6180 all:16.30792
6190 all:37.06765
6200 all:30.48388
6210 all:31.24122
6220 all:21.91529
6230 all:20.61559
6240 all:15.23099
6250 all:9.69771
6260 all:11.48975
6270 all:13.96924
6280 all:6.82546
6290 all:16.52284
6300 all:28.37913
6310 all:11.35891
6320 all:30.58550
6330 all:21.73040
6340 all:31.72781
6350 all:24.74085
6360 all:11.77654
6370 all:8.15346
6380 all:6.57622
6390 all:7.56768
6400 all:10.58134
6410 all:13.98897
6420 all:12.54927
6430 all:12.56253
6440 all:9.23157
6450 all:6.67924
6460 all:5.87241
6470 all:6.13869
6480 all:5.28677
6700 all:3.40528
6710 all:3.63485
6720 all:4.17398
6730 all:1.52434
6740 all:2.08807
6750 all:2.22262
6760 all:2.87329
6770 all:3.46687
6780 all:2.96470
6790 all:4.93097
6800 all:3.77429
6810 all:4.33850
6900 all:2.49623
6910 all:8.16819
6920 all:4.55613
6930 all:2.32553
6940 all:5.39491
6950 all:1.94211
7000 all:7.41308
7010 all:9.34895
7020 all:8.50914
7030 all:12.98586
7040 all:5.08015
7050 all:10.21008
7060 all:8.12450
7070 all:6.24010
7080 all:6.69250
7100 all:6.15108
7110 all:9.05642
7120 all:11.07841
7130 all:9.33425
7140 all:12.46814
7150 all:11.28514
7160 all:19.28399
7170 all:12.29261
7180 all:26.53929
7190 all:13.82646
7200 all:23.05368
7210 all:14.97252
7220 all:11.38697
7230 all:14.10713
7240 all:12.37113
7250 all:22.22303
7260 all:15.85299
7270 all:21.75844
7280 all:10.99604
7290 all:12.98019
7300 all:19.03573
7310 all:12.37063
7320 all:15.43299
7330 all:12.83686
7340 all:19.19662
7350 all:16.84321
7360 all:9.42997
7370 all:9.60921
7380 all:8.74767
7390 all:10.41296
7400 all:9.54939
7410 all:10.94670
7420 all:14.49805
7430 all:17.27237
7440 all:9.84543
7450 all:12.43025
7460 all:10.65263
7470 all:12.80618
7480 all:11.29341
7490 all:8.08375
7500 all:13.30970
7510 all:7.89194
7520 all:6.76023
7530 all:10.72135
7540 all:7.38533
7550 all:8.43211
7560 all:4.78259
7570 all:11.39452
7580 all:8.17752
7590 all:11.12114
7600 all:10.18421
7610 all:9.14466
7620 all:5.97614
7630 all:9.17933
7640 all:8.89520
7650 all:12.93419
7660 all:10.13445
7670 all:7.74790
7680 all:7.93574
7690 all:8.05527
7700 all:6.87374
7710 all:6.77587
7720 all:5.97090
7730 all:9.43373
7740 all:5.78427
7750 all:5.05327
7760 all:10.80888
7770 all:9.96010
7780 all:5.34330
7790 all:6.66048
7800 all:6.13921
7810 all:5.70906
7820 all:4.42288
7830 all:5.55812
7840 all:5.02704
7850 all:7.59156
7860 all:5.69301
7870 all:4.82979
7880 all:7.76269
7890 all:7.41362
7900 all:5.67552
7910 all:9.18437
7920 all:8.09912
7930 all:8.85200
8000 all:4.76241
8010 all:4.37766
8020 all:5.59782
8030 all:4.81189
8040 all:4.39469
8050 all:5.32219
8060 all:6.45200
8070 all:8.99285
8080 all:8.20560
8090 all:7.58996
8100 all:5.01660
8110 all:3.82358
8120 all:5.01257
8130 all:6.22164
8140 all:5.05976
8150 all:4.40642
8160 all:3.81266
8170 all:5.66878
8180 all:4.44546
8200 all:5.37339
8210 all:8.35430
8220 all:6.52808
8300 all:16.99274
8310 all:25.74324
8320 all:19.36501
8330 all:12.59847
8340 all:7.39622
8350 all:8.72834
8360 all:18.91869
8370 all:7.36137
8400 all:6.53619
8410 all:4.61114
8420 all:6.62087
8430 all:6.62378
8440 all:4.18202
8450 all:4.64968
8460 all:4.49485
8470 all:3.74028
8480 all:2.17841
8490 all:2.74560
8500 all:1.67826
8510 all:2.56278
8520 all:6.63808
8530 all:8.05253
8540 all:15.06471
8550 all:16.25594
8560 all:5.68575
8570 all:10.26837
8580 all:7.43682
8590 all:6.03700
8600 all:8.15243
8610 all:3.90903
8620 all:3.49333
8630 all:2.79612
8640 all:2.46209
8650 all:7.54038
8660 all:7.92926
8670 all:4.01169
8680 all:5.84677
8690 all:7.01062
8700 all:4.66082
8710 all:2.94121
8720 all:3.23164
8730 all:2.95471
8740 all:2.56621
8750 all:3.63445
8760 all:2.95312
8770 all:2.42002
8780 all:3.42281
8790 all:2.74210
8800 all:2.73945
8810 all:4.63549
8820 all:4.10369
8830 all:4.94466
8840 all:3.41611
9000 all:1.36130
9010 all:1.06349
9020 all:1.65852
9030 all:2.29418
9040 all:4.56222
9050 all:3.61090
9060 all:4.27328
9070 all:2.00074
9080 all:7.36633
9090 all:5.18371
9100 all:1.86766
9110 all:1.41717
9120 all:1.73666
9130 all:.89818
9140 all:.76971
9150 all:.59384
9160 all:.75488
9170 all:.71239
9180 all:.67739
9190 all:.85822
9200 all:.66098
9300 all:1.87117
9310 all:2.19644
9320 all:2.57281
9330 all:2.21466
9340 all:3.15653
9350 all:6.07685
9360 all:2.99782
9370 all:6.59773
9380 all:6.59240
9390 all:10.84028
9400 all:10.81310
9410 all:4.81929
9420 all:6.85177
9430 all:2.69882
9440 all:2.09458
9450 all:8.01090
9460 all:4.73402
9470 all:2.70326
9500 all:8.45970
9510 all:5.61383
9520 all:4.12548
9530 all:5.20380
9540 all:2.84447
9550 all:2.80087
9560 all:1.54232
9570 all:1.27071
9600 all:1.32626
9610 all:2.27341
9620 all:1.78701
9630 all:3.73209
9640 all:2.33498
9650 all:1.35650
9660 all:2.81794
9670 all:3.05882
9680 all:1.87022
9690 all:1.11952
9700 all:1.76208
9710 all:1.31481
9720 all:.77672
9730 all:1.28497
9740 all:.56215
9800 all:1.72220
9810 all:.45129
d mo955
a matrix=mo955 ReTrAc 0 Retail Transit Accessibility
1000 all:.24998
1010 all:.23762
1020 all:.24387
1030 all:.19957
1040 all:.42645
1050 all:.93867
1060 all:.15713
1070 all:.90662
1080 all:.86351
1090 all:.74360
1100 all:1.07888
1110 all:1.17980
1150 all:.06976
1200 all:1.07994
1210 all:1.37570
1220 all:1.08273
1230 all:1.13802
1240 all:1.70047
1250 all:1.67460
1260 all:.80632
1270 all:.71744
1280 all:1.00522
1290 all:.79239
1500 all:.62072
1510 all:1.31935
1520 all:.83078
1530 all:.42686
1540 all:.34015
1550 all:.39615
1560 all:.46274
1570 all:.80753
1580 all:.51066
1590 all:.66371
1600 all:.45977
1610 all:.74580
1620 all:.79147
1630 all:.51046
1640 all:.72825
1650 all:1.16156
1660 all:.32389
1670 all:.56418
1680 all:.38472
1690 all:.52691
1700 all:.55934
1710 all:.39214
1900 all:.24611
1910 all:.07380
1920 all:.22700
1930 all:.72332
2000 all:.95256
2010 all:2.12050
2020 all:1.99920
2030 all:4.09187
2040 all:3.49769
2050 all:2.70176
2060 all:2.53303
2070 all:3.83375
2080 all:3.51947
2090 all:3.50437
2100 all:4.21850
2110 all:6.31415
2120 all:5.68283
2130 all:5.09847
2140 all:6.27944
2150 all:6.12657
2160 all:7.40107
2170 all:6.03752
2180 all:14.05351
2190 all:5.98203
2200 all:4.33344
2210 all:6.47792
2220 all:4.95313
2230 all:4.78685
2240 all:7.08377
2250 all:6.63866
2260 all:3.01382
2270 all:4.77237
2280 all:3.96129
2290 all:4.87413
2300 all:4.43491
2310 all:5.49030
2320 all:6.24079
2330 all:4.83062
2900 all:1.22017
2910 all:2.11125
2920 all:1.15959
3000 all:.84294
3010 all:1.42976
3020 all:1.73910
3030 all:2.04905
3040 all:1.74120
3050 all:3.23601
3060 all:2.66944
3070 all:2.73837
3080 all:3.11776
3090 all:3.01631
3100 all:3.23303
3110 all:3.36908
