c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 15:45:34
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=md24  HhLwIn   0.0 Household Low Income                    
    all   gy12  34274.83
    all   gy13  5540.377
    all   gy14  51372.88
a matrix=md46   aUvnf   0.0 NOTFactoredAttracUv                     
    all   gy01  621.0102
    all   gy02  10117.65
    all   gy03  13493.57
    all   gy04  79353.34
    all   gy05  66056.77
    all   gy06  4553.462
    all   gy07  6824.793
    all   gy08  1046.626
    all   gy09  19425.08
    all   gy10  348.8068
    all   gy11  710.1433
    all   gy12  7078.694
    all   gy13  591.4692
    all   gy14  17274.17
a matrix=md47    aScf   0.0 FactoredAttracSc                        
    all   gy01  15308.75
    all   gy02  30523.07
    all   gy03  3033.204
    all   gy04  112627.5
    all   gy05  56735.66
    all   gy06  56881.72
    all   gy07  42891.32
    all   gy08  12324.11
    all   gy09  128743.2
    all   gy10  21141.36
    all   gy11  22678.69
    all   gy12  35397.11
    all   gy13  13686.88
    all   gy14  64419.99
a matrix=md48    aShf   0.0 FactoredAttracSh                        
    all   gy01  13536.78
    all   gy02   32544.8
    all   gy03  36314.88
    all   gy04  117557.3
    all   gy05  89935.27
    all   gy06  47209.09
    all   gy07  51992.08
    all   gy08  9248.121
    all   gy09  79383.66
    all   gy10  21434.46
    all   gy11  16451.06
    all   gy12  43916.97
    all   gy13  8420.427
    all   gy14  64250.03
a matrix=md49    aPBf   0.0 FactoredAttracPB                        
    all   gy01  7431.409
    all   gy02  26702.47
    all   gy03  34375.68
    all   gy04  101345.9
    all   gy05   52923.3
    all   gy06  29452.65
    all   gy07  30949.91
    all   gy08  8603.793
    all   gy09  57682.54
    all   gy10  15963.05
    all   gy11  16706.13
    all   gy12  27950.02
    all   gy13  9455.214
    all   gy14  47888.36
a matrix=md50    aSof   0.0 FactoredAttracSo                        
    all   gy01  27638.56
    all   gy02  53149.82
    all   gy03   87052.8
    all   gy04  194167.2
    all   gy05  97451.27
    all   gy06   69583.9
    all   gy07  79141.34
    all   gy08  22402.78
    all   gy09  114582.4
    all   gy10  38555.13
    all   gy11  31353.87
    all   gy12  61711.97
    all   gy13  16044.77
    all   gy14   91356.7
a matrix=md51    aEcf   0.0 FactoredAttracEc                        
    all   gy01  14777.97
    all   gy02  39313.85
    all   gy03  16605.38
    all   gy04  133060.5
    all   gy05  77624.48
    all   gy06  63490.67
    all   gy07  63327.65
    all   gy08  13182.71
    all   gy09  116912.5
    all   gy10  28383.37
    all   gy11  28647.39
    all   gy12  41410.42
    all   gy13  13620.18
    all   gy14  70487.53
a matrix=md52    aNof   0.0 FactoredAttracNo                        
    all   gy01  19150.47
    all   gy02  44160.89
    all   gy03  48287.36
    all   gy04  160059.8
    all   gy05  90845.04
    all   gy06  65212.64
    all   gy07  67951.34
    all   gy08  15721.87
    all   gy09  105105.2
    all   gy10  35309.09
    all   gy11  31739.29
    all   gy12   59026.6
    all   gy13  12870.39
    all   gy14  94612.33
c ------Data Sources:
c C:\EMME TL RTM\2011\RTM_R2015_01 2011_BC\Database\03_TRIP_ATTRACTIONS/Outputs/03-02_OUTPUT_RESULTS.txt
