c Emme Modeller - Matrix Transaction
c Date: 2016-01-24 12:16:47
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=md24  HhLwIn   0.0 Household Low Income                    
    all   gu25  99626.71
a matrix=md42   aWkLf   0.0 FactoredAttracWkL                       
    all   gu01  2467.815
    all   gu02  8460.648
    all   gu05  25257.44
    all   gu06  12395.56
    all   gu07  27556.69
    all   gu08  7108.471
    all   gu09  24321.44
    all   gu10  5736.117
    all   gu11  4356.975
    all   gu12  10300.07
    all   gu13  2538.099
    all   gu14   17981.6
    all   gu16  5180.053
    all   gu21  29366.07
    all   gu22  4442.912
    all   gu23  4670.488
    all   gu24  11854.75
    all   gu25  28003.45
a matrix=md43   aWkMf   0.0 FactoredAttracWkM                       
    all   gu01  7748.828
    all   gu02  32688.48
    all   gu05  89991.05
    all   gu06  41796.24
    all   gu07  76471.69
    all   gu08  28079.94
    all   gu09  92021.65
    all   gu10  16790.31
    all   gu11  15503.52
    all   gu12  46778.76
    all   gu13  8114.677
    all   gu14  61592.13
    all   gu16  20320.37
    all   gu21  115176.8
    all   gu22  16284.46
    all   gu23  13236.09
    all   gu24   41436.3
    all   gu25  93572.49
a matrix=md44   aWkHf   0.0 FactoredAttracWkH                       
    all   gu01  6603.812
    all   gu02  27796.14
    all   gu05  72095.19
    all   gu06  29453.69
    all   gu07  54358.03
    all   gu08   19832.4
    all   gu09  61057.05
    all   gu10  12416.38
    all   gu11  9085.085
    all   gu12  27402.34
    all   gu13  4277.341
    all   gu14  31869.04
    all   gu16  16338.21
    all   gu21  105867.5
    all   gu22  12361.87
    all   gu23  9402.798
    all   gu24  30905.13
    all   gu25  66361.07
a matrix=md45    aNwf   0.0 FactoredAttracNw                        
    all   gu01  10567.92
    all   gu02  30858.31
    all   gu05  64226.27
    all   gu06  36949.26
    all   gu07  51166.48
    all   gu08   11995.3
    all   gu09  62801.52
    all   gu10  13945.32
    all   gu11  13263.82
    all   gu12  34274.83
    all   gu13  5540.377
    all   gu14  51372.88
    all   gu16  14003.01
    all   gu21  62835.28
    all   gu22  9838.566
    all   gu23  12903.42
    all   gu24  34259.44
    all   gu25   78312.8
a matrix=md46   aUvnf   0.0 NOTFactoredAttracUv                     
    all   gu01  621.0102
    all   gu02  10117.65
    all   gu05  51329.26
    all   gu06  4553.462
    all   gu07  6824.793
    all   gu08  1046.626
    all   gu09  19425.08
    all   gu10  348.8068
    all   gu11  710.1433
    all   gu12  7078.694
    all   gu13  591.4692
    all   gu14  17274.17
    all   gu16  14727.51
    all   gu21  12470.65
    all   gu22  1264.444
    all   gu23  853.1348
    all   gu24  50273.51
    all   gu25  27985.18
a matrix=md47    aScf   0.0 FactoredAttracSc                        
    all   gu01  15308.75
    all   gu02  30523.07
    all   gu05  44771.48
    all   gu06  56881.72
    all   gu07  42891.32
    all   gu08  12324.11
    all   gu09  128743.2
    all   gu10  21141.36
    all   gu11  22678.69
    all   gu12  35397.11
    all   gu13  13686.88
    all   gu14  64419.99
    all   gu16  11964.18
    all   gu21  2913.169
    all   gu22  2569.869
    all   gu23  4085.157
    all   gu24  32282.27
    all   gu25  73810.28
a matrix=md48    aShf   0.0 FactoredAttracSh                        
    all   gu01  13536.78
    all   gu02   32544.8
    all   gu05  75868.19
    all   gu06  47209.09
    all   gu07  51992.08
    all   gu08  9248.121
    all   gu09  79383.66
    all   gu10  21434.46
    all   gu11  16451.06
    all   gu12  43916.97
    all   gu13  8420.427
    all   gu14  64250.03
    all   gu16  14067.07
    all   gu21  34107.67
    all   gu22  6831.509
    all   gu23   11723.1
    all   gu24  28432.05
    all   gu25  72777.84
a matrix=md49    aPBf   0.0 FactoredAttracPB                        
    all   gu01  7431.409
    all   gu02  26702.47
    all   gu05  41563.18
    all   gu06  29452.65
    all   gu07  30949.91
    all   gu08  8603.793
    all   gu09  57682.54
    all   gu10  15963.05
    all   gu11  16706.13
    all   gu12  27950.02
    all   gu13  9455.214
    all   gu14  47888.36
