   inode    jnode  @lanesam  @lanesmd  @lanespm    @vdfam    @vdfmd    @vdfpm   @tollam   @tollmd   @tollpm
   13170   132201         1         1         1         1         1         1         0         0         0
   13180   131803         1         1         1         1         1         1         0         0         0
   13190   131902         1         1         1         1         1         1         0         0         0
   13200   132004         1         1         1         1         1         1         0         0         0
   13210   132101         1         1         1         1         1         1         0         0         0
   13220   132204         1         1         1         1         1         1         0         0         0
   13230   133001         1         1         1         1         1         1         0         0         0
   13240   132402         1         1         1         1         1         1         0         0         0
   13250   132006         1         1         1         1         1         1         0         0         0
   13260   132601         1         1         1         1         1         1         0         0         0
   13270   132701         1         1         1         1         1         1         0         0         0
   13280   132801         1         1         1         1         1         1         0         0         0
   13290   132501         1         1         1         1         1         1         0         0         0
   13300   132302         1         1         1         1         1         1         0         0         0
   13310   133301         1         1         1         1         1         1         0         0         0
   13320   133101         1         1         1         1         1         1         0         0         0
   13330   133302         1         1         1         1         1         1         0         0         0
   14010   140102         1         1         1         1         1         1         0         0         0
   14020   140203         1         1         1         1         1         1         0         0         0
   14030   140301         1         1         1         1         1         1         0         0         0
   14040   140401         1         1         1         1         1         1         0         0         0
   21010   210102         1         1         1         1         1         1         0         0         0
   21020   210202         1         1         1         1         1         1         0         0         0
   21030   210305         1         1         1         1         1         1         0         0         0
   21040   210402         1         1         1         1         1         1         0         0         0
   21050   210501         1         1         1         1         1         1         0         0         0
   21060   210208         1         1         1         1         1         1         0         0         0
   21060   211101         1         1         1         1         1         1         0         0         0
   21070   210904         1         1         1         1         1         1         0         0         0
   21080   211003         1         1         1         1         1         1         0         0         0
   21090   210903         1         1         1         1         1         1         0         0         0
   21100   211002         1         1         1         1         1         1         0         0         0
   21110   211103         1         1         1         1         1         1         0         0         0
   21120   211102         1         1         1         1         1         1         0         0         0
   21130   211302         1         1         1         1         1         1         0         0         0
   21140   211407         1         1         1         1         1         1         0         0         0
   21150   211501         1         1         1         1         1         1         0         0         0
   21160   211601         1         1         1         1         1         1         0         0         0
   22010   220107         1         1         1         1         1         1         0         0         0
   22020   220201         1         1         1         1         1         1         0         0         0
   22030   220302         1         1         1         1         1         1         0         0         0
   22040   220401         1         1         1         1         1         1         0         0         0
   22050   220601         1         1         1         1         1         1         0         0         0
   22060   220602         1         1         1         1         1         1         0         0         0
   22070   220701         1         1         1         1         1         1         0         0         0
   22080   220804         1         1         1         1         1         1         0         0         0
   22090   221601         1         1         1         1         1         1         0         0         0
   22100   221702         1         1         1         1         1         1         0         0         0
   22110   221101         1         1         1         1         1         1         0         0         0
   22120   221201         1         1         1         1         1         1         0         0         0
   22130   221301         1         1         1         1         1         1         0         0         0
   22140   221401         1         1         1         1         1         1         0         0         0
   22150   220901         1         1         1         1         1         1         0         0         0
   22160   221604         1         1         1         1         1         1         0         0         0
   22170   221701         1         1         1         1         1         1         0         0         0
   22180   221702         1         1         1         1         1         1         0         0         0
   22190   221901         1         1         1         1         1         1         0         0         0
   22200   221102         1         1         1         1         1         1         0         0         0
   22210   222102         1         1         1         1         1         1         0         0         0
   22220   221404         1         1         1         1         1         1         0         0         0
   22230   221501         1         1         1         1         1         1         0         0         0
   22240   222401         1         1         1         1         1         1         0         0         0
   22250   222601         1         1         1         1         1         1         0         0         0
   22260   223803         1         1         1         1         1         1         0         0         0
   22270   222701         1         1         1         1         1         1         0         0         0
   22280   224001         1         1         1         1         1         1         0         0         0
   22290   221902         1         1         1         1         1         1         0         0         0
   22300   223003         1         1         1         1         1         1         0         0         0
   22310   223102         1         1         1         1         1         1         0         0         0
   22320   222103         1         1         1         1         1         1         0         0         0
   22330   224402         1         1         1         1         1         1         0         0         0
   22340   224401         1         1         1         1         1         1         0         0         0
   22350   223502         1         1         1         1         1         1         0         0         0
   22360   223601         1         1         1         1         1         1         0         0         0
   22370   223701         1         1         1         1         1         1         0         0         0
   22380   223804         1         1         1         1         1         1         0         0         0
   22390   223904         1         1         1         1         1         1         0         0         0
   22400   223008         1         1         1         1         1         1         0         0         0
   22410   224102         1         1         1         1         1         1         0         0         0
   22420   224404         1         1         1         1         1         1         0         0         0
   22430   224408         1         1         1         1         1         1         0         0         0
   22440   224406         1         1         1         1         1         1         0         0         0
   22450   224501         1         1         1         1         1         1         0         0         0
   22460   224601         1         1         1         1         1         1         0         0         0
   22470   224801         1         1         1         1         1         1         0         0         0
   22480   224802         1         1         1         1         1         1         0         0         0
   22490   224901         1         1         1         1         1         1         0         0         0
   22500   225001         1         1         1         1         1         1         0         0         0
   22510   225201         1         1         1         1         1         1         0         0         0
   22520   225204         1         1         1         1         1         1         0         0         0
   22530   223903         1         1         1         1         1         1         0         0         0
   22540   225401         1         1         1         1         1         1         0         0         0
   22550   225502         1         1         1         1         1         1         0         0         0
   22560   227301         1         1         1         1         1         1         0         0         0
   22570   225701         1         1         1         1         1         1         0         0         0
   22580   225902         1         1         1         1         1         1         0         0         0
   22590   225903         1         1         1         1         1         1         0         0         0
   22600   225903         1         1         1         1         1         1         0         0         0
   22610   226101         1         1         1         1         1         1         0         0         0
   22620   226204         1         1         1         1         1         1         0         0         0
   22630   226301         1         1         1         1         1         1         0         0         0
   22640   226303         1         1         1         1         1         1         0         0         0
   22650   225001         1         1         1         1         1         1         0         0         0
   22660   227805         1         1         1         1         1         1         0         0         0
   22670   225206         1         1         1         1         1         1         0         0         0
   22680   226802         1         1         1         1         1         1         0         0         0
   22690   228001         1         1         1         1         1         1         0         0         0
   22700   227002         1         1         1         1         1         1         0         0         0
   22710   227101         1         1         1         1         1         1         0         0         0
   22720   228201         1         1         1         1         1         1         0         0         0
   22730   227303         1         1         1         1         1         1         0         0         0
   22740   228204         1         1         1         1         1         1         0         0         0
   22750   226001         1         1         1         1         1         1         0         0         0
   22760   227601         1         1         1         1         1         1         0         0         0
   22770   227705         1         1         1         1         1         1         0         0         0
   22780   227806         1         1         1         1         1         1         0         0         0
   22790   227901         1         1         1         1         1         1         0         0         0
   22800   228003         1         1         1         1         1         1         0         0         0
