    line   @hdwyam   @hdwymd   @hdwypm
'337W1 '         0         0        15
'340E1 '         0         0        15
'340W1 '         0         0        15
'341N1 '         0         0        30
'341N2 '         0         0        60
'341S1 '         0         0        20
'345N1 '         0         0        30
'345S1 '         0         0        30
'351N1 '         0         0        15
'351S1 '         0         0        12
'352S1 '         0         0        15
'354S1 '         0         0        15
'364E1 '         0         0        30
'364W1 '         0         0        60
'375N1 '         0         0        60
'375N2 '         0         0        60
'375S1 '         0         0        30
'388E1 '         0         0        30
'388W1 '         0         0        30
'391S1 '         0         0        30
'393S1 '         0         0        30
'394N1 '         0         0        60
'394S1 '         0         0        30
'395E1 '         0         0        30
'401E1 '         0         0      8.57
'401W1 '         0         0        12
'401W2 '         0         0        30
'402N1 '         0         0        10
'402S1 '         0         0        10
'403N1 '         0         0        15
'403S1 '         0         0        10
'404E1 '         0         0        20
'404W1 '         0         0        20
'405N1 '         0         0        30
'405S1 '         0         0        30
'407N1 '         0         0        30
'407N2 '         0         0        30
'407S1 '         0         0        20
'407S2 '         0         0        60
'410E1 '         0         0      8.57
'410W1 '         0         0        15
'410W2 '         0         0        20
'430E1 '         0         0        20
'430W1 '         0         0        30
'480E1 '         0         0      8.57
'480W1 '         0         0        15
'501N1 '         0         0        60
'501N2 '         0         0        30
'501N3 '         0         0        30
'501S1 '         0         0        30
'502E1 '         0         0        30
'502E2 '         0         0        30
'502E3 '         0         0        15
'502W1 '         0         0        30
'502W2 '         0         0        12
'509E1 '         0         0        20
'590S1 '         0         0        20
'595N1 '         0         0        30
'595S1 '         0         0        30
'601N1 '         0         0        15
'601S1 '         0         0        60
'601S2 '         0         0        60
'601S3 '         0         0        60
'602S1 '         0         0        30
'603N1 '         0         0        30
'603S1 '         0         0        30
'604N1 '         0         0        60
'604S1 '         0         0        30
'606E1 '         0         0        60
'606W1 '         0         0        30
'609E1 '         0         0        60
'609W1 '         0         0        60
'620N1 '         0         0        30
'620S1 '         0         0        60
'640N1 '         0         0        30
'640S1 '         0         0        30
'701E1 '         0         0        12
'701W1 '         0         0        15
'791E1 '         0         0        20
'791W1 '         0         0        12
'9900i '         0         0        15
'9900o '         0         0        15
'9903o '         0         0        30
'9910i '         0         0       6.7
'9910o '         0         0       6.7
'9911i '         0         0       6.7
'9911o '         0         0       6.7
'996ei '         0         0         3
'996eo '         0         0         3
'996mi '         0         0       5.5
'996mo '         0         0       5.5
'C12N1 '         0         0        30
'C12S1 '         0         0        30
'C12S2 '         0         0        30
'C15E1 '         0         0        15
'C15W1 '         0         0        15
'C1E1  '         0         0        30
'C1W1  '         0         0        30
'C20E1 '         0         0        20
'C20W1 '         0         0        20
'C21E1 '         0         0         5
'C21W1 '         0         0        10
'C22N1 '         0         0        30
'C22S1 '         0         0        30
'C23E1 '         0         0        10
'C23W1 '         0         0         5
'C24N1 '         0         0        15
'C24S1 '         0         0        15
'C25N1 '         0         0        30
'C25S1 '         0         0        30
'C26N1 '         0         0        60
'C26N2 '         0         0        60
'C26S1 '         0         0        60
'C26S2 '         0         0        60
'C27E1 '         0         0        15
'C27W1 '         0         0        15
'C28E1 '         0         0        15
'C28W1 '         0         0        15
'C29N1 '         0         0        15
'C29S1 '         0         0        15
'C2N1  '         0         0        30
'C2S1  '         0         0        30
'C30N1 '         0         0        30
'C30S1 '         0         0        30
'C36N1 '         0         0        15
'C36S1 '         0         0        15
'C37E1 '         0         0        60
'C37E2 '         0         0        30
'C37E3 '         0         0        60
'C37W1 '         0         0        30
'C37W2 '         0         0        30
'C38E1 '         0         0        15
'C38E2 '         0         0        15
'C38W1 '         0         0        20
'C38W2 '         0         0        15
'C3E1  '         0         0        15
'C3W1  '         0         0        15
'C40E1 '         0         0        15
'C40W1 '         0         0        15
'C41E1 '         0         0        30
'C41W1 '         0         0        30
'C43E1 '         0         0        30
'C43W1 '         0         0        30
'C44E1 '         0         0        30
'C44W1 '         0         0        30
'C45E1 '         0         0        60
'C45W1 '         0         0        60
'C46E1 '         0         0        30
'C46W1 '         0         0        30
'C47N1 '         0         0        60
'C47N2 '         0         0        30
'C47S1 '         0         0        30
'C48W1 '         0         0        60
'C49E1 '         0         0        60
'C4E1  '         0         0        30
'C4W1  '         0         0        30
'C50E1 '         0         0        30
'C50W1 '         0         0        30
'C51E1 '         0         0        30
'C51W1 '         0         0        30
'C52N1 '         0         0        30
'C52S1 '         0         0        30
'C53E1 '         0         0        30
'C53W1 '         0         0        30
'C5E1  '         0         0        15
'C5W1  '         0         0        30
'C60E1 '         0         0        60
'C60W1 '         0         0        60
'C61E1 '         0         0        60
'C61W1 '         0         0        60
'C62N1 '         0         0        30
'C62S1 '         0         0        30
'C63N1 '         0         0        60
'C63S1 '         0         0        60
'C64E1 '         0         0        60
'C64W1 '         0         0        60
'C6N1  '         0         0        30
'C6S1  '         0         0        30
'C70E1 '         0         0        30
'C70W1 '         0         0        30
'C71E1 '         0         0        30
'C71W1 '         0         0        30
'C73E1 '         0         0        30
'C73W1 '         0         0        30
'C75E1 '         0         0        30
'C75W1 '         0         0        30
'C76E1 '         0         0        60
'C76E2 '         0         0        60
'C76W1 '         0         0        30
'C76W2 '         0         0        60
