    line   @hdwyam   @hdwymd   @hdwypm
'002E1A'         7         0         0
'002E1M'         0        15         0
'002E1P'         0         0        15
'002W1A'        15         0         0
'002W1M'         0        15         0
'002W1P'         0         0         8
'003N1A'         6         0         0
'003N1M'         0         8         0
'003N1P'         0         0         8
'003S1A'         8         0         0
'003S1M'         0         8         0
'003S1P'         0         0         7
'004E1A'        12         0         0
'004E1M'         0        15         0
'004E1P'         0         0        12
'004W1A'        15         0         0
'004W1M'         0        15         0
'004W1P'         0         0        12
'005E1A'         8         0         0
'005E1M'         0         7         0
'005E1P'         0         0         6
'005W1A'         6         0         0
'005W1M'         0         7         0
'005W1P'         0         0         6
'006E1A'         8         0         0
'006E1M'         0         7         0
'006E1P'         0         0         6
'006W1A'         6         0         0
'006W1M'         0         7         0
'006W1P'         0         0         6
'007E1A'        15         0         0
'007E1M'         0        15         0
'007E1P'         0         0        15
'007W1A'        15         0         0
'007W1M'         0        15         0
'007W1P'         0         0        12
'008E1A'         5         0         0
'008E1M'         0         8         0
'008E1P'         0         0         6
'008W1A'         7         0         0
'008W1M'         0         8         0
'008W1P'         0         0         6
'009E2A'         5         0         0
'009E2M'         0         6         0
'009E2P'         0         0         5
'009W1A'         5         0         0
'009W1M'         0         6         0
'009W1P'         0         0         5
'010N1A'         4         0         0
'010N1P'         0         0         5
'010N3M'         0         8         0
'010S1A'         5         0         0
'010S1M'         0         8         0
'010S1P'         0         0         5
'014E1A'         9         0         0
'014E1M'         0        10         0
'014E1P'         0         0         9
'014W1A'         8         0         0
'014W1M'         0        10         0
'014W1P'         0         0        10
'015N1A'        15         0         0
'015N1M'         0        15         0
'015N1P'         0         0        15
'015S1A'        15         0         0
'015S1M'         0        15         0
'015S1P'         0         0        15
'016E1A'         9         0         0
'016E1M'         0        12         0
'016E1P'         0         0        10
'016W1A'        10         0         0
'016W1M'         0        12         0
'016W1P'         0         0         9
'017E1A'         8         0         0
'017E1M'         0        10         0
'017E1P'         0         0         8
'017W1A'         8         0         0
'017W1M'         0        10         0
'017W1P'         0         0         8
'019E1A'         8         0         0
'019E1M'         0        12         0
'019E1P'         0         0         9
'019W1A'         9         0         0
'019W1M'         0        12         0
'019W1P'         0         0        12
'020N1A'         6         0         0
'020N1M'         0         7         0
'020N1P'         0         0         7
'020S1A'         5         0         0
'020S1M'         0         7         0
'020S1P'         0         0         7
'022E2A'         5         0         0
'022E2M'         0        10         0
'022E2P'         0         0         6
'022W1A'         6         0         0
'022W1M'         0        10         0
'022W1P'         0         0         6
'025E1A'         7         0         0
'025E1M'         0         9         0
'025E1P'         0         0         6
'025W1A'         4         0         0
'025W1M'         0         9         0
'025W1P'         0         0         8
'026E1A'        15         0         0
'026E1M'         0        15         0
'026E1P'         0         0        15
'026W1A'        15         0         0
'026W1M'         0        15         0
'026W1P'         0         0        15
'027N1A'        15         0         0
'027N1M'         0        15         0
'027N1P'         0         0        15
'027S1A'        15         0         0
'027S1M'         0        15         0
'027S1P'         0         0        15
'028N1A'         9         0         0
'028N1M'         0        15         0
'028N1P'         0         0        12
'028S1A'        15         0         0
'028S1M'         0        15         0
'028S1P'         0         0        12
'029N1A'        15         0         0
'029N1M'         0        15         0
'029N1P'         0         0        15
'029S1A'        15         0         0
'029S1M'         0        15         0
'029S1P'         0         0        15
'032N1A'        20         0         0
'032S1P'         0         0        20
'033E1A'        15         0         0
'033E1M'         0        15         0
'033E1P'         0         0        10
'033W1A'         9         0         0
'033W1M'         0        15         0
'033W1P'         0         0        12
'041E1A'         6         0         0
'041E1M'         0         5         0
'041E1P'         0         0         4
'041W1A'         5         0         0
'041W1M'         0         5         0
'041W1P'         0         0         4
'043E1A'        12         0         0
'043E1P'         0         0         9
'043W1A'         8         0         0
'043W1P'         0         0        15
'044E1A'        10         0         0
'044E1M'         0        20         0
'044E1P'         0         0         9
'044W1A'         9         0         0
'044W1M'         0        15         0
'044W1P'         0         0        15
'049E1A'         4         0         0
'049E1M'         0         6         0
'049E1P'         0         0         4
'049W1A'         4         0         0
'049W1M'         0         6         0
'049W1P'         0         0         4
'050N1A'        15         0         0
'050N1M'         0        15         0
'050N1P'         0         0        15
'050S1A'        15         0         0
'050S1M'         0        15         0
'050S1P'         0         0        15
'084E1A'         8         0         0
'084E1M'         0        10         0
'084E1P'         0         0         5
'084W1A'         6         0         0
'084W1M'         0         8         0
'084W1P'         0         0         7
'096N1A'         6         0         0
'096N1M'         0         8         0
'096N1P'         0         0         6
'096S1A'         6         0         0
'096S1M'         0         8         0
'096S1P'         0         0         6
'099E1A'         3         0         0
'099E1M'         0         4         0
'099E1P'         0         0         3
'099W1A'         3         0         0
'099W1M'         0         4         0
'099W1P'         0         0         3
'100E1A'        10         0         0
'100E1M'         0        12         0
'100E1P'         0         0         9
'100W1A'         8         0         0
'100W1M'         0        12         0
'100W1P'         0         0        10
'101E1A'        15         0         0
'101E1M'         0        30         0
'101E1P'         0         0        20
'101W1A'        15         0         0
'101W1M'         0        30         0
'101W1P'         0         0        15
'104M1A'        12         0         0
'104M1M'         0        30         0
'104M1P'         0         0        10
'106E1A'        10         0         0
'106E1M'         0         9         0
'106E1P'         0         0         6
'106W1A'         7         0         0
'106W1M'         0         8         0
'106W1P'         0         0         9
'110E1A'        20         0         0
'110E1M'         0        30         0
'110E1P'         0         0        20
'110W1A'        20         0         0
'110W1M'         0        30         0
'110W1P'         0         0        15
'112E1A'        15         0         0
'112E1M'         0        15         0
'112E1P'         0         0        15
'112W1A'        15         0         0
'112W1M'         0        15         0
'112W1P'         0         0        15
'116E1A'        20         0         0
'116E1M'         0        30         0
'116E1P'         0         0        15
'116W1A'        12         0         0
'116W1M'         0        30         0
'116W1P'         0         0        20
'123E1A'        12         0         0
'123E1M'         0        15         0
'123E1P'         0         0        10
'123W1A'        12         0         0
'123W1M'         0        15         0
'123W1P'         0         0        12
'125N1A'         9         0         0
'125S1P'         0         0        10
'128E1A'        20         0         0
'128E1M'         0        30         0
'128E1P'         0         0        20
'128W1A'        20         0         0
'128W1M'         0        30         0
'128W1P'         0         0        20
'129E1A'        12         0         0
'129E1M'         0        30         0
'129E1P'         0         0        12
'129W1A'        12         0         0
'129W1M'         0        30         0
'129W1P'         0         0        12
'130N1A'         6         0         0
'130N1M'         0         8         0
'130N1P'         0         0         7
'130S1A'         7         0         0
'130S1M'         0         7         0
'130S1P'         0         0         6
'134E1A'        20         0         0
'134E1M'         0        30         0
'134E1P'         0         0        30
'134W1A'        30         0         0
'134W1M'         0        30         0
