    line   @hdwyam   @hdwymd   @hdwypm
'002E1 '         0        15         0
'002W1 '         0        15         0
'003N1 '         0        15         0
'003N2 '         0        15         0
'003S1 '         0        15         0
'003S2 '         0        15         0
'004E1 '         0        15         0
'004W1 '         0        15         0
'005E1 '         0      6.66         0
'005W1 '         0       7.5         0
'006E1 '         0       7.5         0
'006W1 '         0       7.5         0
'007E1 '         0        15         0
'007W1 '         0        15         0
'008E1 '         0      8.57         0
'008W1 '         0       7.5         0
'009E1 '         0        12         0
'009E2 '         0        15         0
'009E3 '         0        60         0
'009W1 '         0        12         0
'009W2 '         0        12         0
'010N1 '         0        10         0
'010S1 '         0        10         0
'014E1 '         0        10         0
'014W1 '         0        12         0
'015N1 '         0        15         0
'015S1 '         0        15         0
'016E1 '         0        12         0
'016W1 '         0        12         0
'017E1 '         0        12         0
'017W1 '         0        12         0
'019E1 '         0        12         0
'019W1 '         0        12         0
'020N1 '         0       7.5         0
'020S1 '         0       7.5         0
'020S2 '         0        60         0
'022E1 '         0        12         0
'022W1 '         0        12         0
'025E1 '         0        10         0
'025W1 '         0        10         0
'026E1 '         0        15         0
'026W1 '         0        15         0
'027N1 '         0        15         0
'027S1 '         0        15         0
'028N1 '         0        15         0
'028S1 '         0        15         0
'029N1 '         0        15         0
'029S1 '         0        15         0
'033E1 '         0        15         0
'033W1 '         0        15         0
'041E1 '         0       7.5         0
'041W1 '         0       7.5         0
'044E1 '         0        20         0
'044W1 '         0        20         0
'049E1 '         0        20         0
'049E2 '         0        20         0
'049W1 '         0        20         0
'049W2 '         0        20         0
'050N1 '         0        15         0
'050S1 '         0        15         0
'084E1 '         0        12         0
'084W1 '         0        12         0
'097E1 '         0        10         0
'097W1 '         0        10         0
'099E1 '         0      4.61         0
'099W1 '         0      4.61         0
'100E1 '         0        15         0
'100E2 '         0        60         0
'100W1 '         0        15         0
'100W2 '         0        60         0
'101E1 '         0        30         0
'101W1 '         0        30         0
'104N1 '         0        30         0
'104S1 '         0        30         0
'106E1 '         0        10         0
'106W1 '         0        10         0
'110E1 '         0        30         0
'110W1 '         0        30         0
'112E1 '         0        15         0
'112W1 '         0        15         0
'116E1 '         0        30         0
'116W1 '         0        30         0
'123E1 '         0        15         0
'123W1 '         0        15         0
'129E1 '         0        30         0
'129W1 '         0        30         0
'130N1 '         0        30         0
'130N2 '         0        30         0
'130N3 '         0        15         0
'130S1 '         0        30         0
'130S2 '         0        30         0
'130S3 '         0        15         0
'134E1 '         0        30         0
'134W1 '         0        30         0
'135E1 '         0       7.5         0
'135W1 '         0       7.5         0
'136E1 '         0        30         0
'136W1 '         0        30         0
'143E1 '         0        20         0
'143W1 '         0        20         0
'144N1 '         0        15         0
'144S1 '         0        15         0
'145N1 '         0       7.5         0
'145S1 '         0       7.5         0
'151E1 '         0        30         0
'151W1 '         0        30         0
'152E1 '         0        30         0
'152W1 '         0        30         0
'153E1 '         0        30         0
'153W1 '         0        30         0
'154E1 '         0        30         0
'154W1 '         0        30         0
'155E1 '         0        30         0
'155W1 '         0        30         0
'156E1 '         0        30         0
'156W1 '         0        30         0
'157E1 '         0        30         0
'157W1 '         0        30         0
'159E1 '         0        30         0
'159W1 '         0        30         0
'160E1 '         0        30         0
'160W1 '         0        30         0
'169E1 '         0        15         0
'169W1 '         0        15         0
'177E1 '         0        30         0
'177W1 '         0        30         0
'197E1 '         0        30         0
'197W1 '         0        30         0
'210N1 '         0        30         0
'210S1 '         0        30         0
'211E1 '         0        30         0
'211W1 '         0        30         0
'212E1 '         0        30         0
'212W1 '         0        30         0
'214E1 '         0        30         0
'214W1 '         0        30         0
'228N1 '         0        30         0
'228S1 '         0        30         0
'229E1 '         0        30         0
'229E2 '         0        30         0
'229W1 '         0        30         0
'229W2 '         0        30         0
'230N1 '         0        30         0
'230S1 '         0        30         0
'232E1 '         0        30         0
'232W1 '         0        30         0
'236N1 '         0        15         0
'236S1 '         0        15         0
'239E1 '         0        20         0
'239E2 '         0        15         0
'239W1 '         0        10         0
'240E1 '         0        15         0
'240W1 '         0        15         0
'246E1 '         0        30         0
'246E2 '         0        30         0
'246W1 '         0        30         0
'246W2 '         0        30         0
'250E1 '         0        30         0
'250E2 '         0        30         0
'250W1 '         0        30         0
'250W2 '         0        30         0
'251E1 '         0        60         0
'251W1 '         0        60         0
'252E1 '         0        60         0
'252W1 '         0        60         0
'253E1 '         0        60         0
'253W1 '         0        60         0
'254N1 '         0        60         0
'254S1 '         0        60         0
'255E1 '         0        30         0
'255W1 '         0        30         0
'256N1 '         0        60         0
'256S1 '         0        60         0
'256S2 '         0        60         0
'257E1 '         0        30         0
'257W1 '         0        30         0
'301E1 '         0        30         0
'301W1 '         0        30         0
'312N1 '         0        30         0
'312S1 '         0        30         0
'314E1 '         0        60         0
'314W1 '         0        60         0
'316N1 '         0        30         0
'316S1 '         0        30         0
'319N1 '         0       7.5         0
'319S1 '         0      6.66         0
'320E1 '         0        30         0
'320E2 '         0        15         0
'320W1 '         0        30         0
'320W2 '         0        15         0
'321N1 '         0        15         0
'321N2 '         0        15         0
'321S1 '         0        15         0
'321S2 '         0        12         0
'323N1 '         0        30         0
'323S1 '         0        30         0
'324N1 '         0        30         0
'324S1 '         0        30         0
'325N1 '         0        30         0
'325S1 '         0        30         0
'326E1 '         0        60         0
'326W1 '         0        60         0
'329N1 '         0        60         0
'329S1 '         0        60         0
'332E1 '         0        60         0
'332W1 '         0        60         0
'335E1 '         0        60         0
'335W1 '         0        30         0
'337E1 '         0        30         0
'337E2 '         0        30         0
'337W1 '         0        30         0
'337W2 '         0        30         0
'340E1 '         0        20         0
'340W1 '         0        20         0
'341N1 '         0        30         0
'341S1 '         0        30         0
'345N1 '         0        30         0
'345S1 '         0        30         0
'351N1 '         0        30         0
'351N2 '         0        30         0
'351S1 '         0        30         0
'351S2 '         0        30         0
'364E1 '         0        30         0
'364W1 '         0        30         0
'375N1 '         0        30         0
'375S1 '         0        30         0
'401E1 '         0        15         0
'401W1 '         0        15         0
'402N1 '         0        30         0
'402S1 '         0        30         0
'403N1 '         0        15         0
'403S1 '         0        15         0
'404E1 '         0        30         0
'404W1 '         0        30         0
'405N1 '         0        60         0
'405N2 '         0        60         0
'405S1 '         0        30         0
'407N1 '         0        60         0
'407N2 '         0        60         0
'407S1 '         0        60         0
'407S2 '         0        60         0
'410E1 '         0        12         0
'410W1 '         0        15         0
'410W2 '         0        60         0
'430E1 '         0        30         0
'430W1 '         0        30         0
'480E1 '         0        15         0
'480W1 '         0        15         0
'501N1 '         0        30         0
'501S1 '         0        30         0
'502E1 '         0        30         0
'502E2 '         0        30         0
'502W1 '         0        30         0
'502W2 '         0        30         0
'595N1 '         0        30         0
'595S1 '         0        30         0
'601N1 '         0        30         0
'601S1 '         0        30         0
'609E1 '         0        60         0
'609W1 '         0        60         0
'620N1 '         0        60         0
'620S1 '         0        60         0
'640N1 '         0        30         0
'640S1 '         0        30         0
'701E1 '         0        30         0
'701E2 '         0        30         0
'701W1 '         0        30         0
'701W2 '         0        30         0
'791E1 '         0        30         0
'791W1 '         0        30         0
'9900i '         0        15         0
'9900o '         0        15         0
'9910i '         0       6.7         0
'9910o '         0       6.7         0
'9911i '         0       6.7         0
'9911o '         0       6.7         0
'996ei '         0         6         0
'996eo '         0         6         0
'996mi '         0         6         0
'996mo '         0         6         0
'C12N1 '         0        30         0
'C12S1 '         0        30         0
'C15E1 '         0        30         0
'C15W1 '         0        30         0
'C1E1  '         0        30         0
'C1W1  '         0        30         0
'C20E1 '         0        20         0
'C20W1 '         0        20         0
'C21E1 '         0        10         0
'C21W1 '         0        10         0
'C22N1 '         0        30         0
'C22S1 '         0        30         0
'C23E1 '         0        10         0
'C23W1 '         0        10         0
'C24N1 '         0        30         0
'C24S1 '         0        30         0
'C25N1 '         0        30         0
'C25S1 '         0        30         0
'C26N2 '         0        60         0
'C26S2 '         0        60         0
'C27E1 '         0        30         0
'C27W1 '         0        30         0
'C28E1 '         0        30         0
'C28W1 '         0        30         0
'C29N1 '         0        30         0
'C29S1 '         0        30         0
'C2N1  '         0        30         0
'C2S1  '         0        30         0
'C30N1 '         0        30         0
'C30S1 '         0        30         0
'C36N1 '         0        30         0
'C36S1 '         0        30         0
'C37E1 '         0        30         0
'C37E2 '         0        30         0
'C37W1 '         0        30         0
'C37W2 '         0        30         0
'C38E1 '         0        30         0
'C38E2 '         0        30         0
'C38W1 '         0        30         0
'C38W2 '         0        30         0
'C3E1  '         0        30         0
'C3W1  '         0        30         0
'C40E1 '         0        30         0
'C40W1 '         0        30         0
'C41E1 '         0        30         0
'C43E1 '         0        30         0
'C43W1 '         0        30         0
'C44E1 '         0        30         0
'C44W1 '         0        30         0
'C46E1 '         0        60         0
'C46W1 '         0        60         0
'C47N1 '         0        60         0
'C47N2 '         0        60         0
'C47S1 '         0        60         0
'C47S2 '         0        60         0
'C48E1 '         0        60         0
'C48W1 '         0        60         0
'C4E1  '         0        30         0
'C4W1  '         0        30         0
'C50E1 '         0        30         0
'C50W1 '         0        30         0
'C51E1 '         0        30         0
'C51W1 '         0        30         0
'C52N1 '         0        30         0
'C52S1 '         0        30         0
'C53E1 '         0        30         0
'C53W1 '         0        30         0
'C5E1  '         0        30         0
'C5W1  '         0        30         0
'C60E1 '         0        60         0
'C60W1 '         0        60         0
'C61E1 '         0        60         0
'C61W1 '         0        60         0
'C62N1 '         0        30         0
'C62S1 '         0        30         0
