c Emme Modeller - Turn Transaction
c Date: 2016-05-31 15:30:30
c Project:        Combined Itineraries                                        
c Scenario 2100:  2015 MD Base Network
t turns
c     At   From     To   TPF  Data1  Data2  Data3
a 130601 130108 130108     0      0      0      0
a 130601 130108 130603    -1      0      0      0
a 130601 130108 130701     0      0      0      0
a 130601 130501 130108    -1      0      0      0
a 130601 130501 130603    -1      0      0      0
a 130601 130501 130701    -1      0      0      0
a 130601 130603 130108    -1      0      0      0
a 130601 130603 130603     0      0      0      0
a 130601 130603 130701    -1      0      0      0
a 131101 130308 130308     0      0      0      0
a 131101 130308 131003    -1      0      0      0
a 131101 130308 131102    -1      0      0      0
a 131101 130308 131103    -1      0      0      0
a 131101 131003 130308    -1      0      0      0
a 131101 131003 131003     0      0      0      0
a 131101 131003 131102    -1      0      0      0
a 131101 131003 131103    -1      0      0      0
a 131101 131102 130308    -1      0      0      0
a 131101 131102 131003     0      0      0      0
a 131101 131102 131102     0      0      0      0
a 131101 131102 131103    -1      0      0      0
a 131101 131202 130308    -1      0      0      0
a 131101 131202 131003    -1      0      0      0
a 131101 131202 131102    -1      0      0      0
a 131101 131202 131103    -1      0      0      0
a 131501 130202 130806    -1      0      0      0
a 131501 130202 131502    -1      0      0      0
a 131501 130202 131504    -1      0      0      0
a 131501 130202 131505    -1      0      0      0
a 131501 131504 130806    -1      0      0      0
a 131501 131504 131502    -1      0      0      0
a 131501 131504 131504     0      0      0      0
a 131501 131504 131505    -1      0      0      0
a 131501 131505 130806    -1      0      0      0
a 131501 131505 131502     0      0      0      0
a 131501 131505 131504    -1      0      0      0
a 131501 131505 131505     0      0      0      0
a 131505 131501 131501     0      0      0      0
a 131505 131501 131506    -1      0      0      0
a 131505 131504 131501     0      0      0      0
a 131505 131504 131506    -1      0      0      0
a 131505 131506 131501    -1      0      0      0
a 131505 131506 131506     0      0      0      0
a 132203 132102 132102     0      0      0      0
a 132203 132102 132202    -1      0      0      0
a 132203 132102 132301    -1      0      0      0
a 132203 132102 132402    -1      0      0      0
a 132203 132202 132102    -1      0      0      0
a 132203 132202 132202     0      0      0      0
a 132203 132202 132301    -1      0      0      0
a 132203 132202 132402     0      0      0      0
a 132203 132301 132102     0      0      0      0
a 132203 132301 132202    -1      0      0      0
a 132203 132301 132301     0      0      0      0
a 132203 132301 132402    -1      0      0      0
a 132203 132402 132102    -1      0      0      0
a 132203 132402 132202    -1      0      0      0
a 132203 132402 132301    -1      0      0      0
a 132203 132402 132402     0      0      0      0
a 132702 132502 132502     0      0      0      0
a 132702 132502 132701     0      0      0      0
a 132702 132502 133101    -1      0      0      0
a 132702 132701 132502    -1      0      0      0
a 132702 132701 132701     0      0      0      0
a 132702 132701 133101    -1      0      0      0
a 132702 133101 132502    -1      0      0      0
a 132702 133101 132701     0      0      0      0
a 132702 133101 133101     0      0      0      0
a 220801 220303 220303     0      0      0      0
a 220801 220303 220304     0      0      0      0
a 220801 220303 220802    -1      0      0      0
a 220801 220303 220804    -1      0      0      0
a 220801 220304 220303    -1      0      0      0
a 220801 220304 220304     0      0      0      0
a 220801 220304 220802    -1      0      0      0
a 220801 220304 220804    -1      0      0      0
a 220801 220802 220303    -1      0      0      0
a 220801 220802 220304    -1      0      0      0
a 220801 220802 220802     0      0      0      0
a 220801 220802 220804    -1      0      0      0
a 220801 220804 220303    -1      0      0      0
a 220801 220804 220304    -1      0      0      0
a 220801 220804 220802    -1      0      0      0
a 220801 220804 220804     0      0      0      0
a 220803 220201 220201     0      0      0      0
a 220803 220201 220802    -1      0      0      0
a 220803 220201 221401    -1      0      0      0
a 220803 220201 221501    -1      0      0      0
a 220803 220802 220201    -1      0      0      0
a 220803 220802 220802     0      0      0      0
a 220803 220802 221401    -1      0      0      0
a 220803 220802 221501     0      0      0      0
a 220803 221401 220201    -1      0      0      0
a 220803 221401 220802    -1      0      0      0
a 220803 221401 221401     0      0      0      0
a 220803 221401 221501    -1      0      0      0
a 220803 221501 220201    -1      0      0      0
a 220803 221501 220802    -1      0      0      0
a 220803 221501 221401    -1      0      0      0
a 220803 221501 221501     0      0      0      0
a 221603 220601 220601     0      0      0      0
a 221603 220601 220603    -1      0      0      0
a 221603 220601 221602    -1      0      0      0
a 221603 220601 222702    -1      0      0      0
a 221603 221001 220601    -1      0      0      0
a 221603 221001 220603    -1      0      0      0
a 221603 221001 221602    -1      0      0      0
a 221603 221001 222702    -1      0      0      0
a 221603 221003 220601    -1      0      0      0
a 221603 221003 220603    -1      0      0      0
a 221603 221003 221602    -1      0      0      0
a 221603 221003 222702    -1      0      0      0
a 221603 221602 220601    -1      0      0      0
a 221603 221602 220603    -1      0      0      0
a 221603 221602 221602     0      0      0      0
a 221603 221602 222702     0      0      0      0
a 221603 222702 220601    -1      0      0      0
a 221603 222702 220603    -1      0      0      0
a 221603 222702 221602    -1      0      0      0
a 221603 222702 222702     0      0      0      0
a 222003 222001 221904    -1      0      0      0
a 222003 222001 222001     0      0      0      0
a 222003 222001 222004    -1      0      0      0
a 222003 222001 223001    -1      0      0      0
a 222003 222001 223102    -1      0      0      0
a 222003 222004 221904    -1      0      0      0
a 222003 222004 222001    -1      0      0      0
a 222003 222004 222004     0      0      0      0
a 222003 222004 223001    -1      0      0      0
a 222003 222004 223102     0      0      0      0
a 222003 223001 221904    -1      0      0      0
a 222003 223001 222001     0      0      0      0
a 222003 223001 222004    -1      0      0      0
a 222003 223001 223001     0      0      0      0
a 222003 223001 223102    -1      0      0      0
a 222003 223101 221904    -1      0      0      0
a 222003 223101 222001    -1      0      0      0
a 222003 223101 222004    -1      0      0      0
a 222003 223101 223001    -1      0      0      0
a 222003 223101 223102    -1      0      0      0
a 222003 223102 221904    -1      0      0      0
a 222003 223102 222001    -1      0      0      0
a 222003 223102 222004    -1      0      0      0
a 222003 223102 223001    -1      0      0      0
a 222003 223102 223102     0      0      0      0
a 222105 222103 222103     0      0      0      0
a 222105 222103 222104    -1      0      0      0
a 222105 222103 223203    -1      0      0      0
a 222105 222103 223301    -1      0      0      0
a 222105 222104 222103     0      0      0      0
a 222105 222104 222104     0      0      0      0
a 222105 222104 223203    -1      0      0      0
a 222105 222104 223301    -1      0      0      0
a 222105 223203 222103    -1      0      0      0
a 222105 223203 222104    -1      0      0      0
a 222105 223203 223203     0      0      0      0
a 222105 223203 223301    -1      0      0      0
a 222105 223301 222103    -1      0      0      0
a 222105 223301 222104    -1      0      0      0
a 222105 223301 223203    -1      0      0      0
a 222105 223301 223301     0      0      0      0
a 222703 221604 221604     0      0      0      0
a 222703 221604 222701     0      0      0      0
a 222703 221604 223801    -1      0      0      0
a 222703 222701 221604    -1      0      0      0
a 222703 222701 222701     0      0      0      0
a 222703 222701 223801    -1      0      0      0
a 222703 223801 221604    -1      0      0      0
a 222703 223801 222701    -1      0      0      0
a 222703 223801 223801     0      0      0      0
a 222704 221704 221703    -1      0      0      0
a 222704 221704 222702    -1      0      0      0
a 222704 221704 222705    -1      0      0      0
a 222704 221704 223004    -1      0      0      0
a 222704 222702 221703    -1      0      0      0
a 222704 222702 222702     0      0      0      0
a 222704 222702 222705    -1      0      0      0
a 222704 222702 223004    -1      0      0      0
a 222704 222901 221703    -1      0      0      0
a 222704 222901 222702    -1      0      0      0
a 222704 222901 222705    -1      0      0      0
a 222704 222901 223004    -1      0      0      0
a 222704 223004 221703    -1      0      0      0
a 222704 223004 222702    -1      0      0      0
a 222704 223004 222705     0      0      0      0
a 222704 223004 223004     0      0      0      0
a 223003  22300  22300     0      0      0      0
a 223003  22300 223001    -1      0      0      0
