    line   @hdwyam   @hdwymd   @hdwypm
'002E1A'        15         0         0
'002E1M'         0        15         0
'002E1P'         0         0        15
'002E2A'      8.57         0         0
'002W1A'        20         0         0
'002W1M'         0        15         0
'002W1P'         0         0       7.5
'003N1A'         6         0         0
'003N1M'         0        15         0
'003N1P'         0         0       7.5
'003N2M'         0        15         0
'003S1A'         6         0         0
'003S1M'         0        15         0
'003S1P'         0         0       7.5
'003S2M'         0        15         0
'004E1A'        12         0         0
'004E1M'         0        15         0
'004E1P'         0         0        15
'004E2P'         0         0        60
'004W1A'        15         0         0
'004W1M'         0        15         0
'004W1P'         0         0        12
'005E1A'         6         0         0
'005E1M'         0      6.66         0
'005E1P'         0         0         6
'005W1A'       7.5         0         0
'005W1M'         0       7.5         0
'005W1P'         0         0      5.45
'005W2A'        15         0         0
'006E1A'      6.66         0         0
'006E1M'         0       7.5         0
'006E1P'         0         0         6
'006W1A'       7.5         0         0
'006W1M'         0       7.5         0
'006W1P'         0         0      5.45
'006W2A'        15         0         0
'007E1 '        12        15        15
'007W1A'        15         0         0
'007W1M'         0        15         0
'007W1P'         0         0        10
'008E1A'         6         0         0
'008E1M'         0      8.57         0
'008E1P'         0         0         6
'008E2A'        30         0         0
'008W1A'      6.66         0         0
'008W1M'         0       7.5         0
'008W1P'         0         0         6
'008W2P'         0         0        30
'009E1A'        20         0         0
'009E1M'         0        12         0
'009E1P'         0         0      8.57
'009E2A'        15         0         0
'009E2M'         0        15         0
'009E2P'         0         0      8.57
'009E3A'        10         0         0
'009E3M'         0        60         0
'009E4A'        30         0         0
'009W1A'      8.57         0         0
'009W1M'         0        12         0
'009W1P'         0         0        10
'009W2A'        10         0         0
'009W2M'         0        12         0
'009W2P'         0         0        15
'009W3A'        30         0         0
'009W3P'         0         0        20
'009W4A'        30         0         0
'010N1A'      4.61         0         0
'010N1M'         0        10         0
'010N1P'         0         0         5
'010N2A'        20         0         0
'010N3A'        20         0         0
'010S1A'      5.45         0         0
'010S1M'         0        10         0
'010S1P'         0         0         5
'014E1A'        10         0         0
'014E1M'         0        10         0
'014E1P'         0         0        10
'014E2A'        60         0         0
'014W1A'        10         0         0
'014W1M'         0        12         0
'014W1P'         0         0        10
'014W2A'        60         0         0
'015N1A'        15         0         0
'015N1M'         0        15         0
'015N1P'         0         0        15
'015S1 '        15        15        15
'016E1A'        10         0         0
'016E1M'         0        12         0
'016E1P'         0         0        10
'016W1A'        10         0         0
'016W1M'         0        12         0
'016W1P'         0         0        10
'017E1A'       7.5         0         0
'017E1M'         0        12         0
'017E1P'         0         0       7.5
'017W1A'       7.5         0         0
'017W1M'         0        12         0
'017W1P'         0         0       7.5
'017W2A'        60         0         0
'019E1A'        10         0         0
'019E1M'         0        12         0
'019E1P'         0         0        10
'019W1A'        10         0         0
'019W1M'         0        12         0
'019W1P'         0         0        12
'020N1A'      5.45         0         0
'020N1M'         0       7.5         0
'020N1P'         0         0       7.5
'020N2A'        60         0         0
'020N2P'         0         0        60
'020S1A'      6.66         0         0
'020S1M'         0       7.5         0
'020S1P'         0         0       7.5
'020S2A'        20         0         0
'020S2M'         0        60         0
'022E1A'        20         0         0
'022E1M'         0        12         0
'022E1P'         0         0        10
'022E2A'        15         0         0
'022E2P'         0         0        12
'022E3A'        30         0         0
'022E4A'        60         0         0
'022E5A'        60         0         0
'022E6A'        12         0         0
'022W1A'        60         0         0
'022W1M'         0        12         0
'022W1P'         0         0        60
'022W2A'        10         0         0
'022W2P'         0         0        10
'022W3A'        20         0         0
'022W3P'         0         0        60
'022W4A'        60         0         0
'022W4P'         0         0        60
'022W5A'        60         0         0
'022W5P'         0         0        60
'025E1A'       7.5         0         0
'025E1M'         0        10         0
'025E1P'         0         0      6.66
'025W1A'      8.57         0         0
'025W1M'         0        10         0
'025W1P'         0         0      6.66
'025W2A'        12         0         0
'025W3A'        60         0         0
'026E1 '        15        15        15
'026W1 '        15        15        15
'027N1A'        15         0         0
'027N1M'         0        15         0
'027N1P'         0         0        15
'027S1A'        15         0         0
'027S1M'         0        15         0
'027S1P'         0         0        15
'028N1A'        15         0         0
'028N1M'         0        15         0
'028N1P'         0         0        15
'028N2A'        30         0         0
'028S1A'        30         0         0
'028S1M'         0        15         0
'028S1P'         0         0        20
'028S2A'        20         0         0
'029N1A'        15         0         0
'029N1M'         0        15         0
'029N1P'         0         0        15
'029S1A'        15         0         0
'029S1M'         0        15         0
'029S1P'         0         0        15
'032N1A'        15         0         0
'032S1P'         0         0        12
'033E1 '        12        15        10
'033W1 '        10        15        12
'041E1 '        10       7.5         6
'041E2A'        20         0         0
'041E3A'        30         0         0
'041W1 '      4.28       7.5         6
'041W2P'         0         0        60
'043E1 '        10         0        10
'043W1A'      6.66         0         0
'043W1P'         0         0        12
'044E1A'        30         0         0
'044E1M'         0        20         0
'044E1P'         0         0        15
'044W1A'       7.5         0         0
'044W1M'         0        20         0
'044W1P'         0         0        15
'049E1A'        60         0         0
'049E1M'         0        20         0
'049E1P'         0         0       7.5
'049E2A'        30         0         0
'049E2M'         0        20         0
'049E2P'         0         0        60
'049E3A'        10         0         0
'049E3P'         0         0        20
'049E4A'        60         0         0
'049W1 '      5.45        20       7.5
