    line   @hdwyam   @hdwymd   @hdwypm
'9900iA'        15         0         0
'9900iM'         0        15         0
'9900iP'         0         0        15
'9900oA'        15         0         0
'9900oM'         0        15         0
'9900oP'         0         0        15
'9903iA'        30         0         0
'9903oP'         0         0        30
'9910iA'       6.7         0         0
'9910iM'         0       6.7         0
'9910iP'         0         0       6.7
'9910oA'       6.7         0         0
'9910oM'         0       6.7         0
'9910oP'         0         0       6.7
'9911iA'       6.7         0         0
'9911iM'         0       6.7         0
'9911iP'         0         0       6.7
'9911oA'       6.7         0         0
'9911oM'         0       6.7         0
'9911oP'         0         0       6.7
'996eiA'         3         0         0
'996eiM'         0         6         0
'996eiP'         0         0         3
'996eoA'         3         0         0
'996eoM'         0         6         0
'996eoP'         0         0         3
'996miA'       5.5         0         0
'996miM'         0         6         0
'996miP'         0         0       5.5
'996moA'       5.5         0         0
'996moM'         0         6         0
'996moP'         0         0       5.5
'996xiA'        15         0         0
