GU,senprop_gt20pcnt,HH size,0 worker,1 worker,2 worker,3+ worker,3+adjust
14,0,3,0.029036738,0.202946691,0.452383207,0.315633364,3.28
14,0,4,0.015412656,0.178600115,0.485819842,0.320167387,3.28
14,1,1,0.595187724,0.404812276,0,0,3.28
14,1,2,0.370684836,0.228341065,0.400974099,0,3.28
14,1,3,0.102085401,0.224380252,0.527741966,0.145792381,3.28
14,1,4,0.021471761,0.182625187,0.463231314,0.332671738,3.28
16,0,1,0.344,0.656,0,0,3.28
16,0,2,0.185,0.25,0.565,0,3.28
16,0,3,0.0648,0.2963,0.4908,0.1481,3.28
16,0,4,0.0342,0.1795,0.5897,0.1966,3.28
16,1,1,0.4789,0.5211,0,0,3.28
16,1,2,0.2581,0.2903,0.4516,0,3.28
16,1,3,0.0648,0.2963,0.4908,0.1481,3.28
16,1,4,0.0342,0.1795,0.5897,0.1966,3.28
21,0,1,0.257475063,0.742524937,0,0,3.27
21,0,2,0.191075889,0.388527335,0.420396776,0,3.27
21,0,3,0.064456148,0.497866042,0.369791641,0.067886169,3.27
21,0,4,0.10137097,0.379078023,0.445286175,0.074264831,3.27
21,1,1,0.257475063,0.742524937,0,0,3.27
21,1,2,0.191075889,0.388527335,0.420396776,0,3.27
21,1,3,0.064456148,0.497866042,0.369791641,0.067886169,3.27
21,1,4,0.10137097,0.379078023,0.445286175,0.074264831,3.27
22,0,1,0.389346345,0.610653655,0,0,3.39
22,0,2,0.136484946,0.225255981,0.638259072,0,3.39
22,0,3,0.042016721,0.37019957,0.462700879,0.12508283,3.39
22,0,4,0.101611417,0.391667246,0.279721557,0.226999781,3.39
22,1,1,0.389346345,0.610653655,0,0,3.39
22,1,2,0.136484946,0.225255981,0.638259072,0,3.39
22,1,3,0.042016721,0.37019957,0.462700879,0.12508283,3.39
22,1,4,0.101611417,0.391667246,0.279721557,0.226999781,3.39
23,0,1,0.367317867,0.632682133,0,0,3.39
23,0,2,0.286480061,0.312467203,0.401052736,0,3.39
23,0,3,0.07624537,0.300751774,0.514147447,0.108855409,3.39
23,0,4,0.065455061,0.279591647,0.463976693,0.190976599,3.39
23,1,1,0.367317867,0.632682133,0,0,3.39
23,1,2,0.286480061,0.312467203,0.401052736,0,3.39
23,1,3,0.07624537,0.300751774,0.514147447,0.108855409,3.39
23,1,4,0.065455061,0.279591647,0.463976693,0.190976599,3.39
24,0,1,0.367317867,0.632682133,0,0,3.39
24,0,2,0.286480061,0.312467203,0.401052736,0,3.39
24,0,3,0.07624537,0.300751774,0.514147447,0.108855409,3.39
