t matrices
 gg8 gg22:1.52874882339214335
 gg8 gg23:0.38218720584803567
 gg8 gg24:0.16379451679201534
 gg8 gg25:0.38218720584803567
 gg8 gg26:0.70977623943206636
 gg8 gg27:1.09196344528010325
 gg9 gg1:0.42576923076923101
 gg9 gg2:0.31130859375000003
 gg9 gg4:0.10919634452801033
 gg9 gg5:0.05459817226400510
 gg9 gg6:0.70977623943206636
 gg9 gg7:0.21839268905602033
 gg9 gg8:0.65517806716806137
 gg9 gg9:1.14656161754410668
 gg9 gg10:0.65517806716806137
 gg9 gg11:0.05459817226400510
 gg9 gg12:0.81897258396007666
 gg9 gg13:1.25575796207211998
 gg9 gg14:0.98276710075209139
 gg9 gg15:0.88014705882352995
 gg9 gg16:0.38218720584803567
 gg9 gg17:0.05459817226400510
 gg9 gg18:0.05459817226400510
 gg9 gg19:0.21839268905602033
 gg9 gg20:0.43678537811204099
 gg9 gg21:0.54598172264005096
 gg9 gg22:0.60057989490405639
 gg9 gg23:0.21839268905602033
 gg9 gg24:0.00000000000000000
 gg9 gg25:0.38218720584803567
 gg9 gg26:0.16379451679201534
 gg9 gg27:0.60057989490405639
 gg10 gg1:0.85153846153846202
 gg10 gg2:0.48111328125000002
 gg10 gg4:0.00000000000000000
 gg10 gg5:0.05459817226400510
 gg10 gg6:0.32758903358403069
 gg10 gg7:0.21839268905602033
 gg10 gg8:0.00000000000000000
 gg10 gg9:0.05459817226400510
 gg10 gg10:0.98276710075209139
 gg10 gg11:0.00000000000000000
 gg10 gg12:1.03736527301609671
 gg10 gg13:0.92816892848808696
 gg10 gg14:1.96553420150418012
 gg10 gg15:3.83492647058824021
 gg10 gg16:0.21839268905602033
 gg10 gg17:0.32758903358403069
 gg10 gg18:0.16379451679201534
 gg10 gg19:0.27299086132002565
 gg10 gg20:0.10919634452801033
 gg10 gg21:0.05459817226400510
 gg10 gg22:0.10919634452801033
 gg10 gg23:0.05459817226400510
 gg10 gg24:0.00000000000000000
 gg10 gg25:0.00000000000000000
 gg10 gg26:0.05459817226400510
 gg10 gg27:0.27299086132002565
 gg11 gg1:0.49673076923076898
 gg11 gg2:0.16980468750000000
 gg11 gg4:0.00000000000000000
 gg11 gg5:0.10919634452801033
 gg11 gg6:0.16379451679201534
 gg11 gg7:0.00000000000000000
 gg11 gg8:0.05459817226400510
 gg11 gg9:0.05459817226400510
 gg11 gg10:0.05459817226400510
 gg11 gg11:1.25575796207211998
 gg11 gg12:0.10919634452801033
 gg11 gg13:0.87357075622408198
 gg11 gg14:0.43678537811204099
 gg11 gg15:0.44007352941176497
 gg11 gg16:0.00000000000000000
 gg11 gg17:0.00000000000000000
 gg11 gg18:0.00000000000000000
 gg11 gg19:0.00000000000000000
 gg11 gg20:0.05459817226400510
 gg11 gg21:0.00000000000000000
 gg11 gg22:0.05459817226400510
 gg11 gg23:0.00000000000000000
 gg11 gg24:0.00000000000000000
 gg11 gg25:0.05459817226400510
 gg11 gg26:0.00000000000000000
 gg11 gg27:0.16379451679201534
 gg12 gg1:0.92249999999999999
 gg12 gg2:0.53771484375000000
 gg12 gg4:0.10919634452801033
 gg12 gg5:0.16379451679201534
 gg12 gg6:4.36785378112040945
 gg12 gg7:0.43678537811204099
 gg12 gg8:0.60057989490405639
 gg12 gg9:0.32758903358403069
 gg12 gg10:1.20115978980811344
 gg12 gg11:0.98276710075209139
 gg12 gg12:9.50008197393689358
 gg12 gg13:16.10646081788149786
 gg12 gg14:8.35352035639278689
 gg12 gg15:17.79154411764709920
 gg12 gg16:3.05749764678428315
 gg12 gg17:0.60057989490405639
 gg12 gg18:0.70977623943206636
 gg12 gg19:0.81897258396007666
 gg12 gg20:0.92816892848808696
 gg12 gg21:0.87357075622408198
 gg12 gg22:0.27299086132002565
 gg12 gg23:0.70977623943206636
 gg12 gg24:0.70977623943206636
 gg12 gg25:0.16379451679201534
 gg12 gg26:1.31035613433612674
 gg12 gg27:0.92816892848808696
 gg13 gg1:20.01115384615379966
 gg13 gg2:23.29154296875000085
 gg13 gg4:0.87357075622408198
 gg13 gg5:2.29312323508821647
 gg13 gg6:12.33918693166519986
 gg13 gg7:3.33048850810431318
 gg13 gg8:4.69544281470444336
 gg13 gg9:0.65517806716806137
 gg13 gg10:1.20115978980811344
 gg13 gg11:0.49138355037604603
 gg13 gg12:7.31615508337668707
 gg13 gg13:13.75873941052929972
 gg13 gg14:21.12949266617000177
 gg13 gg15:60.73014705882349773
 gg13 gg16:7.37075325564069317
 gg13 gg17:0.43678537811204099
 gg13 gg18:0.87357075622408198
 gg13 gg19:6.82477153300064376
 gg13 gg20:4.53164829791242685
 gg13 gg21:2.83910495772826676
 gg13 gg22:1.14656161754410668
 gg13 gg23:0.65517806716806137
 gg13 gg24:0.54598172264005096
 gg13 gg25:0.60057989490405639
 gg13 gg26:3.38508668036832017
 gg13 gg27:6.87936970526464986
 gg14 gg1:12.98596153846150081
 gg14 gg2:11.29201171875000043
 gg14 gg4:1.20115978980811344
 gg14 gg5:3.05749764678428315
 gg14 gg6:3.65807754168833998
 gg14 gg7:1.25575796207211998
 gg14 gg8:1.63794516792015332
 gg14 gg9:0.70977623943206636
