t matrices
a matrix=mf1001  24CBLg   0.0 Cross Border Light Trucks 24 Hrs
      4  24140  .0031188
      4  24150  .0087639
      4  24160  .0116696
      4  24260  .0069788
      4  24270  .0028797
      4  24280  .0058185
      4  24300  .0097696
      4  24320  .0943015
      4  24340  .0046912
      4  24350  .0095327
      4  24400  .0105655
      4  25120  .0828793
      4  25130  .1006566
      4  25220  .0625864
      4  25230  .0140197
      4  25280  .1413906
      4  25290  .0140769
      4  25300  .0051548
      4  25310  .0150195
      4  25320  .0298266
      4  25370  .0232754
      4  25380  .0424855
      4  25390  .1045313
      4  25660  .0202629
      4  25740  .0317655
      4  25800  .0356292
      4  25810  .0453039
      4  26310  .0570751
      4  26340  .0226645
      4  26390  .0180770
      4  26410  .0102146
      4  27140  .0903706
      4  27160  .0236493
      4  27170  .0100610
      4  27220  .0166423
      4  27230  .0373677
      4  27290  .0002616
      4  27660  .1755482
      4  28080  .0439134
      4  28090  .0027980
      4  28220  .0476336
      4  28270  .1080443
      4  28380  .0271957
      4  28390  .0152692
      4  28600  .0191943
      4  28610  .0147776
      4  28710  .0032322
      4  28720  .0070441
      4  28730  .0013871
      4  28740  .0239301
      4  28750  .0196109
      4  29040  .0003874
      4  29060  .0009516
      4  29070  .0007433
      4  29120  .0038738
      4  29280  .0247101
      4  29340  .0676097
      4  31110  .0073285
      4  31120  .0254787
      4  31130  .0055782
      4  31160  .0068149
      4  31170  .0062495
      4  31180  .0046904
      4  31190  .0061453
      4  31210  .0165555
      4  31220  .0114748
      4  31230  .0022696
      4  31240  .0036119
      4  31250  .0020787
      4  32230  .0239697
      4  32250  .0143818
      4  32600  .0123896
      4  32610  .0123632
      4  32620  .0076063
      4  33010  .0089926
      4  33020  .0053893
      4  33160  .0027378
      4  33200  .0104455
      4  34250  .0982759
      4  41030  .1867241
      4  41040  .0531840
      4  41050  .0403297
      4  41070  .0124084
      4  41110  .0316640
      4  42010  .0098276
      4  42200  .0039864
      4  42210  .0093582
      4  42290  .0407071
      4  51490  .0551080
      4  51590  .0683881
      4  51640  .0624557
      4  51710  .0381540
      4  52110  .0378676
      4  52120  .0209142
      4  52210  .0077322
      4  52250  .0082693
      4  52260  .0133002
      4  52270  .0258063
      4  53010  .0029938
      4  53020  .0027156
      4  53030  .0237506
      4  53040  .0135341
      4  53060  .0021727
      4  53100  .0099411
      4  54010  .0259579
      4  54040  .0289610
      4  54050  .0375761
      4  54080  .0096888
      4  54090  .0090315
      4  54100  .0071126
      4  54120  .0109675
      4  54150  .0152281
      4  54160  .0158976
      4  54200  .0578093
      4  54210  .0177361
      4  54240  .0024972
      4  54290  .1083925
      4  54400  .0462475
      4  61090  .0106229
      4  61130  .0169989
      4  61140  .0070450
      4  61210  .0196041
      4  61260  .0851619
      4  61270  .0292665
      4  61300  .0204969
      4  61370  .1004534
      4  61380  .0455273
      4  61390  .0561808
      4  61420  .0110372
      4  61480  .0494957
      4  61500  .0034896
      4  61530  .0533577
      4  61610  .0107943
      4  61800  .0668582
      4  61840  .0728486
      4  61870  .0145293
      4  61910  .0754842
      4  61920  .0625165
      4  62220  .0381032
      4  62290  .1080153
      4  62390  .0446034
      4  62400  .0288690
      4  62410  .0969991
      4  62630  .1133515
      4  62730  .0408846
      4  63010  .0173340
      4  63020  .0305405
      4  63030  .0271867
      4  63040  .0065169
      4  63080  .0140744
      4  63090  .0229179
      4  63100  .0137866
      4  63150  .3247076
      4  63170  .0056438
      4  63230  .0553113
      4  63250  .0882111
      4  63300  .0849399
      4  63320  .0962453
      4  63350  .0201971
      4  63360  .0103632
      4  63370  .1380654
      4  63420  .0210104
      4  63440  .0071991
      4  63470  .0912327
      4  63490  .0370500
      4  63520  .1341168
      4  63560  .3408784
      4  63570  .0221347
      4  63680  .0699514
      4  63690  .0981592
      4  63820  .1004465
      4  63830  .0122265
      4  63940  .2645462
      4  63950  .0238340
      4  64020  .0431995
      4  64030  .0431995
      4  64050  .0353664
      4  64100  .0085838
      4  64270  .0070759
      4  64280  .0195034
      4  64320  .0132850
      4  64340  .0452934
      4  64350  .0191741
      4  64360  .0255513
      4  65030  .0106761
      4  65040  .1834205
      4  65050  .0210871
      4  65060  .0131312
      4  65070  .0098342
      4  65080  .0134298
      4  65090  .0230383
      4  65100  .0534180
      4  65140  .0362675
      4  65150  .0475801
      4  65160  .0010376
      4  65200  .0322980
      4  65220  .0090372
      4  65230  .0046662
      4  65260  .0407969
      4  65320  .0148145
      4  65340  .0316855
      4  65360  .0013631
      4  65370  .0263753
      4  65380  .0238568
      4  65390  .0219959
      4  65430  .0187920
      4  65440  .0086956
      4  65470  .0373044
      4  65480  .0605442
      4  65490  .0113725
      4  65500  .0182091
      4  65540  .0125645
      4  65550  .0044893
      4  65640  .0955228
      4  65650  .0100071
      4  67060  1.326504
      4  67120  .6960510
      4  67130  2.105375
      4  67150  .8471548
      4  67160  .4635482
      4  67180  .0648152
      4  68110  .0165063
      4  68230  .0015678
      4  68240  .0032031
      4  68250  .0034282
      4  68310  .0013543
      4  68320  .0016640
      4  68330  .0011008
      4  68340  .0072628
      4  68380  .0014716
      4  68390  .0010282
      4  68400  .0003677
      4  68520  .1393130
      4  68570  .4720796
      4  68720  1.148177
      4  68730  .0198075
      4  68750  .1690243
      4  68760  .3228628
      4  68800  .0356536
      4  68840  .2092996
      4  81010  .1542699
      4  81020  .0455754
      4  81040  .0818999
      4  81050  .0884507
      4  81080  .1555155
      4  81090  .1830214
      4  81100  .1691290
      4  81120  .1580922
      4  81150  .3516513
      4  81190  .2272433
      4  81200  .1455710
      4  81270  .1045395
