c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 17:21:28
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mf882   Calc1   0.0 Calculation 1                           
   gy02   gy10  3.492604
   gy02   gy11  20.29899
   gy02   gy12  11.42767
   gy02   gy13  .2628902
   gy02   gy14  1.787162
   gy03   gy01  429.8614
   gy03   gy02  689.3727
   gy03   gy03  3318.595
   gy03   gy04  6931.698
   gy03   gy05  943.4203
   gy03   gy06  247.1919
   gy03   gy07  534.8129
   gy03   gy08  54.68184
   gy03   gy09  253.9062
   gy03   gy10   19.1658
   gy03   gy11  25.07841
   gy03   gy12  16.97773
   gy03   gy13  .2155450
   gy03   gy14  1.292661
   gy04   gy01  435.1201
   gy04   gy02  1592.325
   gy04   gy03  6178.607
   gy04   gy04  72197.39
   gy04   gy05   8015.44
   gy04   gy06  840.2414
   gy04   gy07  4368.514
   gy04   gy08  486.7561
   gy04   gy09  1144.849
   gy04   gy10  131.1673
   gy04   gy11   64.8757
   gy04   gy12  83.12213
   gy04   gy13  1.412773
   gy04   gy14  13.34288
   gy05   gy01  164.0777
   gy05   gy02  887.3801
   gy05   gy03  810.7032
   gy05   gy04  8123.255
   gy05   gy05  42846.14
   gy05   gy06  4337.614
   gy05   gy07  1344.767
   gy05   gy08  179.8503
   gy05   gy09  2464.207
   gy05   gy10  149.6298
   gy05   gy11  287.0151
   gy05   gy12  253.3532
   gy05   gy13  9.732196
   gy05   gy14  32.12106
   gy06   gy01  14.86426
   gy06   gy02  148.9465
   gy06   gy03  200.5451
   gy06   gy04  858.5153
   gy06   gy05  4361.785
   gy06   gy06  40337.27
   gy06   gy07  168.3381
   gy06   gy08  20.27179
   gy06   gy09  1280.818
   gy06   gy10   56.4188
   gy06   gy11  1414.309
   gy06   gy12  264.7415
   gy06   gy13  16.18965
   gy06   gy14  13.94538
   gy07   gy01  28.04757
   gy07   gy02  86.56374
   gy07   gy03  477.4773
   gy07   gy04  4490.936
   gy07   gy05  1370.965
   gy07   gy06   171.765
   gy07   gy07  33631.31
   gy07   gy08  1012.264
   gy07   gy09  1366.043
   gy07   gy10   294.512
   gy07   gy11  6.444845
   gy07   gy12  43.65801
   gy07   gy13  .0973938
   gy07   gy14  .9334530
   gy08   gy01  1.907916
   gy08   gy02  8.309322
   gy08   gy03  46.70334
   gy08   gy04  496.8252
   gy08   gy05  181.4454
   gy08   gy06  20.41314
   gy08   gy07  1026.733
   gy08   gy08  8523.587
   gy08   gy09  1064.762
   gy08   gy10  182.8108
   gy08   gy11  1.259516
   gy08   gy12  37.05708
   gy08   gy13  .0305713
   gy08   gy14  .4529134
   gy09   gy01  7.936626
   gy09   gy02  114.3303
   gy09   gy03  197.9851
   gy09   gy04  1155.362
   gy09   gy05  2433.098
   gy09   gy06   1265.59
   gy09   gy07  1351.379
   gy09   gy08  1064.121
   gy09   gy09  91292.26
   gy09   gy10  3222.724
   gy09   gy11  240.6047
   gy09   gy12  5428.939
   gy09   gy13  5.033331
   gy09   gy14  206.1699
   gy10   gy01  .3743781
   gy10   gy02  3.281814
   gy10   gy03  15.46116
   gy10   gy04  133.3103
   gy10   gy05  146.0744
   gy10   gy06  55.98315
   gy10   gy07  293.0354
   gy10   gy08  182.3632
   gy10   gy09  3223.204
   gy10   gy10  18841.27
   gy10   gy11   4.46664
   gy10   gy12  1258.212
   gy10   gy13  .2221897
   gy10   gy14  16.63032
   gy11   gy01  1.276798
   gy11   gy02  19.49282
   gy11   gy03  21.64219
   gy11   gy04  65.56426
   gy11   gy05   293.203
   gy11   gy06  1363.459
   gy11   gy07   6.28142
   gy11   gy08  1.284867
   gy11   gy09  241.0189
   gy11   gy10  4.407343
   gy11   gy11  18772.08
   gy11   gy12  270.2861
   gy11   gy13  374.4625
   gy11   gy14  145.4842
   gy12   gy01  .9821102
   gy12   gy02  11.17989
   gy12   gy03  16.64958
   gy12   gy04  85.46154
   gy12   gy05  252.6681
   gy12   gy06  261.9059
   gy12   gy07  43.25694
   gy12   gy08  37.17848
   gy12   gy09  5386.338
   gy12   gy10  1248.154
   gy12   gy11  267.6786
   gy12   gy12  32116.39
   gy12   gy13  48.05584
   gy12   gy14  1877.264
   gy13   gy01  .0093511
   gy13   gy02  .2371933
   gy13   gy03  .2213341
   gy13   gy04  1.233248
   gy13   gy05  7.760783
   gy13   gy06  15.92815
   gy13   gy07  .0840550
   gy13   gy08  .0287425
   gy13   gy09  4.697856
   gy13   gy10  .2221364
   gy13   gy11  370.2296
   gy13   gy12  47.74577
   gy13   gy13  9912.964
   gy13   gy14  1762.242
   gy14   gy01  .0422831
   gy14   gy02  1.758135
   gy14   gy03  1.353323
   gy14   gy04  13.58174
   gy14   gy05  30.17422
   gy14   gy06  12.83768
   gy14   gy07  .8665478
   gy14   gy08  .4533423
   gy14   gy09  204.4638
   gy14   gy10  16.51529
   gy14   gy11  141.4066
   gy14   gy12  1866.185
   gy14   gy13  1749.986
   gy14   gy14  69777.56
a matrix=mf884   Calc3   0.0 Calculation 3                           
   gy01   gy01  2.719762
   gy01   gy02  1.260198
   gy01   gy03  1.915596
   gy01   gy04  2.799928
   gy01   gy05  2.120033
   gy01   gy06  .0987369
   gy01   gy07  .3105964
   gy01   gy08  .0300814
   gy01   gy09  .1420213
   gy01   gy10  .0120447
   gy01   gy11  .0328339
   gy01   gy12  .0380034
   gy01   gy13  .0022579
   gy01   gy14  .0091861
   gy02   gy01  1.158348
   gy02   gy02  61.20018
   gy02   gy03  8.116162
   gy02   gy04  13.47117
   gy02   gy05  11.86424
   gy02   gy06  3.645971
   gy02   gy07  1.768503
   gy02   gy08  1.107615
   gy02   gy09  5.345463
   gy02   gy10  .4342291
   gy02   gy11   2.16987
   gy02   gy12  1.020488
   gy02   gy13  .0617730
   gy02   gy14  .5091592
   gy03   gy01  .7898835
   gy03   gy02  4.465652
   gy03   gy03  12.43659
   gy03   gy04  13.97859
   gy03   gy05  7.572434
   gy03   gy06  1.912305
   gy03   gy07  3.862447
   gy03   gy08  1.143865
   gy03   gy09  8.396043
   gy03   gy10  .5008151
   gy03   gy11   1.41946
   gy03   gy12  1.350025
   gy03   gy13  .0414222
   gy03   gy14  .3429092
   gy04   gy01  2.120402
   gy04   gy02   10.7122
   gy04   gy03  9.190923
   gy04   gy04  238.8967
   gy04   gy05  21.10454
   gy04   gy06  8.496359
   gy04   gy07  22.01977
   gy04   gy08  11.49135
   gy04   gy09  31.19881
   gy04   gy10  5.269312
   gy04   gy11  2.491979
   gy04   gy12  7.381171
   gy04   gy13  .2454797
   gy04   gy14  4.114846
   gy05   gy01  1.792635
   gy05   gy02  9.852317
   gy05   gy03  10.61843
   gy05   gy04  22.03317
   gy05   gy05    214.07
   gy05   gy06  30.35365
   gy05   gy07   13.5966
   gy05   gy08  3.284865
   gy05   gy09  45.32329
   gy05   gy10  3.499709
   gy05   gy11    7.7818
   gy05   gy12  9.792073
   gy05   gy13  2.088388
   gy05   gy14  7.303736
   gy06   gy01  .0902066
   gy06   gy02  3.584922
   gy06   gy03  3.274422
   gy06   gy04  9.510623
   gy06   gy05  31.70039
   gy06   gy06  51.56386
   gy06   gy07  1.469328
   gy06   gy08  .2043342
   gy06   gy09  6.264606
   gy06   gy10  .3929744
   gy06   gy11  2.810639
   gy06   gy12  1.605801
   gy06   gy13  .2332138
   gy06   gy14  1.131398
   gy07   gy01  .2331054
   gy07   gy02  1.592559
   gy07   gy03  8.512025
   gy07   gy04  27.08075
   gy07   gy05  16.99197
   gy07   gy06  1.191771
   gy07   gy07  57.10971
   gy07   gy08  4.024819
   gy07   gy09  4.398735
   gy07   gy10  1.183462
   gy07   gy11  .2074126
   gy07   gy12  1.267613
   gy07   gy13  .0143421
   gy07   gy14  .1787800
   gy08   gy01  .0289757
   gy08   gy02  1.132643
   gy08   gy03   2.37346
   gy08   gy04  12.83001
   gy08   gy05  4.051558
   gy08   gy06  .2073668
   gy08   gy07  5.288166
   gy08   gy08  5.890558
   gy08   gy09  3.525242
   gy08   gy10  .4270754
   gy08   gy11  .0621732
   gy08   gy12  .7830578
   gy08   gy13  .0071439
   gy08   gy14  .0842971
   gy09   gy01  .1294467
   gy09   gy02  5.131675
   gy09   gy03  14.30996
   gy09   gy04  35.12288
   gy09   gy05  54.50793
   gy09   gy06  6.080844
   gy09   gy07  6.142752
   gy09   gy08  3.614375
