mat_id,mo10,mo11,mo12,mo13,mo14,mo15,mo16,mo17,mo18,mo20,mo21,mo22,mo23,mo24,mo25,mo26,mo27,mo30,mo31,mo32,mo40,mo41,mo42,mo43,mo44
mat_name,TotPop,Pop0t4,Pop5t12,Pop13t17,Pop18t24,Pop25t34,Pop35t54,Pop55t64,Pop65Up,TotEmp,EmpConMfg,EmpFire,EmpTcuWh,EmpRet,EmpBoS,EmpAcFoInCu,EmpHeEdPuAd,EnrolElem,EnrolSec,EnrolPsFte,TotHh,Hh1p,Hh2p,Hh3p,Hh4pUp
mat_desc,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,Construct_Mfg,FIRE,TCU_Wholesale,Retail,Business_OtherServices,AccomFood_InfoCult,Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HHOLDS_Total,HHOLDS_1Person,HHOLDS_2Person,HHOLDS_3Person,HHOLDS_4plusPerson
TAZ1700,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,EMP_Construct_Mfg,EMP_FIRE,EMP_TCU_Wholesale,EMP_Retail,EMP_Business_OtherServices,EMP_AccomFood_InfoCult,EMP_Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HH_Total,HH_1Person,HH_2Person,HH_3Person,HH_4plusPerson
21060,430.2363,3.49224,11.99177,11.03458,11.56735,51.19264,114.672,52.63336,173.6523,17315.15,1303.118,82.77651,349.0758,272.8871,2725.97,692.9451,11888.38,0,0,2442,143.0733,92.24722,39.81643,7.304719,3.704951
21070,0,0,0,0,0,0,0,0,0,1567.928,28.76912,343.5641,32.92817,21.78112,101.5025,14.8251,1024.558,0,0,3491,0,0,0,0,0
21080,2276.786,15.9297,29.40135,16.91361,44.17519,228.8469,504.2022,397.2659,1040.051,692.2411,10.0231,68.73824,307.4434,11.22342,81.23205,138.4188,75.16209,0,0,0,1200.907,476.3817,523.624,85.01257,115.8887
21090,634.9619,7.716222,15.03885,12.22893,343.5042,26.20056,41.42378,88.06911,100.7803,244.1946,10.13081,9.983445,11.17878,11.34403,115.236,9.987597,76.3339,0,0,0,306.1627,268.4285,12.36002,3.4998,21.8744
21100,4590.406,97.70561,162.2513,62.89967,143.8616,574.6409,1379.943,849.2938,1319.811,607.8937,11.71582,11.52208,12.92774,13.11884,90.61658,99.26359,368.7291,0,0,0,2405.549,1123.017,745.1965,240.9076,296.4286
21110,0,0,0,0,0,0,0,0,0,555.4833,11.50069,11.31051,12.69036,12.87796,229.3682,43.69659,234.039,73,24,4896,0,0,0,0,0
21120,3334.308,48.14413,174.5056,72.9542,156.558,561.5858,1413.331,453.664,453.5653,869.2038,16.8084,20.07278,19.23833,13.12071,474.4238,11.27488,314.2648,0,0,6104,1644.605,577.2255,687.0294,158.0011,222.3493
21130,6149.485,93.0495,221.1134,415.4058,244.3113,616.7003,3494.651,815.215,249.0393,422.4578,88.45808,58.06404,78.66286,49.93998,55.20006,42.39095,49.74179,0,0,6958,2299.678,740.5761,729.3918,526.0834,303.6266
21140,0,0,0,0,0,0,0,0,0,757.2354,90.62704,26.87753,41.31511,22.89003,121.9362,51.34251,402.2469,0,0,0,0,0,0,0,0
21150,0,0,0,0,0,0,0,0,0,466.4568,11.7253,14.00249,13.42039,66.57928,9.981506,256.7936,93.95431,0,0,0,0,0,0,0,0
21160,2100.507,70.30341,152.468,88.90414,154.5874,141.2583,402.3985,419.9266,670.6602,414.9471,10.66531,10.48894,11.76857,11.94253,93.48305,136.4802,140.1186,0,0,0,813.9029,151.1734,293.7318,134.9872,234.0105
22010,4.140324,0,0,0,0,0,0,1.664223,2.476101,2478.955,359.6309,114.6107,210.6001,137.4442,349.2318,844.2348,463.2024,0,0,0,1.353807,0,0,1.353807,0
22020,3504.959,24.59996,37.64264,35.20412,119.9062,489.9762,1142.038,679.6036,975.989,654.9737,78.98039,126.5703,9.765229,9.918266,155.3106,262.4218,12.00711,0,0,0,2350.1,1610.455,538.9944,93.45098,107.2002
22030,1322.96,38.62971,17.73325,29.02284,88.26121,238.6764,384.0058,220.1084,306.5222,331.9899,9.736217,126.1873,9.637545,9.788581,86.32438,79.02714,11.28874,0,0,0,819.468,494.487,223.6119,49.51942,51.84966
22040,2474.823,21.543,107.0401,23.44898,266.3777,521.2986,543.2591,603.9097,387.9463,679.9816,9.867484,96.02297,9.767482,156.0142,103.3922,263.674,41.24329,0,0,89,1475.406,795.7292,525.2972,54.78882,99.59116
22050,1200.023,33.5666,8.562641,7.998811,40.90293,103.0904,328.2682,257.5883,420.0454,866.9716,9.846136,149.4604,9.74635,9.899092,58.11388,592.815,37.09072,0,0,0,628.7377,262.8726,233.8404,84.87615,47.14849
22060,2218.973,124.0092,122.9113,48.39959,87.5767,293.2822,572.0084,350.3765,620.4096,961.9717,98.55229,47.85919,9.791274,38.87983,556.271,183.8951,26.7231,0,0,0,1107.004,438.3301,448.8817,69.57017,150.2221
22070,3211.109,40.27628,30.8152,25.2166,67.48374,327.434,702.0443,643.2686,1374.57,669.9852,9.850387,81.64544,9.750558,22.10903,217.6851,283.3564,45.58831,0,0,0,2084.36,1305.29,603.0751,60.59827,115.3961
22080,2489.03,39.41487,28.7854,8.300479,117.8903,334.996,545.4183,414.518,999.7067,595.998,9.857247,92.40031,9.757349,190.1624,61.59001,122.1645,110.0661,0,467,165,1648.501,1116.514,361.8489,77.11185,93.02641
22090,3592.986,119.1423,131.4667,86.88177,246.8974,397.6245,719.7243,449.903,1441.346,1766.949,71.80402,183.0656,163.6482,26.55692,987.0831,239.8741,94.91691,0,0,66,1996.368,1011.593,677.0737,112.2168,195.4849
22100,2819.803,109.1988,41.77374,43.40846,284.6119,651.019,862.7128,495.8081,331.2705,597.9991,9.882617,160.1734,26.7277,15.61459,275.4525,9.980124,100.1682,0,0,751,1455.212,589.4391,546.2383,199.0315,120.5027
22110,1022.995,45.4255,109.4777,14.62653,70.57598,118.1746,286.929,156.8667,220.9185,3996.878,378.2201,929.0391,106.9147,114.5111,1313.252,940.2875,214.6539,0,0,172,522.6661,214.2657,191.2896,66.8239,50.28684
22120,1394.025,35.49493,88.26028,31.7472,32.43954,115.4252,324.6653,326.8634,439.1287,2086.905,125.9888,61.18297,102.0944,14.91114,159.0494,1589.516,34.16269,0,0,0,685.0865,268.1609,243.9015,109.4701,63.55405
22130,0,0,0,0,0,0,0,0,0,4734.769,777.614,1229.295,439.9217,117.4888,1614.689,501.9244,53.83536,0,0,122,0,0,0,0,0
22140,3187.872,95.15565,36.40157,14.3917,179.727,634.3411,755.416,481.9447,990.4941,1377.011,9.878297,32.00267,9.778185,350.9772,143.9882,499.804,330.5822,561,0,0,2016.011,1247.477,555.8312,84.57733,128.1253
22150,2167.842,62.65765,35.95431,25.21887,157.4763,471.1837,689.3631,365.1313,360.8572,535.0099,9.825313,46.37638,9.725738,75.35044,92.7374,145.6237,155.3709,0,0,121,1336.014,844.5597,338.2363,65.20662,88.01148
22160,2234.859,80.16986,34.50239,10.79497,283.9168,476.5971,565.5391,449.879,333.4596,620.9868,9.845029,89.16165,9.745255,22.28711,130.2916,306.0414,53.61475,0,0,761,1192.579,527.3395,445.2709,115.908,104.0607
22170,731.991,25.24772,55.08612,58.87727,68.93477,83.61861,170.4094,59.1982,210.6189,4551.062,227.1936,1337.755,366.7721,106.4357,1075.542,82.05197,1355.311,0,0,377,337.637,128.6563,127.4039,59.15639,22.42047
22180,149.9985,5.806372,7.858109,6.320082,7.509323,20.03956,41.12294,47.29033,14.05177,5491.047,353.8789,673.5471,789.1791,9.974456,1704.374,288.5918,1671.502,0,0,827,52.69279,5.280519,17.6897,19.26228,10.46029
22190,4.137506,0,0,0,0,0,0,1.66309,2.474416,9621.642,1179.037,2756.31,736.012,113.5811,3860.858,574.3544,401.4885,0,0,1022,2.036849,0,2.036849,0,0
22200,0,0,0,0,0,0,0,0,0,6075.047,707.3846,869.9578,174.4802,54.3643,2575.987,205.7072,1487.166,0,0,0,0,0,0,0,0
22210,0,0,0,0,0,0,0,0,0,3932.089,320.7493,1228.797,216.598,84.35913,562.3845,137.2919,1381.909,0,0,56,0,0,0,0,0
22220,2684.911,24.27042,10.593,9.895473,261.7385,469.6005,799.1887,326.8685,782.7562,472.9839,9.83815,120.9488,9.738445,60.04552,80.61917,179.8978,11.89607,0,0,0,1815.5,1201.65,486.5352,71.63757,55.67701
22230,1909.902,11.2856,86.01836,40.22302,131.2923,284.358,782.5884,334.3228,239.8132,196.0051,9.512713,13.16467,9.416306,9.563876,59.2312,32.63494,62.48135,0,0,0,1156.211,692.949,304.9649,92.24326,66.05422
22240,3595.729,30.29996,46.36471,11.09118,332.301,923.7356,1056.3,549.329,646.308,370.989,49.32696,86.23538,9.767304,29.18994,57.48073,106.8879,32.10079,0,0,88,2254.573,1363.894,624.0649,144.0931,122.5206
22250,3270.645,41.61708,53.73175,44.66753,313.7863,1150.337,834.9459,511.9855,319.5741,650.0054,9.816804,9.901157,9.717316,30.84361,63.26785,363.9284,162.5303,0,0,0,1737.99,890.8715,680.4177,62.74608,103.9545
22260,2138.876,30.44331,19.9646,18.67129,409.3921,441.9552,585.4398,187.7306,445.2794,749.9722,9.882215,25.00054,9.782064,289.4164,74.9892,328.4719,12.42975,0,0,0,1345.832,776.5153,450.2955,48.64346,70.37759
22270,443.9836,7.956189,25.9004,8.6601,24.7508,66.05058,135.5416,155.8694,19.25445,4590.949,248.4709,267.8719,83.0557,552.8564,1107.503,1643.97,687.2203,0,0,567,138.5394,11.02212,49.95601,54.39702,23.1642
22280,1587.99,52.65726,58.10429,38.3991,109.1211,175.7379,318.0962,198.8434,637.0309,3282.896,294.0136,434.4579,325.4699,308.2052,1015.607,624.9705,280.172,0,0,537,1031.752,650.7781,291.6853,31.50167,57.78712
22290,0,0,0,0,0,0,0,0,0,5781.815,307.0002,1677.219,153.0556,51.09519,2878.749,644.4578,70.23808,0,0,442,0,0,0,0,0
22300,451.9931,14.98795,16.53835,10.92962,31.05939,50.02067,90.54042,56.59724,181.3195,14316.51,1292.276,5561.887,596.7438,799.7102,4201.482,1287.268,577.1444,0,0,826,234.9034,93.24901,92.14332,32.08649,17.42455
22310,0,0,0,0,0,0,0,0,0,10156.71,1418.884,1633.285,532.3082,580.4955,4484.41,702.2275,805.1038,0,0,719,0,0,0,0,0
22320,425.9974,14.12594,15.58717,10.30102,29.27305,47.1438,85.33311,53.34212,170.8912,6448.839,1104.707,1469.055,185.4144,106.4205,1955.298,927.8365,700.1077,0,0,482,193.5444,70.85468,70.16492,32.5791,19.94565
22330,302.9727,8.979729,10.46317,9.774197,113.6681,70.00095,52.8361,15.51892,21.73148,7743.092,643.8554,1050.573,136.958,213.366,2719.783,967.3298,2011.227,0,92,1482,154.2049,52.08082,68.56767,24.76014,8.796313
22340,51.00286,2.215091,3.613431,2.893282,1.955387,3.494599,6.354742,12.25011,18.22622,7322.809,347.9274,1165.833,211.4559,100.0042,3236.28,1881.242,380.0667,0,20,1604,24.14629,8.644584,8.560431,3.974794,2.966481
22350,0,0,0,0,0,0,0,0,0,2285.932,348.6656,295.6158,217.1153,13.5297,470.4091,652.3179,288.2786,0,0,1449,0,0,0,0,0
22360,2444.907,85.49552,66.89886,8.935396,131.4107,505.4929,639.8273,469.6993,537.147,149.0032,9.356532,9.507591,9.261708,9.406855,42.77708,23.56913,45.12435,0,0,0,1501.277,899.8098,401.9736,110.7513,88.74241
22370,935.9792,10.91519,92.80824,11.8809,100.3029,136.1834,227.2899,149.6043,206.9943,404.0149,9.730524,9.814136,9.63191,58.96201,9.833574,143.9383,162.1044,155,0,65,573.0359,402.6876,91.37991,45.22883,33.7396
22380,3753.613,192.3495,147.1657,27.39302,410.1817,927.8212,1168.497,420.6827,459.5224,1293.964,9.887207,9.972165,9.787005,344.5116,139.0187,703.1503,77.63661,0,0,0,2178.668,1207.044,597.968,223.7289,149.9267
22390,287.9516,10.30785,12.0107,11.21982,9.099326,163.8956,38.65842,17.8142,24.94562,4351.392,46.82887,68.22343,11.8586,254.0236,602.5406,529.9235,2837.993,0,0,305,160.3171,74.09786,74.40573,6.532581,5.280967
22400,0,0,0,0,0,0,0,0,0,4384.859,111.6615,467.6932,9.804625,578.1762,1077.549,2026.433,113.5415,0,0,320,0,0,0,0,0
22410,888.8732,15.11088,17.60718,16.44779,94.54708,289.6899,392.7862,26.11487,36.56923,1542.998,9.903875,77.03825,20.08619,516.3204,224.6577,401.0501,293.9413,0,30,2544,409.0173,216.4637,164.9611,16.4296,11.16287
22420,7.865005,0,0,0,0,0,1.357009,2.61592,3.892077,3819.095,287.8566,9.973595,9.788408,220.4443,1257.898,807.224,1225.91,0,0,2280,1.569937,0,0,1.569937,0
22430,274.9997,13.36892,20.29124,21.68773,25.39246,30.80132,62.77113,23.1044,77.58248,2383.981,9.967053,10.37824,1051.733,10.02066,326.8228,89.65256,885.4066,0,0,2295,24.81275,10.12738,10.02879,4.656585,0
