TZ,Pp1_11,Pp2_11,Pp3_11,Pp4_11,Pp5_11,Pp6_11,Pp10_11,PpTt11,HtTt11,P1Hh11,P2Hh11,P3Hh11,P4Hh11,Con11,FIRE11,TCWh11,Ret11,Bus11,AcIn11,HeEd11,Emp11,PSEn11
Zone,2011_Pop_0to4,2011_Pop 5to12,2011_Pop_13to17,2011_Pop_18to24,2011_Pop_25to44,2011_Pop_45to64,2011_Pop_65plus,2011_total_population,2011_total_hhs,2011_1p_hhs,2011_2p_hhs,2011_3p_hhs,2011_4p_hhs,2011_Const_Mfg,2011_FIRE,2011_TCU_WhSale,2011_Retail,2011_Business_OthServ,2011_Accom_Fd_Info,2011_Health_Ed_PubAd,2011_total_emp,PostSec 2011 FT Enrl
24030,57.43,92.57,46.34,172.98,0,0,320.3,1605.11,579.01,115.13,192.68,122.66,148.54,3.99,31.98,3.39,2.32,90.05,190.06,92.06,413.86,0
24040,81.81,130.94,60.5,190.58,0,0,227.15,1502.72,506.72,92.27,145.38,104.92,164.15,4.5,2.88,3.82,78.55,101.49,55.28,58.36,304.89,0
24050,100.25,167.86,113.68,171.26,0,0,233.27,1829.71,580.16,85.51,160.19,111.27,223.18,4.56,2.92,29.01,26.5,132.09,2.8,164.1,361.98,0
24060,86.55,198.9,182.06,161.29,0,0,305.13,1809.2,550.12,86.86,148.57,118.29,196.39,2.54,28.51,21.59,1.48,73.73,1.56,106.25,235.67,0
24070,70.56,188.64,347.9,307.87,0,0,879.61,3572.74,1751.96,803.47,498.47,226.65,223.36,76.61,312.86,48.76,389.89,222.07,311.61,165.53,1527.33,13
24080,23.99,118.13,94.61,119.2,0,0,162.37,1206.18,379.55,53.08,117.66,54.17,154.64,4.31,34.5,27.42,31.32,97.13,99.19,217.19,511.05,0
24090,54.36,42.83,69.68,101.3,0,0,109.24,838.2,259.97,26.89,74.92,63.91,94.26,4.78,3.06,4.06,111.16,38.47,2.93,2.75,167.22,0
24100,18.37,78.39,96.6,152.13,0,0,440.35,1589.69,479.63,94.76,201.01,60.92,122.94,31.39,67.03,3.55,2.43,94.37,12.85,560.73,772.36,0
24110,30.55,30.09,15.06,63.25,0,0,118.47,592.98,210.12,30.76,86.72,33.85,58.79,3.79,2.43,177.13,22.07,91.67,2.33,978.44,1277.86,0
24120,2.33,34.42,40.2,72.36,0,0,141.68,603.16,187.46,20.92,62.45,63.88,40.22,3.96,44.35,3.36,40.27,101.93,2.43,911.74,1108.03,0
24130,49.91,78.65,39.37,82.67,0,0,216.43,1001.81,362.33,60.39,125.21,91.38,85.35,9.48,7.15,6.46,5.36,16.29,10.55,13.97,69.26,0
24140,35.57,52.55,39.46,78.25,0,0,221.03,889.39,313.35,49.4,100.55,84.51,78.9,12.65,9.53,8.61,7.14,21.72,14.07,18.63,92.35,0
24150,49.74,112.68,98.09,159.64,0,0,168.35,1267.51,384.6,40.09,122.17,54.59,167.76,4.68,3,3.97,2.72,128.16,21.56,94.41,258.51,0
24160,53.95,58.45,111.72,122.88,0,0,171.19,976.18,327.36,75.66,96.81,32.12,122.76,4.62,2.96,3.92,2.69,81.85,2.84,272.87,371.74,0
24170,75.37,143.51,138.72,135.25,0,0,186,1364.52,404.13,60.03,89.61,67.71,186.77,1.61,18.08,13.69,0.94,46.76,0.99,67.38,149.45,0
24180,93.01,142.5,173.23,358.41,0,0,825.22,3752,1997.98,970.45,630.06,234.73,162.74,85.12,375.64,3.21,236.54,328.98,209.04,326.96,1565.49,0
24190,87.8,187.36,125.05,277.74,0,0,232.16,2044.42,765.95,215.8,185.47,171.64,193.04,3.93,239.45,25.05,154.48,171.08,48.32,300.39,942.69,0
24200,24.92,108.02,73.73,103.22,0,0,163.45,1052.88,294.8,20.04,74.78,49.62,150.36,3.97,196.87,33.66,103.79,63.86,36.52,137.09,575.75,0
24210,88.97,175.26,160.83,291.68,0,0,271.84,2018.86,606.96,69.48,135.82,150.74,250.92,4.54,94.62,3.86,33.04,124.42,48.83,104.75,414.07,3
24220,2.01,1.98,29.78,62.53,0,0,335.38,787.27,447.19,236.38,148.3,27.14,35.37,3.87,365.33,65.63,899.52,224.15,356.07,250.62,2165.19,1
24230,94.98,172.33,108.45,207.02,0,0,248.51,1819.62,607.99,115.69,137.66,161.09,193.55,4.29,178.61,3.64,37.42,48.35,59.26,185.36,516.93,0
