mat_id, mo393, mo394, mo27, mo28, mo13
mat_name, 250C30, 500C30, WrPr30, OtPk30, BkSc30
mat_desc, 2030_250m_car_share, 2030_500m_car_share, 2030_work_parking, 2030_nonwork_parking, 2030_bike_score
22200, 2, 3, 1.7, 0.8, 5
22210, 2, 3, 1.8, 1.05, 5
22220, 2, 3, 0.45, 0.25, 4
22230, 2, 3, 0.4, 0.35, 4
22240, 2, 3, 1.3, 0.3, 4
22250, 2, 3, 0.35, 0.25, 4
22260, 2, 3, 0.35, 0.25, 4
22270, 2, 3, 1.5, 0.75, 4
22280, 2, 3, 1.5, 0.75, 4
22290, 2, 3, 1.5, 0.75, 4
22300, 2, 3, 1.55, 0.6, 5
22310, 2, 3, 1.55, 0.6, 5
22320, 2, 3, 1.55, 0.6, 5
22330, 2, 3, 1.2, 1.15, 5
22340, 2, 3, 1.2, 1.15, 5
22350, 2, 3, 1.25, 0.5, 5
22360, 2, 3, 0.45, 0.25, 4
22370, 2, 3, 1.3, 0.3, 4
22380, 2, 3, 0.35, 0.25, 4
22390, 2, 3, 1.8, 0.55, 5
22400, 2, 3, 1.8, 0.55, 5
22410, 2, 3, 2.15, 1.1, 5
22420, 2, 3, 2.15, 1.1, 5
22430, 2, 3, 2.15, 1.1, 5
22440, 2, 3, 2.1, 0.75, 5
22450, 2, 3, 1.25, 0.5, 5
22460, 2, 3, 1.25, 0.5, 5
22470, 2, 3, 1.25, 0.5, 5
22480, 1, 3, 0.5, 0.25, 5
22490, 2, 3, 0.6, 0.25, 4
22500, 2, 3, 0.6, 0.25, 4
22510, 2, 3, 1.3, 0.3, 4
22520, 2, 3, 1, 0.7, 5
22530, 2, 3, 1.8, 0.55, 5
22540, 2, 3, 1.9, 0.5, 5
22550, 2, 3, 1.9, 0.5, 5
22560, 2, 3, 1.9, 0.5, 5
22570, 2, 3, 2.15, 1.1, 5
22580, 2, 3, 2.1, 0.75, 5
22590, 2, 3, 2.1, 0.75, 5
22600, 2, 3, 0.45, 0.3, 5
22610, 2, 3, 0.45, 0.3, 5
22620, 1, 3, 0.95, 0.6, 5
22630, 2, 3, 0.6, 0.25, 4
22640, 2, 3, 0.6, 0.25, 4
22650, 2, 3, 0.6, 0.25, 4
22660, 2, 3, 1, 0.7, 5
22670, 2, 3, 1, 0.7, 5
22680, 2, 3, 0.8, 0.4, 5
22690, 2, 3, 0.8, 0.4, 5
22700, 2, 3, 1.9, 0.5, 5
22710, 2, 3, 1.4, 0.6, 5
22720, 2, 3, 1.4, 0.6, 5
22730, 2, 3, 1.4, 0.6, 5
22740, 2, 3, 1.25, 0.6, 5
22750, 2, 3, 1.15, 0.35, 5
22760, 1, 3, 0.8, 0.4, 5
22770, 2, 3, 0.55, 0.4, 5
22780, 2, 3, 1, 0.7, 5
22790, 2, 3, 0.8, 0.4, 5
22800, 2, 3, 1.45, 0.65, 5
22810, 2, 3, 0.35, 0.45, 5
22820, 2, 3, 1.25, 0.6, 5
22830, 2, 3, 1.25, 0.6, 5
22840, 2, 3, 0.8, 0.4, 5
22850, 1, 2, 0.55, 0.35, 5
22860, 2, 3, 0.55, 0.4, 5
22870, 2, 3, 0.8, 0.4, 5
22880, 2, 3, 1.45, 0.65, 5
22890, 2, 3, 0.35, 0.45, 5
22900, 0, 3, 1.25, 0.6, 5
22910, 2, 3, 0.35, 0.45, 5
23010, 2, 3, 0.5, 0.25, 4
23020, 0, 1, 0.2, 0.35, 3
23030, 2, 3, 0.2, 0.35, 3
23040, 2, 3, 0.4, 0.35, 4
23050, 1, 3, 0.4, 0.35, 4
23060, 2, 3, 0.4, 0.35, 4
23070, 2, 3, 0.4, 0.35, 4
23080, 2, 3, 0.5, 0.25, 4
23090, 1, 3, 0.45, 0.25, 5
23100, 1, 3, 0.45, 0.25, 5
23110, 1, 2, 0.55, 0.35, 5
23120, 1, 2, 0.55, 0.35, 5
23130, 1, 2, 0.2, 0.35, 3
23140, 2, 3, 0.2, 0.35, 3
23150, 2, 3, 0.4, 0.35, 4
23160, 2, 3, 0.4, 0.35, 4
23170, 2, 3, 0.4, 0.35, 4
23180, 2, 3, 0.4, 0.35, 4
23190, 2, 3, 0.5, 0.25, 4
23200, 2, 3, 0.55, 0.3, 5
23210, 1, 3, 0.55, 0.3, 5
23220, 2, 3, 0.45, 0.25, 5
23230, 2, 3, 0.3, 0.25, 5
23240, 2, 3, 0.3, 0.25, 5
23250, 2, 3, 0.55, 0.35, 5
23260, 2, 3, 0.5, 0.3, 5
23270, 2, 3, 0.5, 0.3, 5
23280, 2, 3, 0.45, 0.25, 5
23290, 2, 3, 0.45, 0.25, 5
23300, 2, 3, 0.5, 0.25, 5
23310, 2, 3, 0.5, 0.25, 5
23320, 2, 3, 0.5, 0.3, 5
23330, 2, 3, 0.5, 0.3, 5
23340, 1, 3, 0.4, 0.25, 4
23350, 2, 3, 0.3, 0.35, 4
23360, 1, 3, 0.3, 0.35, 4
23370, 2, 3, 0.45, 0.25, 4
23380, 2, 3, 0.45, 0.25, 4
23390, 2, 3, 0.45, 0.25, 4
23400, 2, 3, 0.55, 0.3, 4
23410, 2, 3, 0.55, 0.3, 4
23420, 2, 3, 0.5, 0.25, 4
