TZ, Pp1_30, Pp2_30, Pp3_30, Pp4_30, Pp5_30, Pp6_30, Pp10_30, PpTt30, HtTt30, P1Hh30, P2Hh30, P3Hh30, P4Hh30, Con30, FIRE30, TCWh30, Ret30, Bus30, AcIn30, HeEd30, Emp30, PSEn30
Zone, 2030_Pop_0to4, 2030_Pop 5to12, 2030_Pop_13to17, 2030_Pop_18to24, 2030_Pop_25to44, 2030_Pop_45to64, 2030_Pop_65plus, 2030_total_population, 2030_total_hhs, 2030_1p_hhs, 2030_2p_hhs, 2030_3p_hhs, 2030_4p_hhs, 2030_Const_Mfg, 2030_FIRE, 2030_TCU_WhSale, 2030_Retail, 2030_Business_OthServ, 2030_Accom_Fd_Info, 2030_Health_Ed_PubAd, 2030_total_emp, PostSec 2030 FT Enrl
11010, 14.9441, 9.350781, 12.03719, 6.865746, 0, 0, 100.3314, 286.0168, 105.0119, 16.95433, 37.9017, 17.97926, 32.17662, 8.526623, 5.708506, 6.313707, 4.431647, 5.804119, 5.10399, 8.70607, 44.59466, 0
11020, 2.102736, 2.067293, 1.052396, 2.544961, 0, 0, 5.680521, 30.33773, 9.00102, 1.746934, 2.737942, 1.71856, 2.797585, 12.72173, 8.400283, 9.290859, 7.191052, 13.43904, 8.872153, 24.772, 84.68711, 0
11030, 167.3344, 222.8152, 115.3919, 178.1044, 0, 0, 766.5432, 2762.599, 1035.117, 190.3535, 369.6986, 173.9109, 301.1544, 10.12517, 9.049016, 569.2281, 25.0032, 136.4435, 225.8634, 170.7467, 1146.459, 0
11040, 110.4153, 144.5938, 116.6114, 182.9362, 0, 0, 453.4921, 2427.247, 1082.123, 292.6215, 523.1125, 129.5855, 136.8031, 10.61989, 6.554633, 7.249538, 5.088515, 127.8498, 87.91108, 534.557, 779.8305, 0
11050, 29.3815, 121.8434, 56.32849, 93.26196, 0, 0, 143.3136, 1013.939, 335.038, 47.48869, 77.71319, 60.43139, 149.4047, 11.74974, 8.089067, 8.946649, 6.279732, 76.16631, 7.232455, 12.33667, 130.8006, 0
11060, 132.9529, 232.6033, 122.914, 187.4109, 0, 0, 568.5591, 2484.203, 889.1008, 87.42196, 351.6446, 172.3256, 277.7086, 14.38048, 136.3115, 10.08974, 37.65118, 332.9279, 214.274, 13.91291, 759.5476, 0
11070, 62.5414, 99.45442, 49.04118, 98.36214, 0, 0, 660.2184, 2072.966, 811.092, 193.2162, 300.5726, 111.6032, 205.7, 9.380493, 108.3573, 9.272282, 6.508297, 122.2694, 20.8183, 136.8529, 413.4589, 0
11080, 144.0088, 183.7897, 157.8342, 254.1044, 0, 0, 488.7933, 2950.669, 997.1131, 138.6449, 248.4946, 204.7477, 405.2259, 213.2761, 64.86507, 30.34578, 6.670373, 106.8853, 232.6295, 402.789, 1057.461, 0
11090, 278.8236, 434.9707, 201.5035, 363.9081, 0, 0, 1075.391, 4920.19, 1729.196, 200.2711, 568.8544, 365.2901, 594.7804, 124.9406, 105.2713, 75.55247, 14.53873, 190.2653, 147.0939, 438.1485, 1095.811, 0
11100, 233.3677, 411.6935, 294.3952, 345.1094, 0, 0, 1391.21, 4963.865, 1775.201, 212.6013, 665.8917, 334.0811, 562.6272, 175.3932, 120.9119, 9.833373, 137.7652, 259.8781, 91.95361, 389.7265, 1185.462, 0
11110, 93.94796, 104.8546, 63.51876, 99.2966, 0, 0, 258.8743, 1181.183, 429.0487, 55.26106, 167.1383, 76.18223, 130.467, 43.81495, 40.27331, 9.187929, 11.47169, 56.80507, 12.08995, 91.39683, 265.0397, 0
11120, 66.51904, 195.5339, 66.94103, 108.7081, 0, 0, 280.5436, 1405.274, 467.053, 41.6736, 147.1804, 80.80981, 197.3892, 46.03132, 42.31054, 9.133939, 12.05199, 59.67855, 12.70152, 96.02013, 277.928, 0
11130, 10.45608, 30.97406, 37.55763, 51.40023, 0, 0, 182.4142, 535.5945, 193.0219, 22.00116, 60.17804, 54.12835, 56.71435, 10.31388, 7.914773, 8.753877, 6.144424, 10.89543, 7.19292, 20.0834, 71.29871, 0
11140, 10.91691, 59.80513, 35.22223, 74.33302, 0, 0, 225.2639, 752.8118, 276.0313, 32.14958, 118.3756, 42.85989, 82.64621, 8.885736, 7.941313, 8.783231, 6.165028, 95.42738, 7.100349, 12.11133, 146.4144, 0
11150, 11.17987, 110.8765, 74.78773, 66.80081, 0, 0, 133.9912, 848.7229, 266.0302, 32.54358, 48.90871, 102.5467, 82.03119, 11.42406, 8.109207, 8.968925, 6.457538, 12.0682, 7.96716, 22.24516, 77.24026, 0
11160, 76.24461, 131.3039, 54.99823, 100.7619, 0, 0, 362.059, 1298.57, 450.0511, 55.78678, 128.0468, 114.0159, 152.2015, 30.44836, 22.73958, 15.34361, 6.112473, 31.95644, 7.03982, 38.66099, 152.3013, 0
11170, 25.43142, 4.975623, 3.344697, 3.706069, 0, 0, 50.67293, 207.4814, 79.00896, 6.978623, 48.13248, 7.057285, 16.84057, 11.83231, 6.403338, 7.082204, 4.971062, 6.510589, 5.725242, 10.14121, 52.66595, 0
11180, 12.59272, 27.12053, 57.15572, 53.40272, 0, 0, 187.0346, 711.0246, 310.0352, 80.63012, 134.4202, 52.87772, 42.10713, 9.736579, 87.45028, 9.624259, 211.3564, 179.4148, 76.37052, 301.2213, 875.1742, 0
