c Emme Modeller - Turn Transaction
c Scenario 3000:  2030 Base Network
t turns
c     At   From     To   TPF  Data1  Data2  Data3
a 123205 123204 123204     0      0      0      0
a 123205 123204 123501    -1      0      0      0
a 123505 122906 122906     0      0      0      0
a 123505 122906 123504    -1      0      0      0
a 123505 122906 123516    -1      0      0      0
a 123505 123504 122906    -1      0      0      0
a 123505 123504 123504     0      0      0      0
a 123505 123504 123516     0      0      0      0
a 123610 124003 123608     0      0      0      0
a 123610 124003 123609    -1      0      0      0
a 123610 124003 124203     0      0      0      0
a 123610 124102 123608    -1      0      0      0
a 123610 124102 123609     0      0      0      0
a 123610 124102 124203    -1      0      0      0
a 124102 123510 123409    -1      0      0      0
a 124102 123510 123610    -1      0      0      0
a 124102 123514 123409    -1      0      0      0
a 124102 123514 123610     0      0      0      0
a 124102 124101 123409     0      0      0      0
a 124102 124101 123610    -1      0      0      0
a 130601 130108 130108     0      0      0      0
a 130601 130108 130603    -1      0      0      0
a 130601 130108 130701     0      0      0      0
a 130601 130501 130108    -1      0      0      0
a 130601 130501 130603    -1      0      0      0
a 130601 130501 130701    -1      0      0      0
a 130601 130603 130108    -1      0      0      0
a 130601 130603 130603     0      0      0      0
a 130601 130603 130701    -1      0      0      0
a 131101 130308 130308     0      0      0      0
a 131101 130308 131003    -1      0      0      0
a 131101 130308 131102    -1      0      0      0
a 131101 130308 131103    -1      0      0      0
a 131101 131003 130308    -1      0      0      0
a 131101 131003 131003     0      0      0      0
a 131101 131003 131102    -1      0      0      0
a 131101 131003 131103    -1      0      0      0
a 131101 131102 130308    -1      0      0      0
a 131101 131102 131003     0      0      0      0
a 131101 131102 131102     0      0      0      0
a 131101 131102 131103    -1      0      0      0
a 131101 131202 130308    -1      0      0      0
a 131101 131202 131003    -1      0      0      0
a 131101 131202 131102    -1      0      0      0
a 131101 131202 131103    -1      0      0      0
a 131502 121601 121601     0      0      0      0
a 131502 121601 131501    -1      0      0      0
a 131502 131501 121601    -1      0      0      0
a 131502 131501 131501     0      0      0      0
a 131502 131507 121601    -1      0      0      0
a 131502 131507 131501     0      0      0      0
a 131506 131501 131501     0      0      0      0
a 131506 131501 131508    -1      0      0      0
a 131506 131507 131501    -1      0      0      0
a 131506 131507 131508     0      0      0      0
a 132203 132102 132102     0      0      0      0
a 132203 132102 132202    -1      0      0      0
a 132203 132102 132301    -1      0      0      0
a 132203 132102 132402    -1      0      0      0
a 132203 132202 132102    -1      0      0      0
a 132203 132202 132202     0      0      0      0
a 132203 132202 132301    -1      0      0      0
a 132203 132202 132402     0      0      0      0
a 132203 132301 132102     0      0      0      0
a 132203 132301 132202    -1      0      0      0
a 132203 132301 132301     0      0      0      0
a 132203 132301 132402    -1      0      0      0
a 132203 132402 132102    -1      0      0      0
a 132203 132402 132202    -1      0      0      0
a 132203 132402 132301    -1      0      0      0
a 132203 132402 132402     0      0      0      0
a 132702 132502 132502     0      0      0      0
a 132702 132502 132701     0      0      0      0
a 132702 132502 133101    -1      0      0      0
a 132702 132701 132502    -1      0      0      0
a 132702 132701 132701     0      0      0      0
a 132702 132701 133101    -1      0      0      0
a 132702 133101 132502    -1      0      0      0
a 132702 133101 132701     0      0      0      0
a 132702 133101 133101     0      0      0      0
a 210602 210303 210303     0      0      0      0
a 210602 210303 210606    -1      0      0      0
a 210602 210303 211001    -1      0      0      0
a 210602 210606 210303     0      0      0      0
a 210602 210606 210606     0      0      0      0
a 210602 210606 211001    -1      0      0      0
a 210602 211001 210303    -1      0      0      0
a 210602 211001 210606     0      0      0      0
a 210602 211001 211001     0      0      0      0
a 211405 211205 211403     0      0      0      0
a 211405 211205 211404     0      0      0      0
a 211405 211205 211407    -1      0      0      0
a 211405 211401 211403     0      0      0      0
a 211405 211401 211404    -1      0      0      0
a 211405 211401 211407    -1      0      0      0
a 211405 211406 211403    -1      0      0      0
a 211405 211406 211404     0      0      0      0
a 211405 211406 211407     0      0      0      0
a 220102 220103 220103     0      0      0      0
a 220102 220103 220114    -1      0      0      0
a 220102 220105 220103    -1      0      0      0
a 220102 220105 220114     0      0      0      0
a 220102 220115 220103    -1      0      0      0
a 220102 220115 220114     0      0      0      0
a 220103 112809 112809     0      0      0      0
a 220103 112809 220101    -1      0      0      0
a 220103 112809 220102    -1      0      0      0
a 220103 112809 220104     0      0      0      0
a 220103 220102 112809    -1      0      0      0
a 220103 220102 220101     0      0      0      0
a 220103 220102 220102     0      0      0      0
a 220103 220102 220104    -1      0      0      0
a 220801 220303 220303     0      0      0      0
a 220801 220303 220304     0      0      0      0
a 220801 220303 220802    -1      0      0      0
a 220801 220303 220804    -1      0      0      0
a 220801 220304 220303    -1      0      0      0
a 220801 220304 220304     0      0      0      0
a 220801 220304 220802    -1      0      0      0
a 220801 220304 220804    -1      0      0      0
a 220801 220802 220303    -1      0      0      0
a 220801 220802 220304    -1      0      0      0
a 220801 220802 220802     0      0      0      0
a 220801 220802 220804    -1      0      0      0
a 220801 220804 220303    -1      0      0      0
a 220801 220804 220304    -1      0      0      0
a 220801 220804 220802    -1      0      0      0
a 220801 220804 220804     0      0      0      0
a 220803 220201 220201     0      0      0      0
a 220803 220201 220802    -1      0      0      0
a 220803 220201 221401    -1      0      0      0
a 220803 220201 221501    -1      0      0      0
a 220803 220802 220201    -1      0      0      0
a 220803 220802 220802     0      0      0      0
a 220803 220802 221401    -1      0      0      0
a 220803 220802 221501     0      0      0      0
a 220803 221401 220201    -1      0      0      0
a 220803 221401 220802    -1      0      0      0
a 220803 221401 221401     0      0      0      0
a 220803 221401 221501    -1      0      0      0
a 220803 221501 220201    -1      0      0      0
a 220803 221501 220802    -1      0      0      0
a 220803 221501 221401    -1      0      0      0
a 220803 221501 221501     0      0      0      0
a 221603 220601 220601     0      0      0      0
a 221603 220601 220603    -1      0      0      0
