    line   @hdwyam   @hdwymd   @hdwypm  @brdline
'173W1X'        10        21        14         1
'174E1X'        14        21        10         1
'174W1X'        14        21        10         1
'175E1X'        21         0        41         1
'175W1X'        21         0        21         1
'180N1X'        10        10        10         1
'180S1X'        10        10        10         1
'181N1X'        21        41        21         1
'181S1X'        21        41        21         1
'182N1X'        21        14        21         1
'182S1X'        21        21        21         1
'183E1X'        10        21        10         1
'183W1X'        10        21         8         1
'184N1X'        10        21        10         1
'184S1X'        14        21        10         1
'185N1X'        10        21        10         1
'185S1X'        10        21        10         1
'186N1X'         8        21         7         1
'186S1X'         8        21         7         1
'187N1X'        10        21         7         1
'187S1X'        10        21         7         1
'188E1X'        14        21        10         1
'188W1X'        14        21        10         1
'189N1X'        21        21        21         1
'189S1X'        21        21        21         1
'191N1X'        21        21        21         1
'191S1X'        21        21        21         1
'210N1A'        10         0         0         1
'210N1M'         0        21         0         1
'210N1P'         0         0        10         1
'210S1A'         6         0         0         1
'210S1M'         0        21         0         1
'210S1P'         0         0        10         1
'211E1A'        21         0         0         1
'211E1M'         0        21         0         1
'211E1P'         0         0        10         1
'211W1A'        10         0         0         1
'211W1M'         0        21         0         1
'211W2X'        41         0        14         1
'212E1X'        21        21        21         1
'212W1X'        21        21        21         1
'214E1P'         0         0        21         1
'214E2X'        14        21        21         1
'214W1A'        21         0         0         1
'214W2X'        41        21        21         1
'215E1X'        10        21        10         1
'215W1X'        10        21        10         1
'227N1X'        21        21        21         1
'227S1X'        21        21        21         1
'228N1X'        10        21        10         1
'228S1X'        14        21        10         1
'229E1X'        21        21        10         1
'229W1X'        14        21        21         1
'230N1X'        14        21        10         1
'230S1X'        10        21        10         1
'231E1P'         0         0        21         1
'231W1X'        21         0        41         1
'232E1X'        21        21        41         1
'232W1X'        21        21        21         1
'236N1X'        41        21        10         1
'236S1X'        41        21        10         1
'239E1X'         0         0         0         1
'239E2X'         5         7         5         1
'239W1X'         0         0         0         1
'239W2X'         5         7         5         1
'240E1A'         6         0         0         1
'240E1M'         0        10         0         1
'240E1P'         0         0         6         1
'240W1X'         5        10         7         1
'241N1P'         0         0        10         1
'241N2A'        41         0         0         1
'241S1A'         7         0         0         1
'246E1A'        10         0         0         1
'246E1M'         0        21         0         1
'246E1P'         0         0         8         1
'246W1A'        10         0         0         1
'246W1M'         0        21         0         1
'246W1P'         0         0        10         1
'247N1P'         0         0        41         1
'247S1A'        21         0         0         1
'249E1X'        10        21         8         1
'249W1X'        10        21        10         1
'250E1A'        14         0         0         1
'250E1M'         0        21         0         1
'250E1P'         0         0        41         1
'250E2A'         8         0         0         1
'250E2M'         0        10         0         1
'250E2P'         0         0        10         1
'250W1A'        14         0         0         1
'250W1M'         0        21         0         1
'250W1P'         0         0        10         1
'250W2A'         8         0         0         1
'250W2M'         0        10         0         1
'250W2P'         0         0        10         1
'251E1X'        21        41        21         1
'251W1X'        21        41        21         1
'252E1X'        21        41        21         1
'252W1X'        21        41        21         1
'253E1X'        21         0        41         1
'253E2X'         0        41        41         1
'253W1X'        41         0        21         1
'253W2X'        41        41         0         1
'254N1A'        41         0         0         1
'254N1P'         0         0        41         1
'254N2X'         0        41        41         1
'254S1A'        41         0         0         1
'254S1P'         0         0        21         1
'254S2X'         0        41        41         1
'255E1X'        14        21        14         1
'255W1X'        14        21        10         1
'256N1X'        41        41        41         1
'256S1X'        41        21        41         1
'257E1A'        21         0         0         1
'257E1M'         0        21         0         1
'257E1P'         0         0        14         1
'257W1A'        14         0         0         1
'257W1M'         0        21         0         1
'257W1P'         0         0         8         1
'258N1P'         0         0        41         1
'258S1A'        41         0         0         1
'258S2A'        41         0         0         1
'262N1X'        21         0        41         1
'262S1X'        41         0        21         1
'301E1X'        10        21        14         1
'301W1X'        10        21        14         1
'310E1X'        21        21        21         1
'310W1X'        21        21        21         1
'311N1A'        21         0         0         1
'311S1P'         0         0        14         1
'312N1X'        21        21        14         1
'312S1X'        21        21        14         1
'314E1X'        21        41        14         1
'314W1X'        21        41        21         1
'316N1X'        21        21        21         1
'316S1X'        21        21        21         1
