    line   @hdwyam   @hdwymd   @hdwypm
'002E1A'        12         0         0
'002E1M'         0        15         0
'002E1P'         0         0        10
'002E2A'         6         0         0
'002E2M'         0        15         0
'002E2P'         0         0        10
'002W1A'        12         0         0
'002W1M'         0        15         0
'002W1P'         0         0        10
'002W2A'      6.67         0         0
'002W2M'         0        15         0
'002W2P'         0         0        10
'003N1X'      6.67      8.57       7.5
'003S1X'       7.5      8.57      6.67
'004E1X'        15        15        15
'004W1X'        15        15        12
'005E1X'      5.45       7.5         6
'005W1X'         5       7.5         6
'006E1X'         6       7.5         6
'006W1X'      4.62       7.5         6
'007E1X'        15        15        15
'007W1X'        15         0        12
'007W2M'         0        15         0
'008E1X'      6.67      8.57       7.5
'008W1X'      6.67      8.57      8.57
'009E1A'        15         0         0
'009E1P'         0         0        12
'009E2X'        30        12         0
'009E3A'        12         0         0
'009E3P'         0         0        10
'009E4X'        30        15         0
'009W1A'        10         0         0
'009W1P'         0         0        12
'009W2X'         0        15        60
'009W3A'        12         0         0
'009W3P'         0         0        12
'009W4X'        30        15        30
'010N1X'      5.45        12         6
'010S1X'         6        12         6
'014E1A'        10         0         0
'014E1M'         0        12         0
'014E1P'         0         0        12
'014W1A'        10         0         0
'014W1M'         0        12         0
'014W1P'         0         0        12
'015N1X'        15        20        15
'015S1X'        15        15        15
'016E1A'        10         0         0
'016E1M'         0        10         0
'016E1P'         0         0        10
'016W1A'        10         0         0
'016W1M'         0        10         0
'016W1P'         0         0        10
'017E1X'      8.57        15       7.5
'017W1X'      8.57        15      8.57
'019E1X'        12        12        12
'019W1X'        10        12        12
'020N1A'         6         0         0
'020N1M'         0       7.5         0
'020N1P'         0         0      8.57
'020S1A'      6.67         0         0
'020S1M'         0       7.5         0
'020S1P'         0         0       7.5
'022E1A'         6         0         0
'022E1M'         0        12         0
'022E1P'         0         0      6.67
'022E2A'        30         0         0
'022E2P'         0         0         0
'022W1A'      6.67         0         0
'022W1M'         0        12         0
'022W1P'         0         0      8.57
'022W2A'        30         0         0
'022W2P'         0         0        60
'023E1X'       7.5        12       7.5
'023W1X'       7.5        12       7.5
'025E1X'      5.45        10       7.5
'025W1X'      4.29        10       7.5
'026E1X'        15        20        15
'026W1X'        15        20        15
'027N1X'        15        20        15
'027S1X'        15        20        15
'028N1A'        12         0         0
'028N1M'         0        15         0
'028N1P'         0         0        15
'028S1A'        20         0         0
'028S1M'         0        15         0
'028S1P'         0         0        15
'029N1X'        15        20        15
'029S1X'        15        20        15
'032N1A'        30         0         0
'032S1P'         0         0        30
'033E1X'        12        15        10
'033W1X'        10        15        12
'041E1X'      6.67       7.5      6.67
'041W1X'      4.62       7.5       7.5
'043E1X'      8.57        15      8.57
'043W1X'         6        15        10
'044E1X'        20        20        12
'044W1X'       7.5        20        15
'049E1X'         6      8.57      5.45
'049W1X'      5.45      8.57      5.45
'050N1X'        15        15        15
'050S1X'        15        15        15
'068N1X'        30        30        30
'068S1X'        30        30        30
'070N1X'        30        30        30
'070S1X'        30        30        30
'084E1X'         6        12      6.67
'084W1X'         5        12      6.67
'099E1A'         3         0         0
'099E1M'         0      4.62         0
'099E1P'         0         0      4.29
'099E2P'         0         0        10
'099E3X'         0         0         0
'099W1A'      4.29         0         0
'099W1M'         0      4.29         0
'099W1P'         0         0      3.16
'099W2X'        12        60         0
'099W3X'         0         0         0
'100E1X'      8.57        12      8.57
'100W1X'        10        15      8.57
'101E1X'        20        30        20
'101W1X'        20        30        20
'103E1X'        12        15        12
'103W1X'        12        15        12
'104N1X'        15        30        15
'104S1X'        15        30        15
'105N1X'        30        30        30
'105S1X'        30        30        30
'106E1X'       7.5        10       7.5
'106W1X'       7.5        10       7.5
'109N1X'        30        60        30
'109S1X'        30        60        30
'110E1X'        20        30        20
'110W1X'        20        30        20
'112E1X'        15        15        15
'112W1X'        15        15        15
'116E1X'        30        30        20
'116W1X'        20        30        20
'119E1X'       7.5        10       7.5
'119W1X'       7.5        10       7.5
'123E1X'        12        15        12
'123W1X'        12        15        12
'125N1A'       7.5         0         0
'125S1P'         0         0      6.67
'128E1X'        20        30        20
'128W1X'        15        30        15
'129E1X'        15        30        15
'129W1X'        15        30        15
'130N1A'        12         0         0
'130N1M'         0       7.5         0
'130N1P'         0         0        10
'130N2A'        12         0         0
'130N2P'         0         0        10
'130S1A'        12         0         0
'130S1M'         0       7.5         0
'130S1P'         0         0        12
'130S2A'        10         0         0
'130S2P'         0         0        12
'131E1X'        30        60        30
'131W1X'        30        60        30
'132N1X'        30        60        30
'132S1X'        30        60        30
'133E1X'        15        30        15
'133W1X'        15        30        15
'134E1X'        30        30        30
'134W1X'        30        30        30
'136E1X'        30        30        30
'136W1X'        30        30        30
'143E1X'        10        15        10
'143W1X'        10        15        10
'144N1X'        10        15        12
'144S1X'        12        15        10
'145N1X'      3.75       7.5       7.5
'145S1X'        10       7.5      4.62
'146N1X'        30        30        30
'146S1X'        30        30        30
'147E1X'        30        30        15
'147W1X'        15        30        30
'148E1X'        30        30        15
'148W1X'        15        30        30
'151E1X'        30        30        30
'151W1X'        30        30        30
'152E1X'        60        30        30
'152E2X'        30         0        30
'152W1X'        30        30        30
'152W2X'        60         0        30
'153E1X'        12        30        12
'153W1X'        12        30        12
'155E1X'        15        30        20
'155W1X'        20        30        20
'156E1X'        30        30        30
'156W1X'        20        30        30
'157E1X'        30        30        30
'157W1X'        30        30        30
'159E1X'        30        30        15
'159W1X'        30        30        20
'160E1X'        12        15         0
'160E2P'         0         0        15
'160W1X'         0        15        15
'160W2A'        20         0         0
'169E1X'        30        30        20
'169W1X'        30        30        30
'170N1X'        12        30        15
'170S1X'        10        30        15
'171E1X'        20        30        15
'171W1X'        15        30        20
'172E1X'        20        30        15
'172W1X'        15        30        15
'173E1X'        30        30        15
'173W1X'        15        30        20
'174E1X'        20        30        15
'174W1X'        20        30        15
'175E1X'        30         0        60
'175W1X'        30         0        30
'180N1X'        15        15        15
'180S1X'        15        15        15
'181N1X'        30        60        30
'181S1X'        30        60        30
'182N1X'        30        20        30
'182S1X'        30        30        30
'183E1X'        15        30        15
'183W1X'        15        30        12
'184N1X'        15        30        15
'184S1X'        20        30        15
'185N1X'        15        30        15
'185S1X'        15        30        15
'186N1X'        12        30        10
'186S1X'        12        30        10
'187N1X'        15        30        10
'187S1X'        15        30        10
'188E1X'        20        30        15
'188W1X'        20        30        15
'189N1X'        30        30        30
'189S1X'        30        30        30
'191N1X'        30        30        30
'191S1X'        30        30        30
'210N1A'        15         0         0
'210N1M'         0        30         0
'210N1P'         0         0        15
'210S1A'      8.57         0         0
'210S1M'         0        30         0
'210S1P'         0         0        15
'211E1A'        30         0         0
'211E1M'         0        30         0
'211E1P'         0         0        15
'211W1A'        15         0         0
