    line   @hdwyam   @hdwymd   @hdwypm
'002E1A'         8         0         0
'002E1M'         0        10         0
'002E1P'         0         0         7
'002E2A'         4         0         0
'002E2M'         0        10         0
'002E2P'         0         0         7
'002W1A'         8         0         0
'002W1M'         0        10         0
'002W1P'         0         0         7
'002W2A'         5         0         0
'002W2M'         0        10         0
'002W2P'         0         0         7
'003NB1'         5         6         5
'003SB1'         5         6         5
'004EB1'        10        10        10
'004WB1'        10        10         8
'005EB1'         4         5         4
'005WB1'         3         5         4
'006EB1'         4         5         4
'006WB1'         3         5         4
'007EB1'        10        10        10
'007WB1'        10         0         8
'007WB2'         0        10         0
'008EB1'         5         6         5
'008WB1'         5         6         6
'009E1A'        10         0         0
'009E1M'        21         8         0
'009E1P'         0         0         8
'009E2A'         8         0         0
'009E2M'        21        10         0
'009E2P'         0         0         7
'009W1A'         7         0         0
'009W1M'         0        10        41
'009W1P'         0         0         8
'009W2A'         8         0         8
'009W2M'        21        10        21
'009W2P'         0         0        21
'010NB1'         4         8         4
'010SB1'         4         8         4
'014E1A'         7         0         0
'014E1M'         0         8         0
'014E1P'         0         0         8
'014W1A'         7         0         0
'014W1M'         0         8         0
'014W1P'         0         0         8
'015NB1'        10        14        10
'015SB1'        10        10        10
'016E1A'         7         0         0
'016E1M'         0         7         0
'016E1P'         0         0         7
'016W1A'         7         0         0
'016W1M'         0         7         0
'016W1P'         0         0         7
'017EB1'         6        10         5
'017WB1'         6        10         6
'019EB1'         8         8         8
'019WB1'         7         8         8
'020N1A'         4         0         0
'020N1M'         0         5         0
'020N1P'         0         0         6
'020S1A'         5         0         0
'020S1M'         0         5         0
'020S1P'         0         0         5
'022E1A'         4         0         0
'022E1M'         0         8         0
'022E1P'         0         0         5
'022E2A'        21         0         0
'022E2P'         0         0         0
'022W1A'         5         0         0
'022W1M'         0         8         0
'022W1P'         0         0         6
'022W2A'        21         0         0
'022W2P'         0         0        41
'023EB1'         5         8         5
'023WB1'         5         8         5
'025EB1'         4         7         5
'025WB1'         3         7         5
'026EB1'        10        14        10
'026WB1'        10        14        10
'027NB1'        10        14        10
'027SB1'        10        14        10
'028N1A'         8         0         0
'028N1M'         0        10         0
'028N1P'         0         0        10
'028S1A'        14         0         0
'028S1M'         0        10         0
'028S1P'         0         0        10
'029NB1'        10        14        10
'029SB1'        10        14        10
'032NB1'        21         0         0
'032SB1'         0         0        21
'033EB1'         8        10         7
'033WB1'         7        10         8
'041EB1'         9         9         9
'041WB1'         9         9         9
'043EB1'         0         0         0
'043WB1'         0         0         0
'044EB1'        14        14         8
'044WB1'         5        14        10
'049EB1'         4         6         4
'049WB1'         4         6         4
'050NB1'        10        10        10
'050SB1'        10        10        10
'068NB1'        21        21        21
'068SB1'        21        21        21
'070NB1'        21        21        21
'070SB1'        21        21        21
'084EB1'         4         8         5
'084WB1'         3         8         5
'099E1A'         0         0         0
'099E1M'         0         0         0
'099E1P'         0         0         0
'099EB2'         0         0         0
'099EB3'         2         2         2
'099W1A'         0         0         0
'099W1M'         0         0         0
'099W1P'         0         0         0
'099WB2'         0         0         0
'099WB3'         2         2         2
'100EB1'         6         8         6
'100WB1'         7        10         6
'101EB1'        14        21        14
'101WB1'        14        21        14
'103EB1'         8        10         8
'103WB1'         8        10         8
'104NB1'        10        21        10
'104SB1'        10        21        10
'105NB1'        21        21        21
'105SB1'        21        21        21
'109NB1'        21        41        21
'109SB1'        21        41        21
'110EB1'        14        21        14
'110WB1'        14        21        14
'112EB1'        10        10        10
'112WB1'        10        10        10
'116EB1'        21        21        14
'116WB1'        14        21        14
'119EB1'         7         7         5
'119WB1'         6         7         5
'123EB1'         8        10         8
'123WB1'         8        10         8
'125NB1'         5         0         0
'125SB1'         0         0         5
'128EB1'        14        21        14
'128WB1'        10        21        10
'129EB1'        10        21        10
'129WB1'        10        21        10
'130N1A'         8         0         0
'130N1M'         0         5         0
'130N1P'         0         0         7
'130N2A'         8         0         0
'130N2P'         0         0         7
'130S1A'         8         0         0
'130S1M'         0         5         0
'130S1P'         0         0         8
'130S2A'         7         0         0
'130S2P'         0         0         8
'131EB1'        21        41        21
'131WB1'        21        41        21
'132NB1'        21        41        21
'132SB1'        21        41        21
'133EB1'        10        21        10
'133WB1'        10        21        10
'134EB1'        21        21        21
'134WB1'        21        21        21
'136EB1'        21        21        21
'136WB1'        21        21        21
'143EB1'         7        10         7
'143WB1'         7        10         7
'144NB1'         7        10         8
'144SB1'         8        10         7
'145NB1'         3         5         5
'145SB1'         7         5         3
'146NB1'        21        21        21
'146SB1'        21        21        21
'147EB1'        21        21        10
'147WB1'        10        21        21
'148EB1'        21        21        10
'148WB1'        10        21        21
'151EB1'        21        21        21
'151WB1'        21        21        21
'152EB1'        41        21        21
'152EB2'        21         0        21
'152WB1'        21        21        21
'152WB2'        41         0        21
'153EB1'         8        21         8
'153WB1'         8        21         8
'155EB1'        10        21        14
'155WB1'        14        21        14
'156EB1'        21        21        21
'156WB1'        14        21        21
'157EB1'        21        21        21
'157WB1'        21        21        21
'159EB1'        21        21        10
'159WB1'        21        21        14
'160EB1'         8        10         0
'160EB2'         0         0        10
'160WB1'         0        10        10
'160WB2'        14         0         0
'169EB1'        21        21        14
'169WB1'        21        21        21
'170NB1'         8        21        10
'170SB1'         7        21        10
'171EB1'        14        21        10
'171WB1'        10        21        14
'172EB1'        14        21        10
'172WB1'        10        21        10
'173EB1'        21        21        10
'173WB1'        10        21        14
'174EB1'        14        21        10
'174WB1'        14        21        10
'175EB1'        21         0        41
'175WB1'        21         0        21
'180NB1'        10        10        10
'180SB1'        10        10        10
'181NB1'        21        41        21
'181SB1'        21        41        21
'182NB1'        21        14        21
'182SB1'        21        21        21
'183EB1'        10        21        10
'183WB1'        10        21         8
'184NB1'        10        21        10
'184SB1'        14        21        10
'185NB1'        10        21        10
'185SB1'        10        21        10
'186NB1'         8        21         7
'186SB1'         8        21         7
'187NB1'        10        21         7
'187SB1'        10        21         7
'188EB1'        14        21        10
'188WB1'        14        21        10
'189NB1'        21        21        21
'189SB1'        21        21        21
'191NB1'        21        21        21
'191SB1'        21        21        21
'210N1A'        10         0         0
'210N1M'         0        21         0
'210N1P'         0         0        10
'210S1A'         6         0         0
'210S1M'         0        21         0
'210S1P'         0         0        10
'211E1A'        21         0         0
'211E1M'         0        21         0
'211E1P'         0         0        10
'211W1A'        10         0         0
'211W1M'         0        21         0
'211W1P'        41         0        14
'212EB1'        21        21        21
'212WB1'        21        21        21
'214EB1'         0         0        21
'214EB2'        14        21        21
'214WB1'        21         0         0
'214WB2'        41        21        21
'215EB1'        10        21        10
'215WB1'        10        21        10
'227NB1'        21        21        21
'227SB1'        21        21        21
'228NB1'        10        21        10
'228SB1'        14        21        10
'229EB1'        21        21        10
'229WB1'        14        21        21
'230NB1'        14        21        10
'230SB1'        10        21        10
'231EB1'         0         0        21
'231WB1'        21         0        41
'232EB1'        21        21        41
'232WB1'        21        21        21
'236NB1'        41        21        10
'236SB1'        41        21        10
'239EB1'         0         0         0
'239EB2'         5         7         5
'239WB1'         0         0         0
'239WB2'         5         7         5
'240E1A'         6         0         0
'240E1M'         0        10         0
'240E1P'         0         0         6
'240WB1'         5        10         7
'241NB1'         0         0        10
'241NB2'        41         0         0
'241SB1'         7         0         0
'246E1A'        10         0         0
'246E1M'         0        21         0
'246E1P'         0         0         8
'246W1A'        10         0         0
'246W1M'         0        21         0
'246W1P'         0         0        10
'247NB1'         0         0        41
'247SB1'        21         0         0
'249EB1'        10        21         8
'249WB1'        10        21        10
'250E1A'        14         0         0
'250E1M'         0        21         0
'250E1P'         0         0        41
'250E2A'         8         0         0
'250E2M'         0        10         0
'250E2P'         0         0        10
'250W1A'        14         0         0
'250W1M'         0        21         0
'250W1P'         0         0        10
'250W2A'         8         0         0
'250W2M'         0        10         0
'250W2P'         0         0        10
'251EB1'        21        41        21
'251WB1'        21        41        21
'252EB1'        21        41        21
'252WB1'        21        41        21
'253EB1'        21         0        41
'253EB2'         0        41        41
'253WB1'        41         0        21
'253WB2'        41        41         0
'254N1A'        41         0         0
'254N1M'         0        41        41
'254N1P'         0         0        41
'254S1A'        41         0         0
'254S1M'         0        41        41
'254S1P'         0         0        21
'255EB1'        14        21        14
'255WB1'        14        21        10
'256NB1'        41        41        41
'256SB1'        41        21        41
'257E1A'        21         0         0
'257E1M'         0        21         0
'257E1P'         0         0        14
'257W1A'        14         0         0
'257W1M'         0        21         0
'257W1P'         0         0         8
'258NB1'         0         0        41
'258SB1'        41         0         0
'258SB2'        41         0         0
'262NB1'        21         0        41
'262SB1'        41         0        21
'301EB1'        10        21        14
'301WB1'        10        21        14
'310EB1'        21        21        21
'310WB1'        21        21        21
'311NB1'        21         0         0
'311SB1'         0         0        14
'312NB1'        21        21        14
'312SB1'        21        21        14
'314EB1'        21        41        14
'314WB1'        21        41        21
'316NB1'        21        21        21
'316SB1'        21        21        21
'319NB1'         9         9         9
'319SB1'         9         9         9
'320EB1'        21        21        21
'320EB2'        14        21        21
'320WB1'        21        21        21
'320WB2'        21        21        14
'321NB1'        14        10        10
'321SB1'        10        10        10
'322EB1'        21        21        21
'322WB1'        21        21        21
'323NB1'        10        14        10
'323SB1'        10        14        10
'324NB1'        10        41        14
'324SB1'        10        21        14
'325NB1'        10        21        14
'325SB1'        10        21        14
'326EB1'        21        41        21
'326WB1'        21        41        21
'329NB1'         0        41         0
'329NB2'         0         0        41
'329SB1'         0        41         0
'329SB2'        41         0         0
'335EB1'        14        21        10
'335EB2'        14        21        10
'335WB1'        14        14        10
'335WB2'        10        21         8
'337EB1'        10        10        10
'337WB1'        10        10        10
'340EB1'        10        21        10
'340WB1'        10        21        10
'341NB1'        14        21        14
'341SB1'        14        21        14
'342EB1'        14        21        14
'342WB1'        14        41        14
'345NB1'         0         0         0
'345NB2'        10        21        10
'345SB1'         0         0         0
'345SB2'        10        21        10
'351NB1'         5        10         8
'351SB1'         7        10         7
'352SB1'         0         0        14
'354NB1'        41         0         0
'354SB1'         0         0        10
'360EB1'        21        21        21
'360WB1'        21        21        21
'361EB1'        21        21        21
'361WB1'        21        21        21
'362NB1'         0        21        21
'362SB1'         0        21        21
'363EB1'        21        21        21
'363WB1'        21        21        21
'364EB1'        21        21        21
'364WB1'        21        21        21
'370EB1'        21        41        21
'370WB1'        21        41        21
'371EB1'        21        41        21
'371WB1'        21        41        21
'372EB1'        21        21        21
'372WB1'        21        21        21
'373EB1'        21        21        14
'373WB1'        14        41        14
'375NB1'        21        21        21
'375SB1'        21        21        21
'388EB1'        21         0        21
'388WB1'        21         0        21
'391NB1'        41         0         0
'391SB1'         0         0        21
'393NB1'        41         0         0
'393SB1'         0         0        21
'394NB1'        41         0        21
'394SB1'        41         0        21
'395EB1'         0         0         0
'395EB2'         0         0        14
'395WB1'         0         0         0
'395WB2'        14         0         0
'401EB1'         6        10         5
'401WB1'         6        21         5
'402NB1'         8        21         8
'402SB1'         8        21         8
'403NB1'         8        14        10
'403SB1'        10        14        10
'404EB1'        21        21        21
'404WB1'        21        14        14
'405NB1'        14        21        21
'405SB1'        21        14        21
'407NB1'        14        41        14
'407SB1'        14        41        14
'408EB1'         6        10         5
'408WB1'         6        21         5
'410EB1'         5         0         5
'410EB2'        41         7         0
'410W2M'         0         7         0
'410WB1'         4         0         5
'410WB2'         0         0         0
'412EB1'        10        21        14
'412WB1'        10        21        14
'413EB1'         0        21        21
'413WB1'        41        21        41
