c Emme Modeller - Base Network Transaction
c Scenario 1000:  2011 Base Network
t nodes
c   Node          X-coord          Y-coord   Data1   Data2   Data3 Label
a* 12330       491.931323      5462.549106       0       0       0 0000
a* 12340     497.43964316    5461.94351863       0       0       0 0000
a* 12350     497.79696073    5461.81884879       0       0       0 0000
a* 12360     498.24634169     5461.7616652       0       0       0 0000
a* 12370       499.633736      5462.033263       0       0       0 0000
a* 12380       501.384753      5462.224789       0       0       0 0000
a* 12390       503.422434      5461.699962       0       0       0 0000
a* 12400     498.69529387    5461.70531191       0       0       0 0000
a* 12410     497.59687518    5461.01286833       0       0       0 0000
a* 12420     499.20985996    5461.08895116       0       0       0 0000
a* 13010     494.07851372    5464.56648585       0       0       0 0000
a* 13020        495.51366        5464.5164       0       0       0 0000
a* 13030      493.0602201        5463.8813       0       0       0 0000
a* 13040     493.51296117    5463.91657699       0       0       0 0000
a* 13050     494.21731653    5463.84093973       0       0       0 0000
a* 13060     494.63963479    5463.80892452       0       0       0 0000
a* 13070      494.8684516    5463.81415394       0       0       0 0000
a* 13080     495.50409114    5463.81224701       0       0       0 0000
a* 13090      496.7475793      5463.687378       0       0       0 0000
a* 13100     492.82842268    5463.10764164       0       0       0 0000
a* 13110     493.13082319    5463.17803802       0       0       0 0000
a* 13120      493.7729829     5463.3577458       0       0       0 0000
a* 13130     494.29689273    5463.07334328       0       0       0 0000
a* 13140     494.60123543    5463.00719442       0       0       0 0000
a* 13150        496.32857       5463.45794       0       0       0 0000
a* 13160     492.96034357    5462.58346038       0       0       0 0000
a* 13170      493.5412067     5462.6717759       0       0       0 0000
a* 13180     494.13149894    5462.66390953       0       0       0 0000
a* 13190      494.9587475    5462.85780535       0       0       0 0000
a* 13200     495.58565502    5462.77877478       0       0       0 0000
a* 13210      494.0465888    5462.03597208       0       0       0 0000
a* 13220     494.05748552    5462.37505115       0       0       0 0000
a* 13230     494.42420513    5462.09820289       0       0       0 0000
a* 13240     494.64726763    5462.44235671       0       0       0 0000
a* 13250     495.37497395    5462.06040652       0       0       0 0000
a* 13260     494.86456695    5462.27755206       0       0       0 0000
a* 13270     496.35645949    5462.04143945       0       0       0 0000
a* 13280      494.6284231    5461.63155529       0       0       0 0000
a* 13290     495.41139289    5461.69484221       0       0       0 0000
a* 13300     494.64557953    5461.95225565       0       0       0 0000
a* 13310     496.85493936    5461.91917578       0       0       0 0000
a* 13320     496.16193287     5461.4541308       0       0       0 0000
a* 13330     496.85878467    5461.25094615       0       0       0 0000
a* 14010     496.54283181    5480.26896271       0       0       0 0000
a* 14020     482.86194916    5478.67102121       0       0       0 0000
a* 14030      483.1226913    5474.18094705       0       0       0 0000
a* 14040      473.9166469     5469.0137595       0       0       0 0000
a* 21010     482.07979957    5458.02915514       0       0       0 0000
a* 21020     481.80958088    5457.42278277       0       0       0 0000
a* 21030     482.30967675    5457.32749639       0       0       0 0000
a* 21040     481.35488362    5457.23979549       0       0       0 0000
a* 21050     483.93623485    5457.11266738       0       0       0 0000
a* 21060     482.06588275    5456.82694649       0       0       0 0000
a* 21070     481.70787081    5456.67495164       0       0       0 0000
a* 21080     483.54301336     5456.5731239       0       0       0 0000
a* 21090     481.42402622     5456.5023442       0       0       0 0000
a* 21100     482.75458544    5456.45965817       0       0       0 0000
a* 21110     482.41073312    5456.21873817       0       0       0 0000
a* 21120     482.06109351    5456.00753282       0       0       0 0000
a* 21130     482.91335424    5455.64218278       0       0       0 0000
a* 21140     482.54205787    5455.10988211       0       0       0 0000
a* 21150 485.187577070471 5454.10413421543       0       0       0 0000
a* 21160 485.099236507717 5453.46667246386       0       0       0 0000
a* 22010     489.82991145    5461.03579542       0       0       0 0000
a* 22020     489.87979116    5459.87561764       0       0       0 0000
a* 22030     490.10752403     5460.0380877       0       0       0 0000
a* 22040     490.32688085    5459.81719405       0       0       0 0000
a* 22050     490.50730811    5459.94586544       0       0       0 0000
a* 22060     490.66538301    5459.75276315       0       0       0 0000
a* 22070      489.6884362    5459.63054577       0       0       0 0000
a* 22080     490.15018011    5459.63542977       0       0       0 0000
a* 22090     490.52787961    5459.61820564       0       0       0 0000
a* 22100      490.8475173    5459.54545129       0       0       0 0000
a* 22110     491.10241737    5459.56298274       0       0       0 0000
a* 22120      491.3940535      5459.591379       0       0       0 0000
a* 22130      491.7034642     5459.4416193       0       0       0 0000
a* 22140     489.91748417    5459.40333414       0       0       0 0000
a* 22150     490.34943402    5459.43663287       0       0       0 0000
a* 22160     490.71860259    5459.42420613       0       0       0 0000
a* 22170     491.00738255    5459.34513334       0       0       0 0000
a* 22180     491.10359432    5459.41801098       0       0       0 0000
a* 22190      491.2780521    5459.31777713       0       0       0 0000
a* 22200     491.39558251    5459.42304006       0       0       0 0000
a* 22210     491.64727754    5459.31297952       0       0       0 0000
a* 22220     489.72206458      5459.204837       0       0       0 0000
a* 22230     490.11722417    5459.20361076       0       0       0 0000
a* 22240       490.309448    5459.01353124       0       0       0 0000
a* 22250     490.54250927    5459.24739692       0       0       0 0000
a* 22260     490.72566473    5459.06161715       0       0       0 0000
a* 22270     490.90553575    5459.24248839       0       0       0 0000
a* 22280     491.05699529    5459.09058882       0       0       0 0000
a* 22290     491.18000503    5459.19751776       0       0       0 0000
a* 22300     491.36407449    5459.03799148       0       0       0 0000
a* 22310      491.4825127    5459.15618916       0       0       0 0000
a* 22320     491.57412079    5459.24822167       0       0       0 0000
a* 22330     491.79104389    5459.11032875       0       0       0 0000
a* 22340     491.90660446    5459.20784857       0       0       0 0000
a* 22350     492.31573454    5459.19350781       0       0       0 0000
a* 22360     489.85828734    5458.93263604       0       0       0 0000
a* 22370     490.49437355    5458.82879009       0       0       0 0000
a* 22380     490.87807518    5458.91220226       0       0       0 0000
a* 22390     491.11868132    5458.79070829       0       0       0 0000
a* 22400     491.23891672     5458.9107116       0       0       0 0000
a* 22410     491.54210458    5458.85865149       0       0       0 0000
a* 22420     491.66339989    5458.97956702       0       0       0 0000
a* 22430     491.80322464    5458.83928026       0       0       0 0000
a* 22440      491.9339211    5458.94283494       0       0       0 0000
a* 22450     492.20581813    5458.75574129       0       0       0 0000
a* 22460     492.22469585    5458.86327678       0       0       0 0000
a* 22470     492.24502854    5458.99176853       0       0       0 0000
a* 22480     492.59669718    5458.90367057       0       0       0 0000
a* 22490     490.02450596    5458.72691636       0       0       0 0000
a* 22500     490.30162531    5458.63485235       0       0       0 0000
a* 22510     490.64510088    5458.67794616       0       0       0 0000
a* 22520     490.88449109    5458.55674279       0       0       0 0000
a* 22530     491.00229292    5458.67279744       0       0       0 0000
a* 22540     491.29876646    5458.61295256       0       0       0 0000
a* 22550     491.41771522    5458.73332343       0       0       0 0000
a* 22560     491.55863219    5458.59241172       0       0       0 0000
a* 22570     491.68338821    5458.71730034       0       0       0 0000
a* 22580     491.82523754    5458.57755768       0       0       0 0000
a* 22590     491.95959763    5458.69865622       0       0       0 0000
a* 22600     492.08320343    5458.55730771       0       0       0 0000
a* 22610       492.275186      5458.542296       0       0       0 0000
a* 22620      492.5734208    5458.62710448       0       0       0 0000
a* 22630       490.151462     5458.4588174       0       0       0 0000
a* 22640     490.29569081    5458.33104145       0       0       0 0000
a* 22650        490.45349    5458.48269719       0       0       0 0000
a* 22660     490.65459369     5458.3227979       0       0       0 0000
a* 22670     490.77040151    5458.43885752       0       0       0 0000
a* 22680     490.94939256    5458.26146701       0       0       0 0000
a* 22690     491.06486886    5458.37832241       0       0       0 0000
a* 22700     491.18065409    5458.49569761       0       0       0 0000
a* 22710     491.38033906    5458.40889567       0       0       0 0000
