c Modeller - Base Network Transaction
c Scenario 5060:  2050 Alt 4A
t nodes
c   Node          X-coord          Y-coord   Data1   Data2   Data3 Label
a* 11010      481.8735251     5471.8585072       0       0       0 0000
a* 11020     486.50186071    5470.18636485       0       0       0 0000
a* 11030      479.6278771     5468.6973829       0       0       0 0000
a* 11040     484.19320498    5466.29407728       0       0       0 0000
a* 11050     482.09940831    5466.91630552       0       0       0 0000
a* 11060      480.6706398     5466.5860244       0       0       0 0000
a* 11070     487.00325722    5466.24770955       0       0       0 0000
a* 11080     488.90955855    5466.00254252       0       0       0 0000
a* 11090      490.2775308      5466.648454       0       0       0 0000
a* 11100     482.33317883    5466.20437185       0       0       0 0000
a* 11110     484.53163617    5465.53638493       0       0       0 0000
a* 11120      485.7578086     5465.5344174       0       0       0 0000
a* 11130     486.96647092    5465.71766799       0       0       0 0000
a* 11140     486.62821706    5465.35782728       0       0       0 0000
a* 11150      487.3927083    5465.28947822       0       0       0 0000
a* 11160     488.52028589    5465.36785235       0       0       0 0000
a* 11170      485.8605304     5464.9005328       0       0       0 0000
a* 11180     486.65529011    5464.88875651       0       0       0 0000
a* 11190     486.73220629    5464.60794833       0       0       0 0000
a* 11200      487.4123298    5464.66505632       0       0       0 0000
a* 11210     488.19418781    5464.69818271       0       0       0 0000
a* 11220      488.9982983    5464.68624909       0       0       0 0000
a* 11230     489.75563679    5464.50368138       0       0       0 0000
a* 11240      490.7173413    5464.37259037       0       0       0 0000
a* 11250      487.9006411     5463.9862425       0       0       0 0000
a* 11260     488.63509208    5464.10033633       0       0       0 0000
a* 11270     489.90462442    5463.80818798       0       0       0 0000
a* 11280     490.58062838    5463.12720811       0       0       0 0000
a* 12010     494.63897295     5469.3182662       0       0       0 0000
a* 12020     502.86719463      5468.641792       0       0       0 0000
a* 12030     493.14502009    5467.72203761       0       0       0 0000
a* 12040     492.84005871    5466.04190557       0       0       0 0000
a* 12050       497.779053      5466.140066       0       0       0 0000
a* 12060       494.105691      5465.936459       0       0       0 0000
a* 12070       496.813697      5465.745843       0       0       0 0000
a* 12080       495.336579      5465.732749       0       0       0 0000
a* 12090       491.908529      5465.044554       0       0       0 0000
a* 12100        492.68196        5464.9013       0       0       0 0000
a* 12110     494.09634889    5464.96912694       0       0       0 0000
