    line   @hdwyam   @hdwymd   @hdwypm
'002E1A'        12         0         0
'002E1M'         0        12         0
'002E1P'         0         0        12
'002E2A'        12         0         0
'002E2M'         0        12         0
'002E2P'         0         0        12
'002W1A'        15         0         0
'002W1M'         0        12         0
'002W1P'         0         0        12
'002W2A'        12         0         0
'002W2M'         0        12         0
'002W2P'         0         0        12
'003N1A'     6.666         0         0
'003N1P'         0         0       7.5
'003N2M'         0     8.571         0
'003S1A'       7.5         0         0
'003S1P'         0         0     6.666
'003S2M'         0       7.5         0
'004EB1'        15        15        15
'004WB1'        15        15        12
'005E1A'         6         0         0
'005E1M'         0       7.5         0
'005E1P'         0         0         6
'005W1A'     5.454         0         0
'005W1M'         0       7.5         0
'005W1P'         0         0         6
'006E1A'     6.666         0         0
'006E1M'         0       7.5         0
'006E1P'         0         0         6
'006W1A'         5         0         0
'006W1M'         0       7.5         0
'006W1P'         0         0         6
'007E1A'        15         0         0
'007E1M'         0        15         0
'007E1P'         0         0        12
'007W1A'        15         0         0
'007W1M'         0        15         0
'007W1P'         0         0        12
'008E1A'       7.5         0         0
'008E1M'         0        10         0
'008E1P'         0         0       7.5
'008W1A'     6.666         0         0
'008W1M'         0     8.571         0
'008W1P'         0         0         6
'009E1A'        10         0         0
'009E1M'         0        12         0
'009E1P'         0         0        10
'009E2A'        10         0         0
'009E2M'         0        12         0
'009E2P'         0         0        10
'009W1A'        10         0         0
'009W1M'         0        12         0
'009W1P'         0         0        10
'009W2A'        10         0         0
'009W2M'         0        12         0
'009W2P'         0         0        10
'010N1A'         4         0         0
'010N1M'         0        12         0
'010N1P'         0         0         6
'010S1A'     6.666         0         0
'010S1M'         0        12         0
'010S1P'         0         0         6
'014E1A'        10         0         0
'014E1M'         0        12         0
'014E1P'         0         0        10
'014W1A'        10         0         0
'014W1M'         0        12         0
'014W1P'         0         0        10
'015N1A'        15         0         0
'015N1M'         0        15         0
'015N1P'         0         0        15
'015S1A'        20         0         0
'015S1M'         0        15         0
'015S1P'         0         0        15
'016E1A'        10         0         0
'016E1M'         0        10         0
'016E1P'         0         0        10
'016W1A'        10         0         0
'016W1M'         0        10         0
'016W1P'         0         0        10
'017E1A'        10         0         0
'017E1M'         0        15         0
'017E1P'         0         0     8.571
'017W1A'       7.5         0         0
'017W1M'         0        15         0
'017W1P'         0         0       7.5
'019E1A'        10         0         0
'019E1M'         0        10         0
'019E1P'         0         0        12
'019W1A'        10         0         0
'019W1M'         0        12         0
'019W1P'         0         0        12
'020N1A'         6         0         0
'020N1M'         0       7.5         0
'020N1P'         0         0     6.666
'020S1A'         5         0         0
'020S1M'         0       7.5         0
'020S1P'         0         0     6.666
'022E1A'       4.6         0         0
'022E1M'         0        12         0
'022E1P'         0         0      6.67
'022E2A'        60         0         0
'022E2P'         0         0        60
'022W1A'         5         0         0
'022W1M'         0        12         0
'022W1P'         0         0      6.67
'022W2A'        60         0         0
'022W2P'         0         0        60
'023E1 '         6        12         6
'023W1 '         6        12         6
'025EB1'         6        10         7
'025WB1'         5        10         8
'026E1A'        15         0         0
'026E1M'         0        30         0
'026E1P'         0         0        15
'026W1A'        15         0         0
'026W1M'         0        20         0
'026W1P'         0         0        15
'027N1A'        15         0         0
'027N1M'         0        20         0
'027N1P'         0         0        15
'027S1A'        15         0         0
'027S1M'         0        20         0
'027S1P'         0         0        15
'028N1A'        15         0         0
'028N1M'         0        15         0
'028N1P'         0         0        15
'028S1A'        12         0         0
'028S1M'         0        15         0
'028S1P'         0         0        15
'029N1A'        15         0         0
'029N1M'         0        20         0
'029N1P'         0         0        15
'029S1A'        15         0         0
'029S1M'         0        20         0
'029S1P'         0         0        15
'032N1A'        20         0         0
'032S1P'         0         0        20
'033EB1'        12        15        10
'033WB1'        10        15        12
'041EB1'         7       7.5         7
'041WB1'         5       7.5         7
'043EB1'       9.2        15       9.2
'043WB1'       5.7        15       9.2
'044E1A'        15         0         0
'044EB1'         0        20      13.3
'044W1P'         0         0        15
'044WB1'         8        20         0
'049EB1'         6       8.6       5.2
'049WB1'       7.5         8       5.5
'050N1A'        15         0         0
'050N1M'         0        15         0
'050N1P'         0         0        15
'050S1A'        15         0         0
'050S1M'         0        15         0
'050S1P'         0         0        15
'084EB1'         6        12       6.7
'084WB1'         6        12       6.7
'095E1A'     5.454         0         0
'095E1M'         0       7.5         0
'095E1P'         0         0       7.5
'095W1A'         5         0         0
'095W1M'         0       7.5         0
'095W1P'         0         0       7.5
'096NB1'        10        10     8.571
'096SB1'        10     8.571        10
'099E1A'         3         0         0
'099E1M'         0       4.5         0
'099E1P'         0         0         4
'099E2P'         0         0        12
'099W1A'      3.75         0         0
'099W1M'         0       4.5         0
'099W1P'         0         0         3
'099W2A'        15         0         0
'100E1A'        10         0         0
'100E1M'         0        12         0
'100E1P'         0         0        10
'100W1A'        10         0         0
'100W1M'         0        12         0
'100W1P'         0         0        10
'101E1A'        20         0         0
'101E1M'         0        30         0
'101E1P'         0         0        20
'101W1A'        20         0         0
'101W1M'         0        30         0
'101W1P'         0         0        20
'104N1A'        12         0         0
'104N1M'         0        30         0
'104N1P'         0         0        20
'104S1A'        15         0         0
