    line   @hdwyam   @hdwymd   @hdwypm
'211E1P'         0         0        12
'211W1A'        12         0         0
'211W1M'         0        23         0
'211W2X'        47         0        16
'212E1X'        23        23        23
'212W1X'        23        23        23
'214E1P'         0         0        23
'214E2X'        16        23        23
'214W1A'        23         0         0
'214W2X'        47        23        23
'215E1X'        12        23        12
'215W1X'        12        23        12
'227N1X'        23        23        23
'227S1X'        23        23        23
'228N1X'        12        23        12
'228S1X'        16        23        12
'229E1X'        23        23        12
'229W1X'        16        23        23
'230N1X'        16        23        12
'230S1X'        12        23        12
'231E1P'         0         0        23
'231W1X'        23         0        47
'232E1X'        23        23        47
'232W1X'        23        23        23
'236N1X'        47        23        12
'236S1X'        47        23        12
'239E1X'         0         0         0
'239E2X'         6         8         6
'239W1X'         0         0         0
'239W2X'         6         8         6
'240E1A'         7         0         0
'240E1M'         0        12         0
'240E1P'         0         0         7
'240W1X'         6        12         8
'241N1P'         0         0        12
'241N2A'        47         0         0
'241S1A'         8         0         0
'246E1A'        12         0         0
'246E1M'         0        23         0
'246E1P'         0         0         9
'246W1A'        12         0         0
'246W1M'         0        23         0
'246W1P'         0         0        12
'247N1P'         0         0        47
'247S1A'        23         0         0
'249E1X'        12        23         9
'249W1X'        12        23        12
'250E1A'        16         0         0
'250E1M'         0        23         0
'250E1P'         0         0        47
'250E2A'         9         0         0
'250E2M'         0        12         0
'250E2P'         0         0        12
'250W1A'        16         0         0
'250W1M'         0        23         0
'250W1P'         0         0        12
'250W2A'         9         0         0
'250W2M'         0        12         0
'250W2P'         0         0        12
'251E1X'        23        47        23
'251W1X'        23        47        23
'252E1X'        23        47        23
'252W1X'        23        47        23
'253E1X'        23         0        47
'253E2X'         0        47        47
'253W1X'        47         0        23
'253W2X'        47        47         0
'254N1A'        47         0         0
'254N1P'         0         0        47
'254N2X'         0        47        47
'254S1A'        47         0         0
'254S1P'         0         0        23
'254S2X'         0        47        47
'255E1X'        16        23        16
'255W1X'        16        23        12
'256N1X'        47        47        47
'256S1X'        47        23        47
'257E1A'        23         0         0
'257E1M'         0        23         0
'257E1P'         0         0        16
'257W1A'        16         0         0
'257W1M'         0        23         0
'257W1P'         0         0         9
'258N1P'         0         0        47
'258S1A'        47         0         0
'258S2A'        47         0         0
'262N1X'        23         0        47
'262S1X'        47         0        23
'301E1X'        12        23        16
'301W1X'        12        23        16
'310E1X'        23        23        23
'310W1X'        23        23        23
'311N1A'        23         0         0
'311S1P'         0         0        16
'312N1X'        23        23        16
'312S1X'        23        23        16
'314E1X'        23        47        16
'314W1X'        23        47        23
'316N1X'        23        23        23
'316S1X'        23        23        23
'319N1X'        10        10        10
'319S1X'        10        10        10
'320E1X'        23        23        23
'320E2X'        16        23        23
'320W1X'        23        23        23
'320W2X'        23        23        16
'321N1X'        16        12        12
'321S1X'        12        12        12
'322E1X'        23        23        23
'322W1X'        23        23        23
'323N1X'        12        16        12
'323S1X'        12        16        12
'324N1X'        12        47        16
'324S1X'        12        23        16
'325N1X'        12        23        16
'325S1X'        12        23        16
'326E1X'        23        47        23
'326W1X'        23        47        23
'329N1M'         0        47         0
'329N2P'         0         0        47
'329S1M'         0        47         0
'329S2A'        47         0         0
'335E1X'        16        23        12
'335E2X'        16        23        12
'335W1X'        16        16        12
