    line   @hdwyam   @hdwymd   @hdwypm
'002E1A'  5.833333         0         0
'002E1M'         0      12.5         0
'002E1P'         0         0      12.5
'002W1A'      12.5         0         0
'002W1M'         0      12.5         0
'002W1P'         0         0  6.666667
'003N1A'         5         0         0
'003N1M'         0  6.666667         0
'003N1P'         0         0  6.666667
'003S1 '  6.666667  6.666667  5.833333
'004EB1'        10      12.5        10
'004WB1'      12.5      12.5        10
'005E1 '  6.666667  5.833333         5
'005W1A'         5         0         0
'005W1M'         0  5.833333         0
'005W1P'         0         0         5
'006E1 '  6.666667  5.833333         5
'006W1A'         5         0         0
'006W1M'         0  5.833333         0
'006W1P'         0         0         5
'007E1 '      12.5      12.5      12.5
'007W1A'      12.5         0         0
'007W1M'         0      12.5         0
'007W1P'         0         0        10
'008E1A'  4.166667         0         0
'008E1M'         0  6.666667         0
'008E1P'         0         0         5
'008W1A'  5.833333         0         0
'008W1M'         0  6.666667         0
'008W1P'         0         0         5
'009E2A'  4.166667         0         0
'009E2M'         0         5         0
'009E2P'         0         0  4.166667
'009W1A'  4.166667         0         0
'009W1M'         0         5         0
'009W1P'         0         0  4.166667
'010N1 '  3.333333         0  4.166667
'010N3M'         0  6.666667         0
'010S1 '  4.166667  6.666667  4.166667
'014E1A'       7.5         0         0
'014E1M'         0  8.333333         0
'014E1P'         0         0       7.5
'014W1A'  6.666667         0         0
'014W1M'         0  8.333333         0
'014W1P'         0         0  8.333333
'015N1 '      12.5      12.5      12.5
'015S1 '      12.5      12.5      12.5
'016E1A'       7.5         0         0
'016E1M'         0        10         0
'016E1P'         0         0  8.333333
'016W1A'  8.333333         0         0
'016W1M'         0        10         0
'016W1P'         0         0       7.5
'017E1A'  6.666667         0         0
'017E1M'         0  8.333333         0
'017E1P'         0         0  6.666667
'017W1A'  6.666667         0         0
'017W1M'         0  8.333333         0
'017W1P'         0         0  6.666667
'019E1A'  6.666667         0         0
'019E1M'         0        10         0
'019E1P'         0         0       7.5
'019W1A'       7.5         0         0
'019W1M'         0        10         0
'019W1P'         0         0        10
'020N1A'         5         0         0
'020N1M'         0  5.833333         0
'020N1P'         0         0  5.833333
'020S1A'  4.166667         0         0
'020S1M'         0  5.833333         0
'020S1P'         0         0  5.833333
'022E2A'  4.166667         0         0
'022E2M'         0  8.333333         0
'022E2P'         0         0         5
'022W1A'         5         0         0
'022W1M'         0  8.333333         0
'022W1P'         0         0         5
'025E1 '  5.833333       7.5         5
'025W1 '  3.333333       7.5  6.666667
'026E1 '      12.5      12.5      12.5
'026W1 '      12.5      12.5      12.5
'027N1A'      12.5         0         0
'027N1M'         0      12.5         0
